TC_id,test_funcname,filename,result,error,options
TC1,oldParseTest,./test/att1,result/att1,NULL,65536
TC2,oldParseTest,./test/att10,result/att10,NULL,65536
TC3,oldParseTest,./test/att11,result/att11,NULL,65536
TC4,oldParseTest,./test/att2,result/att2,NULL,65536
TC5,oldParseTest,./test/att3,result/att3,NULL,65536
TC6,oldParseTest,./test/att4,result/att4,NULL,65536
TC7,oldParseTest,./test/att5,result/att5,NULL,65536
TC8,oldParseTest,./test/att6,result/att6,NULL,65536
TC9,oldParseTest,./test/att7,result/att7,NULL,65536
TC10,oldParseTest,./test/att8,result/att8,NULL,65536
TC11,oldParseTest,./test/att9,result/att9,NULL,65536
TC12,oldParseTest,./test/attrib.xml,result/attrib.xml,NULL,65536
TC13,oldParseTest,./test/badcomment.xml,result/badcomment.xml,NULL,65536
TC14,oldParseTest,./test/bigentname.xml,result/bigentname.xml,NULL,65536
TC15,oldParseTest,./test/bigname.xml,result/bigname.xml,NULL,65536
TC16,oldParseTest,./test/bigname2.xml,result/bigname2.xml,NULL,65536
TC17,oldParseTest,./test/boundaries1.xml,result/boundaries1.xml,NULL,65536
TC18,oldParseTest,./test/cdata,result/cdata,NULL,65536
TC19,oldParseTest,./test/cdata-2-byte-UTF-8.xml,result/cdata-2-byte-UTF-8.xml,NULL,65536
TC20,oldParseTest,./test/cdata-3-byte-UTF-8.xml,result/cdata-3-byte-UTF-8.xml,NULL,65536
TC21,oldParseTest,./test/cdata-4-byte-UTF-8.xml,result/cdata-4-byte-UTF-8.xml,NULL,65536
TC22,oldParseTest,./test/cdata2,result/cdata2,NULL,65536
TC23,oldParseTest,./test/comment.xml,result/comment.xml,NULL,65536
TC24,oldParseTest,./test/comment2.xml,result/comment2.xml,NULL,65536
TC25,oldParseTest,./test/comment3.xml,result/comment3.xml,NULL,65536
TC26,oldParseTest,./test/comment4.xml,result/comment4.xml,NULL,65536
TC27,oldParseTest,./test/comment5.xml,result/comment5.xml,NULL,65536
TC28,oldParseTest,./test/comment6.xml,result/comment6.xml,NULL,65536
TC29,oldParseTest,./test/dav1,result/dav1,NULL,65536
TC30,oldParseTest,./test/dav10,result/dav10,NULL,65536
TC31,oldParseTest,./test/dav11,result/dav11,NULL,65536
TC32,oldParseTest,./test/dav12,result/dav12,NULL,65536
TC33,oldParseTest,./test/dav13,result/dav13,NULL,65536
TC34,oldParseTest,./test/dav15,result/dav15,NULL,65536
TC35,oldParseTest,./test/dav16,result/dav16,NULL,65536
TC36,oldParseTest,./test/dav17,result/dav17,NULL,65536
TC37,oldParseTest,./test/dav18,result/dav18,NULL,65536
TC38,oldParseTest,./test/dav19,result/dav19,NULL,65536
TC39,oldParseTest,./test/dav2,result/dav2,NULL,65536
TC40,oldParseTest,./test/dav3,result/dav3,NULL,65536
TC41,oldParseTest,./test/dav4,result/dav4,NULL,65536
TC42,oldParseTest,./test/dav5,result/dav5,NULL,65536
TC43,oldParseTest,./test/dav6,result/dav6,NULL,65536
TC44,oldParseTest,./test/dav7,result/dav7,NULL,65536
TC45,oldParseTest,./test/dav8,result/dav8,NULL,65536
TC46,oldParseTest,./test/dav9,result/dav9,NULL,65536
TC47,oldParseTest,./test/defattr.xml,result/defattr.xml,NULL,65536
TC48,oldParseTest,./test/defattr2.xml,result/defattr2.xml,NULL,65536
TC49,oldParseTest,./test/dia1,result/dia1,NULL,65536
TC50,oldParseTest,./test/dia2,result/dia2,NULL,65536
TC51,oldParseTest,./test/dtd1,result/dtd1,NULL,65536
TC52,oldParseTest,./test/dtd10,result/dtd10,NULL,65536
TC53,oldParseTest,./test/dtd11,result/dtd11,NULL,65536
TC54,oldParseTest,./test/dtd12,result/dtd12,NULL,65536
TC55,oldParseTest,./test/dtd13,result/dtd13,NULL,65536
TC56,oldParseTest,./test/dtd2,result/dtd2,NULL,65536
TC57,oldParseTest,./test/dtd3,result/dtd3,NULL,65536
TC58,oldParseTest,./test/dtd4,result/dtd4,NULL,65536
TC59,oldParseTest,./test/dtd5,result/dtd5,NULL,65536
TC60,oldParseTest,./test/dtd6,result/dtd6,NULL,65536
TC61,oldParseTest,./test/dtd7,result/dtd7,NULL,65536
TC62,oldParseTest,./test/dtd8,result/dtd8,NULL,65536
TC63,oldParseTest,./test/dtd9,result/dtd9,NULL,65536
TC64,oldParseTest,./test/ebcdic_566012.xml,result/ebcdic_566012.xml,NULL,65536
TC65,oldParseTest,./test/emptycdata.xml,result/emptycdata.xml,NULL,65536
TC66,oldParseTest,./test/ent1,result/ent1,NULL,65536
TC67,oldParseTest,./test/ent10,result/ent10,NULL,65536
TC68,oldParseTest,./test/ent11,result/ent11,NULL,65536
TC69,oldParseTest,./test/ent12,result/ent12,NULL,65536
TC70,oldParseTest,./test/ent13,result/ent13,NULL,65536
TC71,oldParseTest,./test/ent2,result/ent2,NULL,65536
TC72,oldParseTest,./test/ent3,result/ent3,NULL,65536
TC73,oldParseTest,./test/ent4,result/ent4,NULL,65536
TC74,oldParseTest,./test/ent5,result/ent5,NULL,65536
TC75,oldParseTest,./test/ent6,result/ent6,NULL,65536
TC76,oldParseTest,./test/ent6hex,result/ent6hex,NULL,65536
TC77,oldParseTest,./test/ent7,result/ent7,NULL,65536
TC78,oldParseTest,./test/ent8,result/ent8,NULL,65536
TC79,oldParseTest,./test/ent9,result/ent9,NULL,65536
TC80,oldParseTest,./test/ent_738805.xml,result/ent_738805.xml,NULL,65536
TC81,oldParseTest,./test/eve.xml,result/eve.xml,NULL,65536
TC82,oldParseTest,./test/icu_parse_test.xml,result/icu_parse_test.xml,NULL,65536
TC83,oldParseTest,./test/intsubset.xml,result/intsubset.xml,NULL,65536
TC84,oldParseTest,./test/intsubset2.xml,result/intsubset2.xml,NULL,65536
TC85,oldParseTest,./test/isolat1,result/isolat1,NULL,65536
TC86,oldParseTest,./test/isolat2,result/isolat2,NULL,65536
TC87,oldParseTest,./test/isolat3,result/isolat3,NULL,65536
TC88,oldParseTest,./test/issue626.xml,result/issue626.xml,NULL,65536
TC89,oldParseTest,./test/issue643.xml,result/issue643.xml,NULL,65536
TC90,oldParseTest,./test/japancrlf.xml,result/japancrlf.xml,NULL,65536
TC91,oldParseTest,./test/ns,result/ns,NULL,65536
TC92,oldParseTest,./test/ns-ent.xml,result/ns-ent.xml,NULL,65536
TC93,oldParseTest,./test/ns2,result/ns2,NULL,65536
TC94,oldParseTest,./test/ns3,result/ns3,NULL,65536
TC95,oldParseTest,./test/ns4,result/ns4,NULL,65536
TC96,oldParseTest,./test/ns5,result/ns5,NULL,65536
