subject,method,avg_num_lines_executed_by_failing_tcs,avg_num_utilized_mutants_overall,avg_mut_cnt_buggy_line,avg_f2p_buggy_line,avg_p2f_buggy_line,avg_num_ccts
zlib_ng_TF_top30,allfails-maxMutants-excludeCCT,47.936708860759495,340.1835443037975,8.430379746835444,42.21518987341772,18.854430379746834,6.5
zlib_ng_TF_top30,rand50-maxMutants-excludeCCT,47.936708860759495,167.70886075949366,4.3544303797468356,24.253164556962027,11.322784810126583,6.5
zlib_ng_TF_top30,sbflnaish250-maxMutants-excludeCCT,47.936708860759495,168.44303797468353,7.0886075949367084,42.10126582278481,18.854430379746834,6.5
libxml2_TF_top30,allfails-maxMutants-excludeCCT,2337.6610169491523,15461.43220338983,8.432203389830509,23.97457627118644,0.08050847457627118,7.584745762711864
libxml2_TF_top30,rand50-maxMutants-excludeCCT,2337.6610169491523,7718.881355932203,4.4576271186440675,11.338983050847459,0.07203389830508475,7.584745762711864
libxml2_TF_top30,sbflnaish250-maxMutants-excludeCCT,2337.6610169491523,7665.440677966101,8.432203389830509,23.97457627118644,0.08050847457627118,7.584745762711864
opencv_features2d_TF_top30,allfails-maxMutants-excludeCCT,467.1166666666667,3757.045833333333,9.145833333333334,2.65,0.09166666666666666,2.6875
opencv_features2d_TF_top30,rand50-maxMutants-excludeCCT,467.1166666666667,1879.1583333333333,4.316666666666666,1.1625,0.0875,2.6875
opencv_features2d_TF_top30,sbflnaish250-maxMutants-excludeCCT,467.1166666666667,1881.6166666666666,6.975,2.1708333333333334,0.06666666666666667,2.6875
opencv_imgproc_TF_top30,allfails-maxMutants-excludeCCT,195.48275862068965,1346.8060344827586,8.85344827586207,3.4655172413793105,0.07758620689655173,0.6724137931034483
opencv_imgproc_TF_top30,rand50-maxMutants-excludeCCT,195.48275862068965,674.4568965517242,4.336206896551724,1.8577586206896552,0.01293103448275862,0.6724137931034483
opencv_imgproc_TF_top30,sbflnaish250-maxMutants-excludeCCT,195.48275862068965,679.2155172413793,5.991379310344827,2.9913793103448274,0.06896551724137931,0.6724137931034483
opencv_core_TF_top30,allfails-maxMutants-excludeCCT,969.5646551724138,5586.948275862069,8.737068965517242,29.655172413793103,5.219827586206897,10.637931034482758
opencv_core_TF_top30,rand50-maxMutants-excludeCCT,969.5646551724138,2801.1508620689656,4.573275862068965,13.456896551724139,5.219827586206897,10.637931034482758
opencv_core_TF_top30,sbflnaish250-maxMutants-excludeCCT,969.5646551724138,2834.1293103448274,8.693965517241379,29.655172413793103,5.219827586206897,10.637931034482758
jsoncpp_TF_top30,allfails-maxMutants-excludeCCT,430.8836206896552,2180.176724137931,8.35344827586207,12.65948275862069,0.8318965517241379,3.271551724137931
jsoncpp_TF_top30,rand50-maxMutants-excludeCCT,430.8836206896552,1088.6637931034484,3.7198275862068964,4.237068965517241,0.004310344827586207,3.271551724137931
jsoncpp_TF_top30,sbflnaish250-maxMutants-excludeCCT,430.8836206896552,1089.4741379310344,8.35344827586207,12.65948275862069,0.8318965517241379,3.271551724137931
