subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10
zlib_ng_TF_top30,maxMutants,58.92,79.39,98.73,100.0
zlib_ng_TF_top30,avgMutants,53.51,77.01,98.73,100.0
zlib_ng_TF_top30,reduced-sbfl-based-,56.36,78.4,98.67,100.0
zlib_ng_TF_top30,minMutants,53.72,76.36,98.67,100.0
libxml2_TF_top30,maxMutants,85.28,93.07,93.98,98.56
libxml2_TF_top30,avgMutants,84.68,92.9,92.58,96.57
libxml2_TF_top30,reduced-sbfl-based-,85.19,93.16,93.98,98.69
libxml2_TF_top30,minMutants,82.99,91.47,84.96,91.44
opencv_features2d_TF_top30,maxMutants,78.4,89.7,82.5,94.0
opencv_features2d_TF_top30,avgMutants,75.02,88.05,77.54,91.92
opencv_features2d_TF_top30,reduced-sbfl-based-,76.88,89.31,77.92,90.5
opencv_features2d_TF_top30,minMutants,75.45,88.61,58.96,82.79
opencv_imgproc_TF_top30,maxMutants,63.42,83.03,66.81,83.62
opencv_imgproc_TF_top30,avgMutants,59.52,81.21,63.06,75.69
opencv_imgproc_TF_top30,reduced-sbfl-based-,61.56,81.39,61.64,82.89
opencv_imgproc_TF_top30,minMutants,59.31,81.34,53.15,67.37
opencv_core_TF_top30,maxMutants,78.66,89.78,59.87,65.95
opencv_core_TF_top30,avgMutants,82.29,91.99,56.77,63.66
opencv_core_TF_top30,reduced-sbfl-based-,83.16,92.81,60.91,67.67
opencv_core_TF_top30,minMutants,77.19,90.13,51.29,59.09
jsoncpp_TF_top30,maxMutants,82.47,91.43,95.43,99.05
jsoncpp_TF_top30,avgMutants,84.07,92.42,94.27,98.92
jsoncpp_TF_top30,reduced-sbfl-based-,83.72,93.38,95.0,98.75
jsoncpp_TF_top30,minMutants,82.25,91.86,86.81,96.12
