subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,avg_num_utilized_mutants_overall,avg_mut_cnt_buggy_line,avg_f2p_buggy_line,avg_p2f_buggy_line,avg_num_ccts,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_TF_top30,maxMutants,58.92,79.39,98.73,100.0,47.94,4.05,168.46,6.95,42.04,18.85,6.5,97.47,98.73,98.73,98.73,0.73,0.0,100.0,100.0,52.0
zlib_ng_TF_top30,avgMutants,53.51,77.01,98.73,100.0,47.94,4.05,119.62,4.93,31.34,13.18,6.5,97.47,98.73,98.73,98.73,0.52,-29.14,100.0,100.0,52.0
zlib_ng_TF_top30,reduced-sbfl-based-,56.36,78.4,98.67,100.0,47.94,4.05,106.21,6.07,41.47,18.85,6.5,97.47,98.73,98.73,98.73,0.45,-38.37,100.0,100.0,52.0
zlib_ng_TF_top30,minMutants,53.72,76.36,98.67,100.0,47.94,4.05,40.22,1.67,9.33,4.51,6.5,96.84,98.73,98.1,98.73,0.18,-75.97,100.0,100.0,52.0
libxml2_TF_top30,maxMutants,85.28,93.07,93.98,98.56,2337.66,119.69,7664.85,8.43,23.97,0.08,7.58,75.42,77.97,72.88,78.81,13.98,0.0,72.03,85.17,52.52
libxml2_TF_top30,avgMutants,84.68,92.9,92.58,96.57,2337.66,119.69,5189.51,5.67,16.71,0.06,7.58,73.31,75.85,71.19,75.0,9.48,-32.21,72.03,85.17,52.52
libxml2_TF_top30,reduced-sbfl-based-,85.19,93.16,93.98,98.69,2337.66,119.69,4836.37,8.43,23.97,0.08,7.58,75.85,78.81,72.46,77.54,8.82,-36.92,72.03,85.17,52.52
libxml2_TF_top30,minMutants,82.99,91.47,84.96,91.44,2337.66,119.69,1789.57,1.98,5.03,0.02,7.58,52.54,55.51,52.12,54.66,3.26,-76.68,72.03,85.17,52.52
opencv_features2d_TF_top30,maxMutants,78.4,89.7,82.5,94.0,467.12,21.7,1878.6,6.92,2.21,0.07,2.69,61.25,84.17,72.5,89.17,6.41,0.0,30.0,77.08,54.47
opencv_features2d_TF_top30,avgMutants,75.02,88.05,77.54,91.92,467.12,21.7,1261.63,4.51,1.4,0.05,2.69,60.42,82.92,69.17,87.08,4.3,-32.97,30.0,77.08,54.47
opencv_features2d_TF_top30,reduced-sbfl-based-,76.88,89.31,77.92,90.5,467.12,21.7,1188.08,5.29,1.73,0.06,2.69,60.83,84.17,68.75,87.5,4.05,-36.89,30.0,77.08,54.47
opencv_features2d_TF_top30,minMutants,75.45,88.61,58.96,82.79,467.12,21.7,429.05,1.5,0.46,0.02,2.69,54.58,76.25,57.92,78.33,1.46,-77.23,30.0,77.08,54.47
opencv_imgproc_TF_top30,maxMutants,63.42,83.03,66.81,83.62,195.48,13.34,676.75,6.19,3.03,0.07,0.67,66.81,75.86,69.83,77.59,4.51,0.0,40.95,56.47,53.47
opencv_imgproc_TF_top30,avgMutants,59.52,81.21,63.06,75.69,195.48,13.34,446.31,4.0,1.91,0.04,0.67,62.93,72.41,65.52,74.57,2.97,-34.2,40.95,56.47,53.47
opencv_imgproc_TF_top30,reduced-sbfl-based-,61.56,81.39,61.64,82.89,195.48,13.34,421.7,4.3,1.95,0.03,0.67,62.93,73.28,64.66,75.0,2.77,-38.63,40.95,56.47,53.47
opencv_imgproc_TF_top30,minMutants,59.31,81.34,53.15,67.37,195.48,13.34,155.97,1.37,0.7,0.0,0.67,53.02,65.95,54.74,68.53,1.03,-77.08,40.95,56.47,53.47
opencv_core_TF_top30,maxMutants,78.66,89.78,59.87,65.95,969.56,124.24,2832.79,8.69,29.66,5.22,10.64,69.4,70.69,68.53,75.86,33.47,0.0,43.53,54.74,52.7
opencv_core_TF_top30,avgMutants,82.29,91.99,56.77,63.66,969.56,124.24,1961.07,5.74,21.54,3.92,10.64,66.38,67.24,65.52,71.55,23.05,-31.12,43.53,54.74,52.7
opencv_core_TF_top30,reduced-sbfl-based-,83.16,92.81,60.91,67.67,969.56,124.24,1827.96,8.27,29.53,5.22,10.64,67.67,68.53,65.95,68.97,21.29,-36.4,43.53,54.74,52.7
opencv_core_TF_top30,minMutants,77.19,90.13,51.29,59.09,969.56,124.24,713.19,1.97,8.3,0.03,10.64,48.71,48.71,47.41,48.71,8.31,-75.18,43.53,54.74,52.7
jsoncpp_TF_top30,maxMutants,82.47,91.43,95.43,99.05,430.88,77.91,1089.22,8.35,12.66,0.83,3.27,67.67,68.97,77.59,91.38,1.16,0.0,77.59,91.81,48.15
jsoncpp_TF_top30,avgMutants,84.07,92.42,94.27,98.92,430.88,77.91,789.97,5.69,9.78,0.41,3.27,63.79,65.09,72.84,88.79,0.84,-27.57,77.59,91.81,48.15
jsoncpp_TF_top30,reduced-sbfl-based-,83.72,93.38,95.0,98.75,430.88,77.91,736.25,8.28,12.61,0.83,3.27,67.24,67.67,72.41,86.64,0.76,-34.23,77.59,91.81,48.15
jsoncpp_TF_top30,minMutants,82.25,91.86,86.81,96.12,430.88,77.91,306.72,1.97,3.51,0.0,3.27,43.53,43.97,50.0,69.4,0.32,-72.23,77.59,91.81,48.15
