subject,method_name,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff
zlib_ng_TF_top30,maxMutants,97.47,98.73,98.73,98.73,0.73,0.0
zlib_ng_TF_top30,avgMutants,97.47,98.73,98.73,98.73,0.52,-29.14
zlib_ng_TF_top30,reduced-sbfl-based-,97.47,98.73,98.73,98.73,0.45,-38.37
zlib_ng_TF_top30,minMutants,96.84,98.73,98.1,98.73,0.18,-75.97
libxml2_TF_top30,maxMutants,75.42,77.97,72.88,78.81,13.98,0.0
libxml2_TF_top30,avgMutants,73.31,75.85,71.19,75.0,9.48,-32.21
libxml2_TF_top30,reduced-sbfl-based-,75.85,78.81,72.46,77.54,8.82,-36.92
libxml2_TF_top30,minMutants,52.54,55.51,52.12,54.66,3.26,-76.68
opencv_features2d_TF_top30,maxMutants,61.25,84.17,72.5,89.17,6.41,0.0
opencv_features2d_TF_top30,avgMutants,60.42,82.92,69.17,87.08,4.3,-32.97
opencv_features2d_TF_top30,reduced-sbfl-based-,60.83,84.17,68.75,87.5,4.05,-36.89
opencv_features2d_TF_top30,minMutants,54.58,76.25,57.92,78.33,1.46,-77.23
opencv_imgproc_TF_top30,maxMutants,66.81,75.86,69.83,77.59,4.51,0.0
opencv_imgproc_TF_top30,avgMutants,62.93,72.41,65.52,74.57,2.97,-34.2
opencv_imgproc_TF_top30,reduced-sbfl-based-,62.93,73.28,64.66,75.0,2.77,-38.63
opencv_imgproc_TF_top30,minMutants,53.02,65.95,54.74,68.53,1.03,-77.08
opencv_core_TF_top30,maxMutants,69.4,70.69,68.53,75.86,33.47,0.0
opencv_core_TF_top30,avgMutants,66.38,67.24,65.52,71.55,23.05,-31.12
opencv_core_TF_top30,reduced-sbfl-based-,67.67,68.53,65.95,68.97,21.29,-36.4
opencv_core_TF_top30,minMutants,48.71,48.71,47.41,48.71,8.31,-75.18
jsoncpp_TF_top30,maxMutants,67.67,68.97,77.59,91.38,1.16,0.0
jsoncpp_TF_top30,avgMutants,63.79,65.09,72.84,88.79,0.84,-27.57
jsoncpp_TF_top30,reduced-sbfl-based-,67.24,67.67,72.41,86.64,0.76,-34.23
jsoncpp_TF_top30,minMutants,43.53,43.97,50.0,69.4,0.32,-72.23
