subject,method_name,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_exp1,allfails-10mut,100.0,100.0,47.29
zlib_ng_exp1,sbfl10-10mut,100.0,100.0,47.29
zlib_ng_exp1,sbfl10-5mut,100.0,100.0,47.29
zlib_ng_exp1,sbfl10-3mut,100.0,100.0,47.29
zlib_ng_exp1,sbfl10-1mut,100.0,100.0,47.29
zlib_ng_exp1,sbfl10-0mut,100.0,100.0,47.29
libxml2_exp1,allfails-10mut,71.12,86.64,52.08
libxml2_exp1,sbfl10-10mut,71.12,86.64,52.08
libxml2_exp1,sbfl10-5mut,71.12,86.64,52.08
libxml2_exp1,sbfl10-3mut,71.12,86.64,52.08
libxml2_exp1,sbfl10-1mut,71.12,86.64,52.08
libxml2_exp1,sbfl10-0mut,71.12,86.64,52.08
opencv_features2d_exp1,allfails-10mut,28.02,64.22,42.51
opencv_features2d_exp1,sbfl10-10mut,28.02,64.22,42.51
opencv_features2d_exp1,sbfl10-5mut,28.02,64.22,42.51
opencv_features2d_exp1,sbfl10-3mut,28.02,64.22,42.51
opencv_features2d_exp1,sbfl10-1mut,28.02,64.22,42.51
opencv_features2d_exp1,sbfl10-0mut,28.02,64.22,42.51
opencv_imgproc_exp1,allfails-10mut,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl10-10mut,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl10-5mut,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl10-3mut,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl10-1mut,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl10-0mut,34.05,48.28,50.74
opencv_core_exp1,allfails-10mut,45.69,55.17,52.35
opencv_core_exp1,sbfl10-10mut,45.69,55.17,52.35
opencv_core_exp1,sbfl10-5mut,45.69,55.17,52.35
opencv_core_exp1,sbfl10-3mut,45.69,55.17,52.35
opencv_core_exp1,sbfl10-1mut,45.69,55.17,52.35
opencv_core_exp1,sbfl10-0mut,45.69,55.17,52.35
jsoncpp_exp1,allfails-10mut,81.47,95.69,52.09
jsoncpp_exp1,sbfl10-10mut,81.47,95.69,52.09
jsoncpp_exp1,sbfl10-5mut,81.47,95.69,52.09
jsoncpp_exp1,sbfl10-3mut,81.47,95.69,52.09
jsoncpp_exp1,sbfl10-1mut,81.47,95.69,52.09
jsoncpp_exp1,sbfl10-0mut,81.47,95.69,52.09
