subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_exp1,allfails-10mut,63.77,81.34,97.2,100.0,24.36,733.24,8.85,24.36,733.24,0.0,360.73,7.12,8.51,31.87,14.03,224.56,3065.05,50.74,4.29,96.82,100.0,100.0,100.0,0.91,0.0,100.0,100.0,47.29
zlib_ng_exp1,sbfl20-10mut,58.48,79.31,96.75,100.0,24.36,733.24,8.85,24.36,733.24,0.0,68.7,6.88,5.39,29.33,14.03,40.89,582.87,50.74,4.29,91.08,91.72,91.72,91.72,0.17,-81.04,100.0,100.0,47.29
zlib_ng_exp1,sbfl20-5mut,55.84,77.45,96.75,100.0,24.36,733.24,8.85,24.36,733.24,0.0,40.78,4.05,3.24,16.39,8.33,24.35,345.85,50.74,4.29,91.08,91.72,91.72,91.72,0.1,-88.75,100.0,100.0,47.29
zlib_ng_exp1,sbfl20-3mut,53.81,76.54,96.56,100.0,24.36,733.24,8.85,24.36,733.24,0.0,24.55,2.44,1.93,7.76,5.04,14.64,208.26,50.74,4.29,91.08,91.72,91.72,91.72,0.06,-93.22,100.0,100.0,47.29
zlib_ng_exp1,sbfl20-1mut,50.82,74.85,96.62,100.0,24.36,733.24,8.85,24.36,733.24,0.0,8.18,0.81,0.64,3.45,1.59,4.89,69.42,50.74,4.29,91.08,91.72,91.08,91.72,0.02,-97.74,100.0,100.0,47.29
libxml2_exp1,allfails-10mut,83.25,91.3,93.75,97.67,13.36,76.81,8.46,13.36,76.81,0.0,14850.71,6.58,8.75,24.68,0.13,52293.58,13719.76,2242.6,117.12,75.86,78.02,73.71,77.59,18.34,0.0,71.12,86.64,52.08
libxml2_exp1,sbfl20-10mut,84.76,92.99,93.71,97.33,13.36,76.81,8.46,13.36,76.81,0.0,2951.03,6.59,8.7,23.31,0.13,10007.63,2724.05,2242.6,117.12,77.59,80.6,78.88,83.62,3.54,-80.71,71.12,86.64,52.08
libxml2_exp1,sbfl20-5mut,84.42,92.6,91.16,94.74,13.36,76.81,8.46,13.36,76.81,0.0,1693.24,3.78,4.83,13.31,0.13,5665.67,1563.39,2242.6,117.12,71.55,74.14,69.4,75.0,2.01,-89.05,71.12,86.64,52.08
libxml2_exp1,sbfl20-3mut,84.59,92.55,86.9,92.16,13.36,76.81,8.46,13.36,76.81,0.0,1032.24,2.3,2.94,7.79,0.06,3444.42,953.15,2242.6,117.12,66.38,69.83,63.36,68.53,1.22,-93.34,71.12,86.64,52.08
libxml2_exp1,sbfl20-1mut,85.11,93.03,80.22,89.96,13.36,76.81,8.46,13.36,76.81,0.0,346.41,0.77,0.99,3.15,0.03,1154.57,319.8,2242.6,117.12,45.69,50.43,45.69,50.0,0.41,-97.77,71.12,86.64,52.08
opencv_features2d_exp1,allfails-10mut,80.69,91.52,83.71,94.83,2.0,56.5,3.2,2.0,56.5,0.0,3835.98,7.78,9.14,3.0,0.03,16942.07,32689.51,478.77,22.35,62.07,78.88,73.71,88.36,13.79,0.0,28.02,64.22,42.51
opencv_features2d_exp1,sbfl20-10mut,76.84,89.57,79.53,87.59,2.0,56.5,3.2,2.0,56.5,0.0,773.87,7.94,4.59,1.54,0.0,3429.79,6593.07,478.77,22.35,67.67,81.47,75.0,83.19,2.78,-79.81,28.02,64.22,42.51
opencv_features2d_exp1,sbfl20-5mut,76.1,89.31,70.13,82.33,2.0,56.5,3.2,2.0,56.5,0.0,432.96,4.43,2.49,0.82,0.0,1918.97,3689.11,478.77,22.35,65.09,79.31,70.26,80.17,1.56,-88.7,28.02,64.22,42.51
opencv_features2d_exp1,sbfl20-3mut,75.45,89.13,65.13,81.03,2.0,56.5,3.2,2.0,56.5,0.0,262.45,2.69,1.5,0.47,0.0,1162.45,2236.28,478.77,22.35,62.07,77.59,65.52,78.45,0.94,-93.15,28.02,64.22,42.51
opencv_features2d_exp1,sbfl20-1mut,72.38,87.49,54.74,75.13,2.0,56.5,3.2,2.0,56.5,0.0,87.89,0.9,0.5,0.13,0.0,389.14,748.89,478.77,22.35,53.88,71.55,55.17,71.55,0.32,-97.71,28.02,64.22,42.51
opencv_imgproc_exp1,allfails-10mut,78.61,90.39,74.01,86.85,2.43,96.79,0.65,2.43,96.79,0.0,1378.04,6.82,8.8,2.95,0.0,14625.49,12257.57,199.08,13.86,64.66,71.55,67.67,73.71,7.47,0.0,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl20-10mut,50.0,74.24,47.54,71.85,2.43,96.79,0.65,2.43,96.79,0.0,276.22,6.93,3.51,0.93,0.0,2884.16,2458.39,199.08,13.86,52.16,68.1,53.88,69.4,1.48,-80.13,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl20-5mut,49.0,73.77,44.01,66.21,2.43,96.79,0.65,2.43,96.79,0.0,155.29,3.88,1.97,0.56,0.0,1617.17,1382.33,199.08,13.86,48.71,65.95,51.29,67.67,0.83,-88.84,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl20-3mut,49.18,73.77,41.38,62.93,2.43,96.79,0.65,2.43,96.79,0.0,95.62,2.39,1.21,0.34,0.0,994.42,851.01,199.08,13.86,46.12,64.22,48.28,66.38,0.51,-93.14,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl20-1mut,47.92,73.2,40.04,62.54,2.43,96.79,0.65,2.43,96.79,0.0,32.21,0.81,0.41,0.11,0.0,333.94,286.69,199.08,13.86,42.67,63.36,43.53,65.52,0.17,-97.69,34.05,48.28,50.74
