subject,method,test_acc5,test_acc10,self_acc5,self_acc10
zlib_ng_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.5606060606060607,0.7796536796536797,0.9879746835443036,1.0
zlib_ng_TF_top30,sbflnaish250-maxMutants-withCCT,0.5956709956709957,0.7900432900432901,0.989240506329114,1.0
libxml2_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.8493506493506494,0.9238095238095237,0.9389830508474578,0.9826271186440678
libxml2_TF_top30,sbflnaish250-maxMutants-withCCT,0.8515151515151516,0.9285714285714286,0.8898305084745763,0.9529661016949152
opencv_features2d_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.7835497835497836,0.9025974025974026,0.8125,0.9358333333333334
opencv_features2d_TF_top30,sbflnaish250-maxMutants-withCCT,0.7047619047619048,0.8632034632034633,0.7125,0.8862499999999999
opencv_imgproc_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.6588744588744588,0.8354978354978355,0.6905172413793104,0.8474137931034484
opencv_imgproc_TF_top30,sbflnaish250-maxMutants-withCCT,0.6233766233766234,0.8268398268398268,0.7426724137931034,0.8883620689655173
opencv_core_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.8329004329004329,0.9354978354978355,0.6323275862068966,0.6913793103448275
opencv_core_TF_top30,sbflnaish250-maxMutants-withCCT,0.8372294372294373,0.9367965367965368,0.5564655172413794,0.6357758620689655
jsoncpp_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.8493506493506493,0.9277056277056277,0.9590517241379312,0.9900862068965518
jsoncpp_TF_top30,sbflnaish250-maxMutants-withCCT,0.8316017316017316,0.9320346320346319,0.8965517241379309,0.9573275862068966
