subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10
zlib_ng_exp1,allfails-10mut-allPass,63.77,81.34,97.2,100.0
zlib_ng_exp1,all-passings,52.9,76.36,96.75,100.0
zlib_ng_exp1,brSim-50-passings,61.04,81.73,99.04,100.0
zlib_ng_exp1,brSim-30-passings,55.24,78.57,99.36,100.0
zlib_ng_exp1,brSim-10-passings,56.84,79.35,99.87,100.0
libxml2_exp1,allfails-10mut-allPass,83.25,91.3,93.75,97.67
libxml2_exp1,all-passings,84.5,92.81,77.8,90.13
libxml2_exp1,brSim-50-passings,28.23,48.27,75.39,87.72
libxml2_exp1,brSim-30-passings,24.59,44.16,74.35,86.72
libxml2_exp1,brSim-10-passings,18.57,38.53,61.08,71.64
opencv_features2d_exp1,allfails-10mut-allPass,80.69,91.52,83.71,94.83
opencv_features2d_exp1,all-passings,65.32,83.25,52.97,73.32
opencv_features2d_exp1,brSim-50-passings,42.73,68.23,53.88,72.97
opencv_features2d_exp1,brSim-30-passings,36.1,63.51,53.23,71.98
opencv_features2d_exp1,brSim-10-passings,28.4,59.13,58.71,74.53
opencv_imgproc_exp1,allfails-10mut-allPass,78.61,90.39,74.01,86.85
opencv_imgproc_exp1,all-passings,39.83,66.84,37.89,57.16
opencv_imgproc_exp1,brSim-50-passings,34.33,61.04,40.13,66.72
opencv_imgproc_exp1,brSim-30-passings,32.21,59.35,41.16,70.91
opencv_imgproc_exp1,brSim-10-passings,39.31,68.18,46.72,82.28
opencv_core_exp1,allfails-10mut-allPass,79.74,91.26,61.64,68.19
opencv_core_exp1,all-passings,63.55,83.2,41.51,49.61
opencv_core_exp1,brSim-50-passings,72.55,88.05,46.55,57.16
opencv_core_exp1,brSim-30-passings,57.84,79.87,45.22,55.65
opencv_core_exp1,brSim-10-passings,24.63,46.93,44.14,54.74
jsoncpp_exp1,allfails-10mut-allPass,81.99,91.86,94.83,99.78
jsoncpp_exp1,all-passings,78.4,90.95,84.27,96.94
jsoncpp_exp1,brSim-50-passings,51.65,76.32,83.79,97.46
jsoncpp_exp1,brSim-30-passings,30.91,52.68,78.66,95.52
jsoncpp_exp1,brSim-10-passings,42.12,62.25,69.53,87.97
