subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_exp1,allfails-10mut-allPass,63.77,81.34,97.2,100.0,24.36,733.24,8.85,24.36,733.24,0.0,360.73,7.12,8.51,31.87,14.03,224.56,3065.05,50.74,4.29,96.82,100.0,100.0,100.0,0.91,0.0,100.0,100.0,47.29
zlib_ng_exp1,all-passings,52.9,76.36,96.75,100.0,24.36,733.24,8.85,24.36,733.24,0.0,3.91,0.81,0.47,2.59,1.18,2.35,33.16,50.74,4.29,87.26,87.26,87.26,87.26,0.01,-98.92,100.0,100.0,47.29
zlib_ng_exp1,brSim-50-passings,61.04,81.73,99.04,100.0,24.36,733.24,8.85,24.36,366.29,0.0,3.91,0.8,0.5,4.36,0.91,2.36,18.01,50.74,4.29,85.99,85.99,85.99,85.99,0.01,-99.38,100.0,100.0,47.29
zlib_ng_exp1,brSim-30-passings,55.24,78.57,99.36,100.0,24.36,733.24,8.85,24.36,219.72,0.0,3.9,0.8,0.5,1.68,1.18,2.36,11.75,50.74,4.29,86.62,86.62,86.62,86.62,0.0,-99.57,99.36,100.0,47.29
zlib_ng_exp1,brSim-10-passings,56.84,79.35,99.87,100.0,24.36,733.24,8.85,24.36,72.85,0.0,3.92,0.81,0.5,4.15,0.65,2.37,4.95,50.74,4.29,86.62,86.62,86.62,86.62,0.0,-99.78,99.36,100.0,47.29
libxml2_exp1,allfails-10mut-allPass,83.25,91.3,93.75,97.67,13.36,76.81,8.46,13.36,76.81,0.0,14850.71,6.58,8.75,24.68,0.13,52293.58,13719.76,2242.6,117.12,75.86,78.02,73.71,77.59,18.34,0.0,71.12,86.64,52.08
libxml2_exp1,all-passings,84.5,92.81,77.8,90.13,13.36,76.81,8.46,13.36,76.81,0.0,173.97,0.78,0.97,2.45,0.04,605.22,160.56,2242.6,117.12,45.26,56.47,46.12,62.07,0.21,-98.84,71.12,86.64,52.08
libxml2_exp1,brSim-50-passings,28.23,48.27,75.39,87.72,13.36,76.81,8.46,13.36,38.15,0.0,173.3,0.78,0.94,2.08,0.0,594.47,93.04,2242.6,117.12,42.24,52.16,41.38,58.62,0.19,-98.96,69.4,85.78,52.08
libxml2_exp1,brSim-30-passings,24.59,44.16,74.35,86.72,13.36,76.81,8.46,13.36,22.57,0.0,173.26,0.78,0.94,3.41,0.0,589.26,66.78,2242.6,117.12,49.14,55.17,49.14,58.19,0.18,-99.01,66.81,84.05,52.08
libxml2_exp1,brSim-10-passings,18.57,38.53,61.08,71.64,13.36,76.81,8.46,13.36,7.22,0.0,172.5,0.77,0.92,3.22,0.0,568.67,40.47,2242.6,117.12,46.55,52.16,46.55,54.31,0.17,-99.08,63.79,78.45,52.08
opencv_features2d_exp1,allfails-10mut-allPass,80.69,91.52,83.71,94.83,2.0,56.5,3.2,2.0,56.5,0.0,3835.98,7.78,9.14,3.0,0.03,16942.07,32689.51,478.77,22.35,62.07,78.88,73.71,88.36,13.79,0.0,28.02,64.22,42.51
opencv_features2d_exp1,all-passings,65.32,83.25,52.97,73.32,2.0,56.5,3.2,2.0,56.5,0.0,43.64,0.9,0.32,0.12,0.0,193.32,371.82,478.77,22.35,56.9,72.41,56.9,72.41,0.16,-98.86,28.02,64.22,42.51
opencv_features2d_exp1,brSim-50-passings,42.73,68.23,53.88,72.97,2.0,56.5,3.2,2.0,27.9,0.0,43.6,0.9,0.34,0.09,0.0,192.93,214.97,478.77,22.35,56.03,71.55,56.47,71.55,0.11,-99.18,28.02,64.22,42.51
opencv_features2d_exp1,brSim-30-passings,36.1,63.51,53.23,71.98,2.0,56.5,3.2,2.0,16.54,0.0,43.61,0.9,0.34,0.12,0.0,193.27,151.42,478.77,22.35,54.31,70.26,54.74,70.26,0.1,-99.31,28.02,64.22,42.51
opencv_features2d_exp1,brSim-10-passings,28.4,59.13,58.71,74.53,2.0,56.5,3.2,2.0,5.19,0.0,43.46,0.89,0.33,0.11,0.0,192.18,45.5,478.77,22.35,57.33,72.41,57.76,72.41,0.07,-99.52,28.02,64.22,42.51
opencv_imgproc_exp1,allfails-10mut-allPass,78.61,90.39,74.01,86.85,2.43,96.79,0.65,2.43,96.79,0.0,1378.04,6.82,8.8,2.95,0.0,14625.49,12257.57,199.08,13.86,64.66,71.55,67.67,73.71,7.47,0.0,34.05,48.28,50.74
opencv_imgproc_exp1,all-passings,39.83,66.84,37.89,57.16,2.43,96.79,0.65,2.43,96.79,0.0,15.78,0.81,0.26,0.12,0.0,163.28,140.33,199.08,13.86,45.26,78.02,45.69,78.45,0.08,-98.87,34.05,48.28,50.74
opencv_imgproc_exp1,brSim-50-passings,34.33,61.04,40.13,66.72,2.43,96.79,0.65,2.43,48.01,0.0,15.88,0.81,0.24,0.09,0.0,164.19,77.81,199.08,13.86,43.53,82.33,43.97,82.33,0.07,-99.1,34.05,48.28,50.74
opencv_imgproc_exp1,brSim-30-passings,32.21,59.35,41.16,70.91,2.43,96.79,0.65,2.43,28.56,0.0,15.87,0.81,0.24,0.07,0.0,164.05,60.63,199.08,13.86,42.67,82.76,42.67,82.76,0.06,-99.16,34.05,48.28,50.74
opencv_imgproc_exp1,brSim-10-passings,39.31,68.18,46.72,82.28,2.43,96.79,0.65,2.43,9.0,0.0,15.85,0.81,0.23,0.11,0.0,164.11,15.88,199.08,13.86,43.53,78.88,44.4,79.31,0.05,-99.33,34.05,48.28,50.74
opencv_core_exp1,allfails-10mut-allPass,79.74,91.26,61.64,68.19,16.71,273.12,8.05,16.71,273.12,0.0,5142.56,5.3,8.43,28.56,0.0,65943.63,103195.94,971.84,123.99,71.55,72.41,68.97,71.98,46.98,0.0,45.69,55.17,52.35
opencv_core_exp1,all-passings,63.55,83.2,41.51,49.61,16.71,273.12,8.05,16.71,273.12,0.0,67.22,0.71,0.69,2.0,0.0,852.9,1351.38,971.84,123.99,33.62,43.1,35.78,49.14,0.61,-98.7,45.69,55.17,52.35
opencv_core_exp1,brSim-50-passings,72.55,88.05,46.55,57.16,16.71,273.12,8.05,16.71,136.22,0.0,67.33,0.71,0.68,2.25,0.0,863.69,702.75,971.84,123.99,34.05,44.4,36.21,52.16,0.44,-99.07,41.81,53.45,52.35
opencv_core_exp1,brSim-30-passings,57.84,79.87,45.22,55.65,16.71,273.12,8.05,16.71,81.47,0.0,67.32,0.71,0.65,2.71,0.0,871.18,445.16,971.84,123.99,34.48,43.97,37.5,46.55,0.37,-99.22,39.66,51.29,52.35
opencv_core_exp1,brSim-10-passings,24.63,46.93,44.14,54.74,16.71,273.12,8.05,16.71,26.63,0.0,67.64,0.71,0.63,2.08,0.0,876.5,196.64,971.84,123.99,33.62,41.38,34.48,42.67,0.3,-99.37,38.79,50.86,52.35
jsoncpp_exp1,allfails-10mut-allPass,81.99,91.86,94.83,99.78,6.39,116.19,2.14,6.39,116.19,0.0,2205.47,4.95,8.01,10.4,0.0,5169.71,993.81,437.05,78.8,68.97,70.26,71.98,84.05,1.71,0.0,81.47,95.69,52.09
jsoncpp_exp1,all-passings,78.4,90.95,84.27,96.94,6.39,116.19,2.14,6.39,116.19,0.0,33.51,0.79,0.94,2.19,0.0,78.22,15.11,437.05,78.8,43.1,77.16,66.38,95.69,0.03,-98.49,81.47,95.69,52.09
jsoncpp_exp1,brSim-50-passings,51.65,76.32,83.79,97.46,6.39,116.19,2.14,6.39,57.91,0.0,33.32,0.78,0.94,1.67,0.0,77.76,7.99,437.05,78.8,41.38,76.29,62.93,94.83,0.02,-98.61,80.17,94.83,52.09
jsoncpp_exp1,brSim-30-passings,30.91,52.68,78.66,95.52,6.39,116.19,2.14,6.39,34.45,0.0,33.1,0.78,0.94,1.55,0.0,76.75,5.15,437.05,78.8,36.21,75.0,53.45,93.1,0.02,-98.67,74.14,92.24,52.09
