subject,method_name,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs
zlib_ng_exp1,allfails-10mut-allPass,24.36,733.24,8.85,24.36,733.24,0.0,360.73,7.12,8.51,31.87,14.03,224.56,3065.05,50.74,4.29
zlib_ng_exp1,all-passings,24.36,733.24,8.85,24.36,733.24,0.0,3.91,0.81,0.47,2.59,1.18,2.35,33.16,50.74,4.29
zlib_ng_exp1,brSim-50-passings,24.36,733.24,8.85,24.36,366.29,0.0,3.91,0.8,0.5,4.36,0.91,2.36,18.01,50.74,4.29
zlib_ng_exp1,brSim-30-passings,24.36,733.24,8.85,24.36,219.72,0.0,3.9,0.8,0.5,1.68,1.18,2.36,11.75,50.74,4.29
zlib_ng_exp1,brSim-10-passings,24.36,733.24,8.85,24.36,72.85,0.0,3.92,0.81,0.5,4.15,0.65,2.37,4.95,50.74,4.29
libxml2_exp1,allfails-10mut-allPass,13.36,76.81,8.46,13.36,76.81,0.0,14850.71,6.58,8.75,24.68,0.13,52293.58,13719.76,2242.6,117.12
libxml2_exp1,all-passings,13.36,76.81,8.46,13.36,76.81,0.0,173.97,0.78,0.97,2.45,0.04,605.22,160.56,2242.6,117.12
libxml2_exp1,brSim-50-passings,13.36,76.81,8.46,13.36,38.15,0.0,173.3,0.78,0.94,2.08,0.0,594.47,93.04,2242.6,117.12
libxml2_exp1,brSim-30-passings,13.36,76.81,8.46,13.36,22.57,0.0,173.26,0.78,0.94,3.41,0.0,589.26,66.78,2242.6,117.12
libxml2_exp1,brSim-10-passings,13.36,76.81,8.46,13.36,7.22,0.0,172.5,0.77,0.92,3.22,0.0,568.67,40.47,2242.6,117.12
opencv_features2d_exp1,allfails-10mut-allPass,2.0,56.5,3.2,2.0,56.5,0.0,3835.98,7.78,9.14,3.0,0.03,16942.07,32689.51,478.77,22.35
opencv_features2d_exp1,all-passings,2.0,56.5,3.2,2.0,56.5,0.0,43.64,0.9,0.32,0.12,0.0,193.32,371.82,478.77,22.35
opencv_features2d_exp1,brSim-50-passings,2.0,56.5,3.2,2.0,27.9,0.0,43.6,0.9,0.34,0.09,0.0,192.93,214.97,478.77,22.35
opencv_features2d_exp1,brSim-30-passings,2.0,56.5,3.2,2.0,16.54,0.0,43.61,0.9,0.34,0.12,0.0,193.27,151.42,478.77,22.35
opencv_features2d_exp1,brSim-10-passings,2.0,56.5,3.2,2.0,5.19,0.0,43.46,0.89,0.33,0.11,0.0,192.18,45.5,478.77,22.35
opencv_imgproc_exp1,allfails-10mut-allPass,2.43,96.79,0.65,2.43,96.79,0.0,1378.04,6.82,8.8,2.95,0.0,14625.49,12257.57,199.08,13.86
opencv_imgproc_exp1,all-passings,2.43,96.79,0.65,2.43,96.79,0.0,15.78,0.81,0.26,0.12,0.0,163.28,140.33,199.08,13.86
opencv_imgproc_exp1,brSim-50-passings,2.43,96.79,0.65,2.43,48.01,0.0,15.88,0.81,0.24,0.09,0.0,164.19,77.81,199.08,13.86
opencv_imgproc_exp1,brSim-30-passings,2.43,96.79,0.65,2.43,28.56,0.0,15.87,0.81,0.24,0.07,0.0,164.05,60.63,199.08,13.86
opencv_imgproc_exp1,brSim-10-passings,2.43,96.79,0.65,2.43,9.0,0.0,15.85,0.81,0.23,0.11,0.0,164.11,15.88,199.08,13.86
opencv_core_exp1,allfails-10mut-allPass,16.71,273.12,8.05,16.71,273.12,0.0,5142.56,5.3,8.43,28.56,0.0,65943.63,103195.94,971.84,123.99
opencv_core_exp1,all-passings,16.71,273.12,8.05,16.71,273.12,0.0,67.22,0.71,0.69,2.0,0.0,852.9,1351.38,971.84,123.99
opencv_core_exp1,brSim-50-passings,16.71,273.12,8.05,16.71,136.22,0.0,67.33,0.71,0.68,2.25,0.0,863.69,702.75,971.84,123.99
opencv_core_exp1,brSim-30-passings,16.71,273.12,8.05,16.71,81.47,0.0,67.32,0.71,0.65,2.71,0.0,871.18,445.16,971.84,123.99
opencv_core_exp1,brSim-10-passings,16.71,273.12,8.05,16.71,26.63,0.0,67.64,0.71,0.63,2.08,0.0,876.5,196.64,971.84,123.99
jsoncpp_exp1,allfails-10mut-allPass,6.39,116.19,2.14,6.39,116.19,0.0,2205.47,4.95,8.01,10.4,0.0,5169.71,993.81,437.05,78.8
jsoncpp_exp1,all-passings,6.39,116.19,2.14,6.39,116.19,0.0,33.51,0.79,0.94,2.19,0.0,78.22,15.11,437.05,78.8
jsoncpp_exp1,brSim-50-passings,6.39,116.19,2.14,6.39,57.91,0.0,33.32,0.78,0.94,1.67,0.0,77.76,7.99,437.05,78.8
jsoncpp_exp1,brSim-30-passings,6.39,116.19,2.14,6.39,34.45,0.0,33.1,0.78,0.94,1.55,0.0,76.75,5.15,437.05,78.8
jsoncpp_exp1,brSim-10-passings,6.39,116.19,2.14,6.39,11.25,0.0,32.43,0.76,0.91,1.19,0.0,74.87,2.33,437.05,78.8
