subject,method_name,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff
zlib_ng_exp1,allfails-10mut-allPass,96.82,100.0,100.0,100.0,0.91,0.0
zlib_ng_exp1,sbfl20-3mut-allPass,91.08,91.72,91.72,91.72,0.06,-93.22
zlib_ng_exp1,sbfl20-3mut-brSim70,86.62,86.62,86.62,86.62,0.01,-99.19
zlib_ng_exp1,sbfl20-3mut-brSim50,86.62,86.62,86.62,86.62,0.01,-99.38
zlib_ng_exp1,sbfl20-3mut-brSim30,86.62,86.62,86.62,86.62,0.0,-99.57
zlib_ng_exp1,sbfl20-3mut-brSim10,86.62,86.62,86.62,86.62,0.0,-99.78
libxml2_exp1,allfails-10mut-allPass,75.86,78.02,73.71,77.59,18.34,0.0
libxml2_exp1,sbfl20-3mut-allPass,66.38,69.83,63.36,68.53,1.22,-93.34
libxml2_exp1,sbfl20-3mut-brSim70,41.81,49.57,41.38,57.76,0.2,-98.91
libxml2_exp1,sbfl20-3mut-brSim50,47.41,55.17,47.41,60.78,0.19,-98.96
libxml2_exp1,sbfl20-3mut-brSim30,45.69,51.72,45.26,56.9,0.18,-99.01
libxml2_exp1,sbfl20-3mut-brSim10,44.4,50.0,44.4,52.16,0.17,-99.08
opencv_features2d_exp1,allfails-10mut-allPass,62.07,78.88,73.71,88.36,13.79,0.0
opencv_features2d_exp1,sbfl20-3mut-allPass,62.07,77.59,65.52,78.45,0.94,-93.15
opencv_features2d_exp1,sbfl20-3mut-brSim70,53.45,69.83,53.88,69.83,0.13,-99.08
opencv_features2d_exp1,sbfl20-3mut-brSim50,56.03,72.41,56.47,72.41,0.11,-99.18
opencv_features2d_exp1,sbfl20-3mut-brSim30,56.03,73.28,56.47,73.28,0.1,-99.31
opencv_features2d_exp1,sbfl20-3mut-brSim10,52.59,68.97,53.45,68.97,0.07,-99.52
opencv_imgproc_exp1,allfails-10mut-allPass,64.66,71.55,67.67,73.71,7.47,0.0
opencv_imgproc_exp1,sbfl20-3mut-allPass,46.12,64.22,48.28,66.38,0.51,-93.14
opencv_imgproc_exp1,sbfl20-3mut-brSim70,44.4,79.31,44.83,79.31,0.07,-99.03
opencv_imgproc_exp1,sbfl20-3mut-brSim50,44.4,78.88,45.69,79.31,0.07,-99.1
opencv_imgproc_exp1,sbfl20-3mut-brSim30,43.53,78.88,44.4,79.31,0.06,-99.16
opencv_imgproc_exp1,sbfl20-3mut-brSim10,42.67,78.88,43.53,79.31,0.05,-99.33
opencv_core_exp1,allfails-10mut-allPass,71.55,72.41,68.97,71.98,46.98,0.0
opencv_core_exp1,sbfl20-3mut-allPass,50.0,59.48,52.16,63.36,3.59,-92.35
opencv_core_exp1,sbfl20-3mut-brSim70,32.76,44.83,35.34,50.0,0.51,-98.92
opencv_core_exp1,sbfl20-3mut-brSim50,35.34,46.12,36.64,52.59,0.44,-99.07
opencv_core_exp1,sbfl20-3mut-brSim30,33.19,42.24,35.34,45.26,0.37,-99.22
opencv_core_exp1,sbfl20-3mut-brSim10,35.78,42.67,37.07,43.97,0.3,-99.36
jsoncpp_exp1,allfails-10mut-allPass,68.97,70.26,71.98,84.05,1.71,0.0
jsoncpp_exp1,sbfl20-3mut-allPass,51.29,59.91,77.16,96.55,0.15,-91.39
jsoncpp_exp1,sbfl20-3mut-brSim70,39.66,75.86,64.66,93.53,0.02,-98.56
jsoncpp_exp1,sbfl20-3mut-brSim50,40.95,77.16,65.52,94.4,0.02,-98.61
jsoncpp_exp1,sbfl20-3mut-brSim30,40.09,75.0,58.62,93.53,0.02,-98.68
jsoncpp_exp1,sbfl20-3mut-brSim10,37.07,68.97,47.84,82.33,0.02,-98.75
