subject,method_name,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_exp1,allfails-10mut-allPass,100.0,100.0,47.29
zlib_ng_exp1,sbfl20-3mut-brSim70,100.0,100.0,47.29
zlib_ng_exp1,sbfl20-3mut-brSim50,100.0,100.0,47.29
zlib_ng_exp1,sbfl20-3mut-brSim30,99.36,100.0,47.29
zlib_ng_exp1,sbfl20-3mut-brSim10,99.36,100.0,47.29
libxml2_exp1,allfails-10mut-allPass,71.12,86.64,52.08
libxml2_exp1,sbfl20-3mut-brSim70,69.4,86.64,52.08
libxml2_exp1,sbfl20-3mut-brSim50,69.4,85.78,52.08
libxml2_exp1,sbfl20-3mut-brSim30,66.81,84.05,52.08
libxml2_exp1,sbfl20-3mut-brSim10,63.79,78.45,52.08
opencv_features2d_exp1,allfails-10mut-allPass,28.02,64.22,42.51
opencv_features2d_exp1,sbfl20-3mut-brSim70,28.02,64.22,42.51
opencv_features2d_exp1,sbfl20-3mut-brSim50,28.02,64.22,42.51
opencv_features2d_exp1,sbfl20-3mut-brSim30,28.02,64.22,42.51
opencv_features2d_exp1,sbfl20-3mut-brSim10,28.02,64.22,42.51
opencv_imgproc_exp1,allfails-10mut-allPass,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl20-3mut-brSim70,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl20-3mut-brSim50,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl20-3mut-brSim30,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl20-3mut-brSim10,34.05,48.28,50.74
opencv_core_exp1,allfails-10mut-allPass,45.69,55.17,52.35
opencv_core_exp1,sbfl20-3mut-brSim70,43.1,54.31,52.35
opencv_core_exp1,sbfl20-3mut-brSim50,41.81,53.45,52.35
opencv_core_exp1,sbfl20-3mut-brSim30,39.66,51.29,52.35
opencv_core_exp1,sbfl20-3mut-brSim10,38.79,50.86,52.35
jsoncpp_exp1,allfails-10mut-allPass,81.47,95.69,52.09
jsoncpp_exp1,sbfl20-3mut-brSim70,80.6,95.69,52.09
jsoncpp_exp1,sbfl20-3mut-brSim50,80.17,94.83,52.09
jsoncpp_exp1,sbfl20-3mut-brSim30,74.14,92.24,52.09
jsoncpp_exp1,sbfl20-3mut-brSim10,61.21,80.17,52.09
