subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10
zlib_ng_exp1,allfails-10mut-allPass,63.77,81.34,97.2,100.0
zlib_ng_exp1,sbfl20-3mut-allPass,53.81,76.54,96.56,100.0
zlib_ng_exp1,sbfl20-3mut-rand70,54.98,78.01,96.94,100.0
zlib_ng_exp1,sbfl20-3mut-rand50,55.76,78.83,98.09,100.0
zlib_ng_exp1,sbfl20-3mut-rand30,54.24,77.32,98.85,100.0
zlib_ng_exp1,sbfl20-3mut-rand10,50.39,74.94,99.11,100.0
libxml2_exp1,allfails-10mut-allPass,83.25,91.3,93.75,97.67
libxml2_exp1,sbfl20-3mut-allPass,84.59,92.55,86.9,92.16
libxml2_exp1,sbfl20-3mut-rand70,46.62,72.38,78.49,88.45
libxml2_exp1,sbfl20-3mut-rand50,27.36,49.44,74.7,82.89
libxml2_exp1,sbfl20-3mut-rand30,22.12,41.95,69.83,80.86
libxml2_exp1,sbfl20-3mut-rand10,18.05,38.87,53.88,64.31
opencv_features2d_exp1,allfails-10mut-allPass,80.69,91.52,83.71,94.83
opencv_features2d_exp1,sbfl20-3mut-allPass,75.45,89.13,65.13,81.03
opencv_features2d_exp1,sbfl20-3mut-rand70,52.38,77.66,49.57,69.27
opencv_features2d_exp1,sbfl20-3mut-rand50,48.96,71.99,50.17,69.09
opencv_features2d_exp1,sbfl20-3mut-rand30,36.67,66.62,48.19,66.77
opencv_features2d_exp1,sbfl20-3mut-rand10,27.79,60.26,45.91,66.38
opencv_imgproc_exp1,allfails-10mut-allPass,78.61,90.39,74.01,86.85
opencv_imgproc_exp1,sbfl20-3mut-allPass,49.18,73.77,41.38,62.93
opencv_imgproc_exp1,sbfl20-3mut-rand70,39.13,67.88,37.67,58.62
opencv_imgproc_exp1,sbfl20-3mut-rand50,34.29,61.08,39.22,62.76
opencv_imgproc_exp1,sbfl20-3mut-rand30,32.08,58.83,38.88,63.58
opencv_imgproc_exp1,sbfl20-3mut-rand10,37.92,67.49,45.09,77.28
opencv_core_exp1,allfails-10mut-allPass,79.74,91.26,61.64,68.19
opencv_core_exp1,sbfl20-3mut-allPass,82.42,92.6,56.12,62.72
opencv_core_exp1,sbfl20-3mut-rand70,70.65,87.06,47.03,55.95
opencv_core_exp1,sbfl20-3mut-rand50,72.21,87.36,46.55,54.96
opencv_core_exp1,sbfl20-3mut-rand30,51.3,76.15,46.94,53.79
opencv_core_exp1,sbfl20-3mut-rand10,26.36,47.06,39.78,49.01
jsoncpp_exp1,allfails-10mut-allPass,81.99,91.86,94.83,99.78
jsoncpp_exp1,sbfl20-3mut-allPass,85.71,93.98,89.78,99.27
jsoncpp_exp1,sbfl20-3mut-rand70,81.04,91.21,81.72,95.52
jsoncpp_exp1,sbfl20-3mut-rand50,61.17,79.22,78.71,94.57
jsoncpp_exp1,sbfl20-3mut-rand30,32.12,53.33,69.35,91.16
jsoncpp_exp1,sbfl20-3mut-rand10,42.51,61.9,53.19,78.23
