subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_exp1,allfails-10mut-allPass,63.77,81.34,97.2,100.0,24.36,733.24,8.85,24.36,733.24,0.0,360.73,7.12,8.51,31.87,14.03,224.56,3065.05,50.74,4.29,96.82,100.0,100.0,100.0,0.91,0.0,100.0,100.0,47.29
zlib_ng_exp1,sbfl20-3mut-rand70,54.98,78.01,96.94,100.0,24.36,733.24,8.85,24.36,512.63,0.0,3.96,0.81,0.48,2.02,0.87,2.39,24.04,50.74,4.29,86.62,86.62,86.62,86.62,0.01,-99.2,100.0,100.0,47.29
zlib_ng_exp1,sbfl20-3mut-rand50,55.76,78.83,98.09,100.0,24.36,733.24,8.85,24.36,366.29,0.0,3.94,0.81,0.45,3.07,0.55,2.38,17.39,50.74,4.29,86.62,86.62,86.62,86.62,0.01,-99.4,99.36,100.0,47.29
zlib_ng_exp1,sbfl20-3mut-rand30,54.24,77.32,98.85,100.0,24.36,733.24,8.85,24.36,219.72,0.0,3.95,0.81,0.42,2.43,0.33,2.38,11.12,50.74,4.29,84.71,84.71,84.71,84.71,0.0,-99.59,98.73,100.0,47.29
zlib_ng_exp1,sbfl20-3mut-rand10,50.39,74.94,99.11,100.0,24.36,733.24,8.85,24.36,72.85,0.0,3.99,0.82,0.39,3.25,0.11,2.4,4.63,50.74,4.29,85.35,85.35,85.35,85.35,0.0,-99.79,96.18,100.0,47.29
libxml2_exp1,allfails-10mut-allPass,83.25,91.3,93.75,97.67,13.36,76.81,8.46,13.36,76.81,0.0,14850.71,6.58,8.75,24.68,0.13,52293.58,13719.76,2242.6,117.12,75.86,78.02,73.71,77.59,18.34,0.0,71.12,86.64,52.08
libxml2_exp1,sbfl20-3mut-rand70,46.62,72.38,78.49,88.45,13.36,76.81,8.46,13.36,53.35,0.0,173.72,0.78,0.96,3.42,0.03,604.82,120.06,2242.6,117.12,43.53,53.45,43.53,59.91,0.2,-98.9,70.26,84.48,52.08
libxml2_exp1,sbfl20-3mut-rand50,27.36,49.44,74.7,82.89,13.36,76.81,8.46,13.36,38.15,0.0,173.28,0.78,0.94,2.56,0.03,603.52,93.85,2242.6,117.12,44.83,52.16,43.97,56.03,0.19,-98.94,68.1,78.88,52.08
libxml2_exp1,sbfl20-3mut-rand30,22.12,41.95,69.83,80.86,13.36,76.81,8.46,13.36,22.57,0.0,173.22,0.78,0.92,2.44,0.01,601.32,67.33,2242.6,117.12,43.97,53.88,43.53,56.47,0.19,-98.99,63.36,75.43,52.08
libxml2_exp1,sbfl20-3mut-rand10,18.05,38.87,53.88,64.31,13.36,76.81,8.46,13.36,7.22,0.0,172.12,0.77,0.87,2.36,0.0,594.19,40.64,2242.6,117.12,43.53,48.71,43.53,50.0,0.18,-99.04,51.72,68.53,52.08
opencv_features2d_exp1,allfails-10mut-allPass,80.69,91.52,83.71,94.83,2.0,56.5,3.2,2.0,56.5,0.0,3835.98,7.78,9.14,3.0,0.03,16942.07,32689.51,478.77,22.35,62.07,78.88,73.71,88.36,13.79,0.0,28.02,64.22,42.51
opencv_features2d_exp1,sbfl20-3mut-rand70,52.38,77.66,49.57,69.27,2.0,56.5,3.2,2.0,38.99,0.0,43.36,0.89,0.31,0.11,0.0,191.93,254.6,478.77,22.35,52.16,69.83,52.59,69.83,0.12,-99.1,23.71,59.48,42.51
opencv_features2d_exp1,sbfl20-3mut-rand50,48.96,71.99,50.17,69.09,2.0,56.5,3.2,2.0,27.9,0.0,43.09,0.88,0.29,0.06,0.0,190.64,188.31,478.77,22.35,51.72,68.53,51.72,68.53,0.11,-99.24,18.97,56.9,42.51
opencv_features2d_exp1,sbfl20-3mut-rand30,36.67,66.62,48.19,66.77,2.0,56.5,3.2,2.0,16.54,0.0,43.05,0.88,0.26,0.08,0.0,190.63,111.58,478.77,22.35,49.14,65.09,49.57,65.09,0.08,-99.39,14.66,53.45,42.51
opencv_features2d_exp1,sbfl20-3mut-rand10,27.79,60.26,45.91,66.38,2.0,56.5,3.2,2.0,5.19,0.0,42.97,0.88,0.22,0.07,0.0,190.32,38.31,478.77,22.35,45.26,62.93,45.26,62.93,0.06,-99.54,10.34,48.28,42.51
opencv_imgproc_exp1,allfails-10mut-allPass,78.61,90.39,74.01,86.85,2.43,96.79,0.65,2.43,96.79,0.0,1378.04,6.82,8.8,2.95,0.0,14625.49,12257.57,199.08,13.86,64.66,71.55,67.67,73.71,7.47,0.0,34.05,48.28,50.74
