subject,method_name,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff
zlib_ng_exp1,allfails-10mut-allPass,96.82,100.0,100.0,100.0,0.91,0.0
zlib_ng_exp1,sbfl20-3mut-rand70,86.62,86.62,86.62,86.62,0.01,-99.2
zlib_ng_exp1,sbfl20-3mut-rand50,86.62,86.62,86.62,86.62,0.01,-99.4
zlib_ng_exp1,sbfl20-3mut-rand30,84.71,84.71,84.71,84.71,0.0,-99.59
zlib_ng_exp1,sbfl20-3mut-rand10,85.35,85.35,85.35,85.35,0.0,-99.79
libxml2_exp1,allfails-10mut-allPass,75.86,78.02,73.71,77.59,18.34,0.0
libxml2_exp1,sbfl20-3mut-rand70,43.53,53.45,43.53,59.91,0.2,-98.9
libxml2_exp1,sbfl20-3mut-rand50,44.83,52.16,43.97,56.03,0.19,-98.94
libxml2_exp1,sbfl20-3mut-rand30,43.97,53.88,43.53,56.47,0.19,-98.99
libxml2_exp1,sbfl20-3mut-rand10,43.53,48.71,43.53,50.0,0.18,-99.04
opencv_features2d_exp1,allfails-10mut-allPass,62.07,78.88,73.71,88.36,13.79,0.0
opencv_features2d_exp1,sbfl20-3mut-rand70,52.16,69.83,52.59,69.83,0.12,-99.1
opencv_features2d_exp1,sbfl20-3mut-rand50,51.72,68.53,51.72,68.53,0.11,-99.24
opencv_features2d_exp1,sbfl20-3mut-rand30,49.14,65.09,49.57,65.09,0.08,-99.39
opencv_features2d_exp1,sbfl20-3mut-rand10,45.26,62.93,45.26,62.93,0.06,-99.54
opencv_imgproc_exp1,allfails-10mut-allPass,64.66,71.55,67.67,73.71,7.47,0.0
opencv_imgproc_exp1,sbfl20-3mut-rand70,44.4,78.88,44.83,78.88,0.07,-99.03
opencv_imgproc_exp1,sbfl20-3mut-rand50,42.67,78.88,43.1,78.88,0.07,-99.13
opencv_imgproc_exp1,sbfl20-3mut-rand30,42.24,78.88,42.67,78.88,0.06,-99.23
opencv_imgproc_exp1,sbfl20-3mut-rand10,42.24,73.71,41.81,73.71,0.05,-99.34
opencv_core_exp1,allfails-10mut-allPass,71.55,72.41,68.97,71.98,46.98,0.0
opencv_core_exp1,sbfl20-3mut-rand70,35.78,43.97,38.36,49.14,0.51,-98.92
opencv_core_exp1,sbfl20-3mut-rand50,33.19,44.4,35.78,48.71,0.44,-99.07
opencv_core_exp1,sbfl20-3mut-rand30,34.48,44.4,37.5,49.57,0.37,-99.22
opencv_core_exp1,sbfl20-3mut-rand10,30.6,41.81,32.33,45.69,0.29,-99.38
jsoncpp_exp1,allfails-10mut-allPass,68.97,70.26,71.98,84.05,1.71,0.0
jsoncpp_exp1,sbfl20-3mut-rand70,38.36,75.43,56.9,94.4,0.02,-98.56
jsoncpp_exp1,sbfl20-3mut-rand50,38.79,74.14,56.03,91.38,0.02,-98.61
jsoncpp_exp1,sbfl20-3mut-rand30,40.09,72.84,52.16,85.34,0.02,-98.66
jsoncpp_exp1,sbfl20-3mut-rand10,33.19,63.79,38.36,72.41,0.02,-98.72
