subject,method_name,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs
zlib_ng_exp1,allfails-10mut-allPass,24.36,733.24,8.85,24.36,733.24,0.0,360.73,7.12,8.51,31.87,14.03,224.56,3065.05,50.74,4.29
zlib_ng_exp1,sbfl20-3mut-rand70,24.36,733.24,8.85,24.36,512.63,0.0,3.96,0.81,0.48,2.02,0.87,2.39,24.04,50.74,4.29
zlib_ng_exp1,sbfl20-3mut-rand50,24.36,733.24,8.85,24.36,366.29,0.0,3.94,0.81,0.45,3.07,0.55,2.38,17.39,50.74,4.29
zlib_ng_exp1,sbfl20-3mut-rand30,24.36,733.24,8.85,24.36,219.72,0.0,3.95,0.81,0.42,2.43,0.33,2.38,11.12,50.74,4.29
zlib_ng_exp1,sbfl20-3mut-rand10,24.36,733.24,8.85,24.36,72.85,0.0,3.99,0.82,0.39,3.25,0.11,2.4,4.63,50.74,4.29
libxml2_exp1,allfails-10mut-allPass,13.36,76.81,8.46,13.36,76.81,0.0,14850.71,6.58,8.75,24.68,0.13,52293.58,13719.76,2242.6,117.12
libxml2_exp1,sbfl20-3mut-rand70,13.36,76.81,8.46,13.36,53.35,0.0,173.72,0.78,0.96,3.42,0.03,604.82,120.06,2242.6,117.12
libxml2_exp1,sbfl20-3mut-rand50,13.36,76.81,8.46,13.36,38.15,0.0,173.28,0.78,0.94,2.56,0.03,603.52,93.85,2242.6,117.12
libxml2_exp1,sbfl20-3mut-rand30,13.36,76.81,8.46,13.36,22.57,0.0,173.22,0.78,0.92,2.44,0.01,601.32,67.33,2242.6,117.12
libxml2_exp1,sbfl20-3mut-rand10,13.36,76.81,8.46,13.36,7.22,0.0,172.12,0.77,0.87,2.36,0.0,594.19,40.64,2242.6,117.12
opencv_features2d_exp1,allfails-10mut-allPass,2.0,56.5,3.2,2.0,56.5,0.0,3835.98,7.78,9.14,3.0,0.03,16942.07,32689.51,478.77,22.35
opencv_features2d_exp1,sbfl20-3mut-rand70,2.0,56.5,3.2,2.0,38.99,0.0,43.36,0.89,0.31,0.11,0.0,191.93,254.6,478.77,22.35
opencv_features2d_exp1,sbfl20-3mut-rand50,2.0,56.5,3.2,2.0,27.9,0.0,43.09,0.88,0.29,0.06,0.0,190.64,188.31,478.77,22.35
opencv_features2d_exp1,sbfl20-3mut-rand30,2.0,56.5,3.2,2.0,16.54,0.0,43.05,0.88,0.26,0.08,0.0,190.63,111.58,478.77,22.35
opencv_features2d_exp1,sbfl20-3mut-rand10,2.0,56.5,3.2,2.0,5.19,0.0,42.97,0.88,0.22,0.07,0.0,190.32,38.31,478.77,22.35
opencv_imgproc_exp1,allfails-10mut-allPass,2.43,96.79,0.65,2.43,96.79,0.0,1378.04,6.82,8.8,2.95,0.0,14625.49,12257.57,199.08,13.86
opencv_imgproc_exp1,sbfl20-3mut-rand70,2.43,96.79,0.65,2.43,67.23,0.0,15.82,0.8,0.22,0.09,0.0,163.76,97.9,199.08,13.86
opencv_imgproc_exp1,sbfl20-3mut-rand50,2.43,96.79,0.65,2.43,48.01,0.0,15.81,0.8,0.22,0.08,0.0,163.6,71.46,199.08,13.86
opencv_imgproc_exp1,sbfl20-3mut-rand30,2.43,96.79,0.65,2.43,28.56,0.0,15.76,0.8,0.21,0.06,0.0,163.51,42.61,199.08,13.86
opencv_imgproc_exp1,sbfl20-3mut-rand10,2.43,96.79,0.65,2.43,9.0,0.0,15.59,0.79,0.16,0.07,0.0,163.81,14.85,199.08,13.86
opencv_core_exp1,allfails-10mut-allPass,16.71,273.12,8.05,16.71,273.12,0.0,5142.56,5.3,8.43,28.56,0.0,65943.63,103195.94,971.84,123.99
opencv_core_exp1,sbfl20-3mut-rand70,16.71,273.12,8.05,16.71,190.67,0.0,67.31,0.71,0.66,2.66,0.0,855.16,967.72,971.84,123.99
opencv_core_exp1,sbfl20-3mut-rand50,16.71,273.12,8.05,16.71,136.22,0.0,67.51,0.71,0.65,2.46,0.0,856.93,713.82,971.84,123.99
opencv_core_exp1,sbfl20-3mut-rand30,16.71,273.12,8.05,16.71,81.47,0.0,67.5,0.71,0.59,2.84,0.0,856.57,457.73,971.84,123.99
opencv_core_exp1,sbfl20-3mut-rand10,16.71,273.12,8.05,16.71,26.63,0.0,67.06,0.71,0.56,1.63,0.0,848.9,198.33,971.84,123.99
jsoncpp_exp1,allfails-10mut-allPass,6.39,116.19,2.14,6.39,116.19,0.0,2205.47,4.95,8.01,10.4,0.0,5169.71,993.81,437.05,78.8
jsoncpp_exp1,sbfl20-3mut-rand70,6.39,116.19,2.14,6.39,80.83,0.0,33.46,0.79,0.95,1.45,0.0,78.0,10.81,437.05,78.8
jsoncpp_exp1,sbfl20-3mut-rand50,6.39,116.19,2.14,6.39,57.91,0.0,33.36,0.78,0.94,1.62,0.0,77.89,8.02,437.05,78.8
jsoncpp_exp1,sbfl20-3mut-rand30,6.39,116.19,2.14,6.39,34.45,0.0,33.28,0.78,0.9,1.38,0.0,77.28,5.18,437.05,78.8
jsoncpp_exp1,sbfl20-3mut-rand10,6.39,116.19,2.14,6.39,11.25,0.0,32.93,0.77,0.8,1.49,0.0,76.55,2.37,437.05,78.8
