subject,method_name,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_exp1,allfails-10mut-allPass,100.0,100.0,47.29
zlib_ng_exp1,sbfl20-3mut-rand70,100.0,100.0,47.29
zlib_ng_exp1,sbfl20-3mut-rand50,99.36,100.0,47.29
zlib_ng_exp1,sbfl20-3mut-rand30,98.73,100.0,47.29
zlib_ng_exp1,sbfl20-3mut-rand10,96.18,100.0,47.29
libxml2_exp1,allfails-10mut-allPass,71.12,86.64,52.08
libxml2_exp1,sbfl20-3mut-rand70,70.26,84.48,52.08
libxml2_exp1,sbfl20-3mut-rand50,68.1,78.88,52.08
libxml2_exp1,sbfl20-3mut-rand30,63.36,75.43,52.08
libxml2_exp1,sbfl20-3mut-rand10,51.72,68.53,52.08
opencv_features2d_exp1,allfails-10mut-allPass,28.02,64.22,42.51
opencv_features2d_exp1,sbfl20-3mut-rand70,23.71,59.48,42.51
opencv_features2d_exp1,sbfl20-3mut-rand50,18.97,56.9,42.51
opencv_features2d_exp1,sbfl20-3mut-rand30,14.66,53.45,42.51
opencv_features2d_exp1,sbfl20-3mut-rand10,10.34,48.28,42.51
opencv_imgproc_exp1,allfails-10mut-allPass,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl20-3mut-rand70,34.05,47.84,50.74
opencv_imgproc_exp1,sbfl20-3mut-rand50,33.62,46.98,50.74
opencv_imgproc_exp1,sbfl20-3mut-rand30,32.76,46.12,50.74
opencv_imgproc_exp1,sbfl20-3mut-rand10,30.6,43.1,50.74
opencv_core_exp1,allfails-10mut-allPass,45.69,55.17,52.35
opencv_core_exp1,sbfl20-3mut-rand70,43.53,53.45,52.35
opencv_core_exp1,sbfl20-3mut-rand50,41.81,51.72,52.35
opencv_core_exp1,sbfl20-3mut-rand30,40.95,49.57,52.35
opencv_core_exp1,sbfl20-3mut-rand10,36.21,46.98,52.35
jsoncpp_exp1,allfails-10mut-allPass,81.47,95.69,52.09
jsoncpp_exp1,sbfl20-3mut-rand70,75.43,91.81,52.09
jsoncpp_exp1,sbfl20-3mut-rand50,70.69,87.93,52.09
jsoncpp_exp1,sbfl20-3mut-rand30,60.34,82.33,52.09
jsoncpp_exp1,sbfl20-3mut-rand10,38.36,63.36,52.09
