subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10
zlib_ng_TF_top30,allfails,65.11,82.34,99.11,100.0
zlib_ng_TF_top30,random-50,56.67,78.61,98.73,100.0
zlib_ng_TF_top30,sbfl-based-50,58.92,79.39,98.73,100.0
libxml2_TF_top30,allfails,84.59,92.29,93.9,98.43
libxml2_TF_top30,random-50,53.25,74.63,83.98,92.2
libxml2_TF_top30,sbfl-based-50,85.28,93.07,93.98,98.56
opencv_features2d_TF_top30,allfails,80.04,90.69,84.96,95.08
opencv_features2d_TF_top30,random-50,61.82,82.21,68.83,88.04
opencv_features2d_TF_top30,sbfl-based-50,78.4,89.7,82.5,94.0
opencv_imgproc_TF_top30,allfails,80.48,91.39,79.18,90.91
opencv_imgproc_TF_top30,random-50,52.29,76.06,56.94,74.96
opencv_imgproc_TF_top30,sbfl-based-50,63.42,83.03,66.81,83.62
opencv_core_TF_top30,allfails,83.07,92.68,59.7,67.16
opencv_core_TF_top30,random-50,64.24,82.38,46.08,52.5
opencv_core_TF_top30,sbfl-based-50,78.66,89.78,59.87,65.95
jsoncpp_TF_top30,allfails,81.13,90.43,94.4,98.88
jsoncpp_TF_top30,random-50,55.63,77.23,83.66,96.34
jsoncpp_TF_top30,sbfl-based-50,82.47,91.43,95.43,99.05
