subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,avg_num_utilized_mutants_overall,avg_mut_cnt_buggy_line,avg_f2p_buggy_line,avg_p2f_buggy_line,avg_num_ccts,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_TF_top30,allfails,65.11,82.34,99.11,100.0,47.94,4.05,340.18,8.43,42.22,18.85,6.5,98.1,99.37,99.37,100.0,1.47,0.0,100.0,100.0,52.0
zlib_ng_TF_top30,random-50,56.67,78.61,98.73,100.0,47.94,4.05,169.2,4.61,26.37,8.87,6.5,97.47,98.73,98.73,98.73,0.71,-51.68,100.0,100.0,52.0
zlib_ng_TF_top30,sbfl-based-50,58.92,79.39,98.73,100.0,47.94,4.05,168.46,6.95,42.04,18.85,6.5,97.47,98.73,98.73,98.73,0.73,-50.07,100.0,100.0,52.0
libxml2_TF_top30,allfails,84.59,92.29,93.9,98.43,2337.66,119.69,15461.43,8.43,23.97,0.08,7.58,75.0,76.69,71.19,76.27,27.56,0.0,72.03,85.17,52.52
libxml2_TF_top30,random-50,53.25,74.63,83.98,92.2,2337.66,119.69,7735.66,4.04,16.12,0.07,7.58,51.69,54.24,50.0,55.08,13.79,-49.98,72.03,85.17,52.52
libxml2_TF_top30,sbfl-based-50,85.28,93.07,93.98,98.56,2337.66,119.69,7664.85,8.43,23.97,0.08,7.58,75.42,77.97,72.88,78.81,13.98,-49.28,72.03,85.17,52.52
opencv_features2d_TF_top30,allfails,80.04,90.69,84.96,95.08,467.12,21.7,3757.05,9.15,2.65,0.09,2.69,60.83,82.08,78.33,90.0,12.76,0.0,30.0,77.08,54.47
opencv_features2d_TF_top30,random-50,61.82,82.21,68.83,88.04,467.12,21.7,1873.86,4.68,1.51,0.07,2.69,59.17,81.67,69.58,85.42,6.36,-50.13,30.0,77.08,54.47
opencv_features2d_TF_top30,sbfl-based-50,78.4,89.7,82.5,94.0,467.12,21.7,1878.6,6.92,2.21,0.07,2.69,61.25,84.17,72.5,89.17,6.41,-49.76,30.0,77.08,54.47
opencv_imgproc_TF_top30,allfails,80.48,91.39,79.18,90.91,195.48,13.34,1346.81,8.85,3.47,0.08,0.67,71.55,79.31,73.71,81.03,9.03,0.0,40.95,56.47,53.47
opencv_imgproc_TF_top30,random-50,52.29,76.06,56.94,74.96,195.48,13.34,673.16,4.44,1.79,0.04,0.67,56.9,66.38,62.93,70.26,4.51,-50.07,40.95,56.47,53.47
opencv_imgproc_TF_top30,sbfl-based-50,63.42,83.03,66.81,83.62,195.48,13.34,676.75,6.19,3.03,0.07,0.67,66.81,75.86,69.83,77.59,4.51,-50.03,40.95,56.47,53.47
opencv_core_TF_top30,allfails,83.07,92.68,59.7,67.16,969.56,124.24,5586.95,8.74,29.66,5.22,10.64,68.97,69.4,64.66,69.4,66.62,0.0,43.53,54.74,52.7
opencv_core_TF_top30,random-50,64.24,82.38,46.08,52.5,969.56,124.24,2789.78,4.69,14.16,0.05,10.64,49.14,50.0,48.28,52.16,33.28,-50.05,43.53,54.74,52.7
opencv_core_TF_top30,sbfl-based-50,78.66,89.78,59.87,65.95,969.56,124.24,2832.79,8.69,29.66,5.22,10.64,69.4,70.69,68.53,75.86,33.47,-49.76,43.53,54.74,52.7
jsoncpp_TF_top30,allfails,81.13,90.43,94.4,98.88,430.88,77.91,2180.18,8.35,12.66,0.83,3.27,68.1,69.4,69.4,81.9,2.33,0.0,77.59,91.81,48.15
jsoncpp_TF_top30,random-50,55.63,77.23,83.66,96.34,430.88,77.91,1084.33,4.0,7.58,0.83,3.27,43.53,43.53,56.9,74.57,1.16,-50.15,77.59,91.81,48.15
jsoncpp_TF_top30,sbfl-based-50,82.47,91.43,95.43,99.05,430.88,77.91,1089.22,8.35,12.66,0.83,3.27,67.67,68.97,77.59,91.38,1.16,-50.5,77.59,91.81,48.15
