subject,method_name,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff
zlib_ng_TF_top30,withCCTs,97.47,98.73,98.73,98.73,0.73,0.0
zlib_ng_TF_top30,withoutCCTs,97.47,98.1,98.1,98.1,0.74,1.36
libxml2_TF_top30,withCCTs,75.42,77.97,72.88,78.81,13.98,0.0
libxml2_TF_top30,withoutCCTs,75.85,77.54,71.19,77.12,14.7,5.16
opencv_features2d_TF_top30,withCCTs,61.25,84.17,72.5,89.17,6.41,0.0
opencv_features2d_TF_top30,withoutCCTs,60.42,80.0,71.25,83.75,6.83,6.59
opencv_imgproc_TF_top30,withCCTs,66.81,75.86,69.83,77.59,4.51,0.0
opencv_imgproc_TF_top30,withoutCCTs,66.38,73.71,75.43,81.47,4.54,0.54
opencv_core_TF_top30,withCCTs,69.4,70.69,68.53,75.86,33.47,0.0
opencv_core_TF_top30,withoutCCTs,68.53,69.83,67.24,75.0,34.19,2.15
jsoncpp_TF_top30,withCCTs,67.67,68.97,77.59,91.38,1.16,0.0
jsoncpp_TF_top30,withoutCCTs,67.24,68.53,78.45,90.95,1.17,1.59
