subject,method_name,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,avg_num_utilized_mutants_overall,avg_mut_cnt_buggy_line,avg_f2p_buggy_line,avg_p2f_buggy_line,avg_num_ccts
zlib_ng_TF_top30,withCCTs,47.94,4.05,168.46,6.95,42.04,18.85,6.5
zlib_ng_TF_top30,withoutCCTs,47.94,4.05,167.52,6.92,42.09,18.85,6.5
libxml2_TF_top30,withCCTs,2337.66,119.69,7664.85,8.43,23.97,0.08,7.58
libxml2_TF_top30,withoutCCTs,2337.66,119.69,7662.61,8.43,23.97,0.08,7.58
opencv_features2d_TF_top30,withCCTs,467.12,21.7,1878.6,6.92,2.21,0.07,2.69
opencv_features2d_TF_top30,withoutCCTs,467.12,21.7,1902.36,5.56,2.07,0.06,2.69
opencv_imgproc_TF_top30,withCCTs,195.48,13.34,676.75,6.19,3.03,0.07,0.67
opencv_imgproc_TF_top30,withoutCCTs,195.48,13.34,676.77,5.97,2.93,0.03,0.67
opencv_core_TF_top30,withCCTs,969.56,124.24,2832.79,8.69,29.66,5.22,10.64
opencv_core_TF_top30,withoutCCTs,969.56,124.24,2834.95,8.61,29.63,5.22,10.64
jsoncpp_TF_top30,withCCTs,430.88,77.91,1089.22,8.35,12.66,0.83,3.27
jsoncpp_TF_top30,withoutCCTs,430.88,77.91,1089.35,8.31,12.66,0.83,3.27
