subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_exp1,allfails,63.77,81.34,97.2,100.0,24.36,733.24,8.85,24.36,733.24,0.0,360.73,7.12,8.51,31.87,14.03,224.56,3065.05,50.74,4.29,96.82,100.0,100.0,100.0,0.91,0.0,100.0,100.0,47.29
zlib_ng_exp1,random-50,51.69,75.32,96.88,100.0,24.36,733.24,8.85,24.36,733.24,0.0,177.87,7.11,4.0,12.1,1.96,110.48,1510.28,50.74,4.29,96.82,99.36,99.36,99.36,0.45,-50.73,100.0,100.0,47.29
zlib_ng_exp1,sbfl-based-50,54.03,76.41,97.01,100.0,24.36,733.24,8.85,24.36,733.24,0.0,178.77,7.18,6.87,31.66,14.03,108.66,1518.92,50.74,4.29,97.45,98.73,98.09,98.73,0.45,-50.52,100.0,100.0,47.29
libxml2_exp1,allfails,83.25,91.3,93.75,97.67,13.36,76.81,8.46,13.36,76.81,0.0,14850.71,6.58,8.75,24.68,0.13,52293.58,13719.76,2242.6,117.12,75.86,78.02,73.71,77.59,18.34,0.0,71.12,86.64,52.08
libxml2_exp1,random-50,58.57,78.96,84.91,92.89,13.36,76.81,8.46,13.36,76.81,0.0,7426.27,6.58,4.81,12.63,0.13,26167.17,6861.12,2242.6,117.12,56.47,59.91,53.45,57.33,9.17,-49.97,71.12,86.64,52.08
libxml2_exp1,sbfl-based-50,83.42,91.08,93.92,97.72,13.36,76.81,8.46,13.36,76.81,0.0,7362.3,6.55,8.75,24.68,0.13,25232.2,6801.32,2242.6,117.12,76.29,79.74,75.43,79.74,8.9,-51.47,71.12,86.64,52.08
opencv_features2d_exp1,allfails,80.69,91.52,83.71,94.83,2.0,56.5,3.2,2.0,56.5,0.0,3835.98,7.78,9.14,3.0,0.03,16942.07,32689.51,478.77,22.35,62.07,78.88,73.71,88.36,13.79,0.0,28.02,64.22,42.51
opencv_features2d_exp1,random-50,52.25,76.88,56.55,81.42,2.0,56.5,3.2,2.0,56.5,0.0,1916.64,7.8,4.46,1.62,0.0,8461.27,16333.5,478.77,22.35,51.29,75.86,65.09,80.17,6.89,-50.04,28.02,64.22,42.51
opencv_features2d_exp1,sbfl-based-50,74.72,87.97,81.98,93.84,2.0,56.5,3.2,2.0,56.5,0.0,1934.75,7.95,7.3,2.38,0.03,8584.07,16487.74,478.77,22.35,63.36,83.19,75.43,87.93,6.96,-49.48,28.02,64.22,42.51
opencv_imgproc_exp1,allfails,78.61,90.39,74.01,86.85,2.43,96.79,0.65,2.43,96.79,0.0,1378.04,6.82,8.8,2.95,0.0,14625.49,12257.57,199.08,13.86,64.66,71.55,67.67,73.71,7.47,0.0,34.05,48.28,50.74
opencv_imgproc_exp1,random-50,61.26,80.52,55.91,76.03,2.43,96.79,0.65,2.43,96.79,0.0,685.41,6.82,4.62,1.78,0.0,7267.09,6096.53,199.08,13.86,52.16,61.64,58.19,65.52,3.71,-50.29,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl-based-50,64.33,82.64,61.9,81.55,2.43,96.79,0.65,2.43,96.79,0.0,696.66,6.96,6.22,2.34,0.0,7374.32,6200.24,199.08,13.86,59.91,65.52,63.36,67.67,3.77,-49.51,34.05,48.28,50.74
opencv_core_exp1,allfails,79.74,91.26,61.64,68.19,16.71,273.12,8.05,16.71,273.12,0.0,5142.56,5.3,8.43,28.56,0.0,65943.63,103195.94,971.84,123.99,71.55,72.41,68.97,71.98,46.98,0.0,45.69,55.17,52.35
opencv_core_exp1,random-50,50.56,75.63,44.57,51.85,16.71,273.12,8.05,16.71,273.12,0.0,2577.78,5.31,4.04,9.18,0.0,33047.58,51720.48,971.84,123.99,46.98,47.84,46.55,50.43,23.55,-49.88,45.69,55.17,52.35
opencv_core_exp1,sbfl-based-50,81.9,92.21,61.77,67.72,16.71,273.12,8.05,16.71,273.12,0.0,2626.61,5.44,8.43,28.56,0.0,34351.84,52820.3,971.84,123.99,71.55,73.28,71.12,76.29,24.21,-48.46,45.69,55.17,52.35
jsoncpp_exp1,allfails,81.99,91.86,94.83,99.78,6.39,116.19,2.14,6.39,116.19,0.0,2205.47,4.95,8.01,10.4,0.0,5169.71,993.81,437.05,78.8,68.97,70.26,71.98,84.05,1.71,0.0,81.47,95.69,52.09
jsoncpp_exp1,random-50,53.85,75.71,86.16,97.37,6.39,116.19,2.14,6.39,116.19,0.0,1101.28,4.95,4.26,5.76,0.0,2585.24,496.22,437.05,78.8,50.0,50.0,60.78,78.88,0.86,-50.0,81.47,95.69,52.09
jsoncpp_exp1,sbfl-based-50,84.5,92.99,95.22,99.87,6.39,116.19,2.14,6.39,116.19,0.0,1083.69,4.97,8.01,10.4,0.0,2520.2,488.23,437.05,78.8,69.4,70.26,82.33,93.97,0.84,-51.19,81.47,95.69,52.09
