subject,method_name,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff
zlib_ng_exp1,allfails,96.82,100.0,100.0,100.0,0.91,0.0
zlib_ng_exp1,random-50,96.82,99.36,99.36,99.36,0.45,-50.73
zlib_ng_exp1,sbfl-based-50,97.45,98.73,98.09,98.73,0.45,-50.52
libxml2_exp1,allfails,75.86,78.02,73.71,77.59,18.34,0.0
libxml2_exp1,random-50,56.47,59.91,53.45,57.33,9.17,-49.97
libxml2_exp1,sbfl-based-50,76.29,79.74,75.43,79.74,8.9,-51.47
opencv_features2d_exp1,allfails,62.07,78.88,73.71,88.36,13.79,0.0
opencv_features2d_exp1,random-50,51.29,75.86,65.09,80.17,6.89,-50.04
opencv_features2d_exp1,sbfl-based-50,63.36,83.19,75.43,87.93,6.96,-49.48
opencv_imgproc_exp1,allfails,64.66,71.55,67.67,73.71,7.47,0.0
opencv_imgproc_exp1,random-50,52.16,61.64,58.19,65.52,3.71,-50.29
opencv_imgproc_exp1,sbfl-based-50,59.91,65.52,63.36,67.67,3.77,-49.51
opencv_core_exp1,allfails,71.55,72.41,68.97,71.98,46.98,0.0
opencv_core_exp1,random-50,46.98,47.84,46.55,50.43,23.55,-49.88
opencv_core_exp1,sbfl-based-50,71.55,73.28,71.12,76.29,24.21,-48.46
jsoncpp_exp1,allfails,68.97,70.26,71.98,84.05,1.71,0.0
jsoncpp_exp1,random-50,50.0,50.0,60.78,78.88,0.86,-50.0
jsoncpp_exp1,sbfl-based-50,69.4,70.26,82.33,93.97,0.84,-51.19
