subject,method_name,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs
zlib_ng_exp1,allfails,24.36,733.24,8.85,24.36,733.24,0.0,360.73,7.12,8.51,31.87,14.03,224.56,3065.05,50.74,4.29
zlib_ng_exp1,random-50,24.36,733.24,8.85,24.36,733.24,0.0,177.87,7.11,4.0,12.1,1.96,110.48,1510.28,50.74,4.29
zlib_ng_exp1,sbfl-based-50,24.36,733.24,8.85,24.36,733.24,0.0,178.77,7.18,6.87,31.66,14.03,108.66,1518.92,50.74,4.29
libxml2_exp1,allfails,13.36,76.81,8.46,13.36,76.81,0.0,14850.71,6.58,8.75,24.68,0.13,52293.58,13719.76,2242.6,117.12
libxml2_exp1,random-50,13.36,76.81,8.46,13.36,76.81,0.0,7426.27,6.58,4.81,12.63,0.13,26167.17,6861.12,2242.6,117.12
libxml2_exp1,sbfl-based-50,13.36,76.81,8.46,13.36,76.81,0.0,7362.3,6.55,8.75,24.68,0.13,25232.2,6801.32,2242.6,117.12
opencv_features2d_exp1,allfails,2.0,56.5,3.2,2.0,56.5,0.0,3835.98,7.78,9.14,3.0,0.03,16942.07,32689.51,478.77,22.35
opencv_features2d_exp1,random-50,2.0,56.5,3.2,2.0,56.5,0.0,1916.64,7.8,4.46,1.62,0.0,8461.27,16333.5,478.77,22.35
opencv_features2d_exp1,sbfl-based-50,2.0,56.5,3.2,2.0,56.5,0.0,1934.75,7.95,7.3,2.38,0.03,8584.07,16487.74,478.77,22.35
opencv_imgproc_exp1,allfails,2.43,96.79,0.65,2.43,96.79,0.0,1378.04,6.82,8.8,2.95,0.0,14625.49,12257.57,199.08,13.86
opencv_imgproc_exp1,random-50,2.43,96.79,0.65,2.43,96.79,0.0,685.41,6.82,4.62,1.78,0.0,7267.09,6096.53,199.08,13.86
opencv_imgproc_exp1,sbfl-based-50,2.43,96.79,0.65,2.43,96.79,0.0,696.66,6.96,6.22,2.34,0.0,7374.32,6200.24,199.08,13.86
opencv_core_exp1,allfails,16.71,273.12,8.05,16.71,273.12,0.0,5142.56,5.3,8.43,28.56,0.0,65943.63,103195.94,971.84,123.99
opencv_core_exp1,random-50,16.71,273.12,8.05,16.71,273.12,0.0,2577.78,5.31,4.04,9.18,0.0,33047.58,51720.48,971.84,123.99
opencv_core_exp1,sbfl-based-50,16.71,273.12,8.05,16.71,273.12,0.0,2626.61,5.44,8.43,28.56,0.0,34351.84,52820.3,971.84,123.99
jsoncpp_exp1,allfails,6.39,116.19,2.14,6.39,116.19,0.0,2205.47,4.95,8.01,10.4,0.0,5169.71,993.81,437.05,78.8
jsoncpp_exp1,random-50,6.39,116.19,2.14,6.39,116.19,0.0,1101.28,4.95,4.26,5.76,0.0,2585.24,496.22,437.05,78.8
jsoncpp_exp1,sbfl-based-50,6.39,116.19,2.14,6.39,116.19,0.0,1083.69,4.97,8.01,10.4,0.0,2520.2,488.23,437.05,78.8
