subject,method_name,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_exp1,allfails,100.0,100.0,47.29
zlib_ng_exp1,random-50,100.0,100.0,47.29
zlib_ng_exp1,sbfl-based-50,100.0,100.0,47.29
libxml2_exp1,allfails,71.12,86.64,52.08
libxml2_exp1,random-50,71.12,86.64,52.08
libxml2_exp1,sbfl-based-50,71.12,86.64,52.08
opencv_features2d_exp1,allfails,28.02,64.22,42.51
opencv_features2d_exp1,random-50,28.02,64.22,42.51
opencv_features2d_exp1,sbfl-based-50,28.02,64.22,42.51
opencv_imgproc_exp1,allfails,34.05,48.28,50.74
opencv_imgproc_exp1,random-50,34.05,48.28,50.74
opencv_imgproc_exp1,sbfl-based-50,34.05,48.28,50.74
opencv_core_exp1,allfails,45.69,55.17,52.35
opencv_core_exp1,random-50,45.69,55.17,52.35
opencv_core_exp1,sbfl-based-50,45.69,55.17,52.35
jsoncpp_exp1,allfails,81.47,95.69,52.09
jsoncpp_exp1,random-50,81.47,95.69,52.09
jsoncpp_exp1,sbfl-based-50,81.47,95.69,52.09
