subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10
zlib_ng_exp1,sbfl-based-100,63.77,81.34,97.2,100.0
zlib_ng_exp1,sbfl-based-50,54.03,76.41,97.01,100.0
zlib_ng_exp1,sbfl-based-30,56.02,77.36,96.75,100.0
zlib_ng_exp1,sbfl-based-20,55.58,77.1,96.75,100.0
zlib_ng_exp1,sbfl-based-10,49.48,75.02,96.88,100.0
zlib_ng_exp1,sbfl-based-1,48.48,74.46,96.69,100.0
zlib_ng_exp1,sbfl-based-0,41.95,70.0,96.62,100.0
libxml2_exp1,sbfl-based-100,83.25,91.3,93.75,97.67
libxml2_exp1,sbfl-based-50,83.42,91.08,93.92,97.72
libxml2_exp1,sbfl-based-30,83.33,91.52,94.05,97.8
libxml2_exp1,sbfl-based-20,84.5,93.12,93.71,97.33
libxml2_exp1,sbfl-based-10,85.8,93.85,92.8,97.16
libxml2_exp1,sbfl-based-1,57.75,80.09,86.72,93.88
libxml2_exp1,sbfl-based-0,34.33,63.64,71.34,86.64
opencv_features2d_exp1,sbfl-based-100,80.69,91.52,83.71,94.83
opencv_features2d_exp1,sbfl-based-50,74.72,87.97,81.98,93.84
opencv_features2d_exp1,sbfl-based-30,76.36,89.61,82.76,91.77
opencv_features2d_exp1,sbfl-based-20,75.11,88.44,79.96,88.23
opencv_features2d_exp1,sbfl-based-10,67.27,84.42,73.28,89.27
opencv_features2d_exp1,sbfl-based-1,50.74,74.81,45.43,70.69
opencv_features2d_exp1,sbfl-based-0,37.66,67.4,21.21,58.97
opencv_imgproc_exp1,sbfl-based-100,78.61,90.39,74.01,86.85
opencv_imgproc_exp1,sbfl-based-50,64.33,82.64,61.9,81.55
opencv_imgproc_exp1,sbfl-based-30,60.56,80.0,57.63,80.47
opencv_imgproc_exp1,sbfl-based-20,49.22,74.24,47.84,72.76
opencv_imgproc_exp1,sbfl-based-10,42.34,70.61,42.54,60.39
opencv_imgproc_exp1,sbfl-based-1,34.59,62.73,34.78,48.32
opencv_imgproc_exp1,sbfl-based-0,34.42,62.47,33.79,47.59
opencv_core_exp1,sbfl-based-100,79.74,91.26,61.64,68.19
opencv_core_exp1,sbfl-based-50,81.9,92.21,61.77,67.72
opencv_core_exp1,sbfl-based-30,82.64,92.68,61.21,67.5
opencv_core_exp1,sbfl-based-20,84.2,93.94,65.26,71.29
opencv_core_exp1,sbfl-based-10,78.18,90.0,53.79,61.68
opencv_core_exp1,sbfl-based-1,66.49,85.06,48.92,58.97
opencv_core_exp1,sbfl-based-0,45.5,71.99,43.19,52.84
jsoncpp_exp1,sbfl-based-100,81.99,91.86,94.83,99.78
jsoncpp_exp1,sbfl-based-50,84.5,92.99,95.22,99.87
jsoncpp_exp1,sbfl-based-30,86.23,94.29,95.39,99.96
jsoncpp_exp1,sbfl-based-20,87.01,95.06,95.56,100.0
jsoncpp_exp1,sbfl-based-10,86.15,94.55,95.47,100.0
jsoncpp_exp1,sbfl-based-1,63.25,82.29,86.29,96.77
jsoncpp_exp1,sbfl-based-0,38.01,66.49,81.47,95.69
