subject,method_name,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs
zlib_ng_exp1,allfails-ten-Mutants,24.36,733.24,8.85,24.36,733.24,0.0,360.73,7.12,8.51,31.87,14.03,5.88,8.6,50.74,4.29
zlib_ng_exp1,ten-Mutants,24.36,733.24,8.85,24.36,733.24,0.0,33.06,6.88,3.9,24.86,9.57,2.5,8.6,50.74,4.29
zlib_ng_exp1,five-Mutants,24.36,733.24,8.85,24.36,733.24,0.0,19.59,4.0,2.29,15.01,5.89,1.5,8.6,50.74,4.29
zlib_ng_exp1,three-Mutants,24.36,733.24,8.85,24.36,733.24,0.0,11.9,2.42,1.47,6.68,3.68,0.93,8.6,50.74,4.29
zlib_ng_exp1,one-mutants,24.36,733.24,8.85,24.36,733.24,0.0,3.91,0.81,0.47,2.59,1.18,0.3,8.6,50.74,4.29
zlib_ng_exp1,zero-Mutants,24.36,733.24,8.85,24.36,733.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,50.74,4.29
libxml2_exp1,allfails-ten-Mutants,13.36,76.81,8.46,13.36,76.81,0.0,14850.71,6.58,8.75,24.68,0.13,35.11,0.92,2242.6,117.12
libxml2_exp1,ten-Mutants,13.36,76.81,8.46,13.36,76.81,0.0,1485.44,6.67,8.47,23.24,0.13,34.1,0.92,2242.6,117.12
libxml2_exp1,five-Mutants,13.36,76.81,8.46,13.36,76.81,0.0,850.81,3.81,4.68,14.37,0.13,18.85,0.92,2242.6,117.12
libxml2_exp1,three-Mutants,13.36,76.81,8.46,13.36,76.81,0.0,517.91,2.32,2.86,8.62,0.06,11.47,0.92,2242.6,117.12
libxml2_exp1,one-mutants,13.36,76.81,8.46,13.36,76.81,0.0,173.97,0.78,0.97,2.45,0.04,3.89,0.92,2242.6,117.12
libxml2_exp1,zero-Mutants,13.36,76.81,8.46,13.36,76.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,2242.6,117.12
opencv_features2d_exp1,allfails-ten-Mutants,2.0,56.5,3.2,2.0,56.5,0.0,3835.98,7.78,9.14,3.0,0.03,42.8,8.59,478.77,22.35
opencv_features2d_exp1,ten-Mutants,2.0,56.5,3.2,2.0,56.5,0.0,383.54,7.96,2.94,0.93,0.0,14.39,8.59,478.77,22.35
opencv_features2d_exp1,five-Mutants,2.0,56.5,3.2,2.0,56.5,0.0,215.03,4.42,1.55,0.5,0.01,7.63,8.59,478.77,22.35
opencv_features2d_exp1,three-Mutants,2.0,56.5,3.2,2.0,56.5,0.0,130.14,2.67,1.02,0.29,0.0,4.86,8.59,478.77,22.35
opencv_features2d_exp1,one-mutants,2.0,56.5,3.2,2.0,56.5,0.0,43.64,0.9,0.32,0.12,0.0,1.54,8.59,478.77,22.35
opencv_features2d_exp1,zero-Mutants,2.0,56.5,3.2,2.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.59,478.77,22.35
opencv_imgproc_exp1,allfails-ten-Mutants,2.43,96.79,0.65,2.43,96.79,0.0,1378.04,6.82,8.8,2.95,0.0,97.06,8.91,199.08,13.86
opencv_imgproc_exp1,ten-Mutants,2.43,96.79,0.65,2.43,96.79,0.0,135.5,6.92,2.65,1.05,0.0,29.77,8.91,199.08,13.86
opencv_imgproc_exp1,five-Mutants,2.43,96.79,0.65,2.43,96.79,0.0,76.44,3.89,1.21,0.38,0.0,13.65,8.91,199.08,13.86
opencv_imgproc_exp1,three-Mutants,2.43,96.79,0.65,2.43,96.79,0.0,47.12,2.38,0.68,0.21,0.0,7.81,8.91,199.08,13.86
opencv_imgproc_exp1,one-mutants,2.43,96.79,0.65,2.43,96.79,0.0,15.78,0.81,0.26,0.12,0.0,2.99,8.91,199.08,13.86
opencv_imgproc_exp1,zero-Mutants,2.43,96.79,0.65,2.43,96.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91,199.08,13.86
opencv_core_exp1,allfails-ten-Mutants,16.71,273.12,8.05,16.71,273.12,0.0,5142.56,5.3,8.43,28.56,0.0,109.65,20.07,971.84,123.99
opencv_core_exp1,ten-Mutants,16.71,273.12,8.05,16.71,273.12,0.0,531.29,5.68,6.12,27.83,0.0,80.4,20.07,971.84,123.99
opencv_core_exp1,five-Mutants,16.71,273.12,8.05,16.71,273.12,0.0,314.46,3.34,3.5,14.2,0.0,46.1,20.07,971.84,123.99
opencv_core_exp1,three-Mutants,16.71,273.12,8.05,16.71,273.12,0.0,197.36,2.09,2.08,10.71,0.0,27.63,20.07,971.84,123.99
opencv_core_exp1,one-mutants,16.71,273.12,8.05,16.71,273.12,0.0,67.22,0.71,0.69,2.0,0.0,9.2,20.07,971.84,123.99
opencv_core_exp1,zero-Mutants,16.71,273.12,8.05,16.71,273.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.07,971.84,123.99
jsoncpp_exp1,allfails-ten-Mutants,6.39,116.19,2.14,6.39,116.19,0.0,2205.47,4.95,8.01,10.4,0.0,18.95,0.45,437.05,78.8
jsoncpp_exp1,ten-Mutants,6.39,116.19,2.14,6.39,116.19,0.0,236.14,5.55,7.53,10.31,0.0,17.77,0.45,437.05,78.8
jsoncpp_exp1,five-Mutants,6.39,116.19,2.14,6.39,116.19,0.0,150.83,3.54,4.52,6.1,0.0,10.69,0.45,437.05,78.8
jsoncpp_exp1,three-Mutants,6.39,116.19,2.14,6.39,116.19,0.0,96.92,2.28,2.84,3.85,0.0,6.71,0.45,437.05,78.8
jsoncpp_exp1,one-mutants,6.39,116.19,2.14,6.39,116.19,0.0,33.51,0.79,0.94,2.19,0.0,2.22,0.45,437.05,78.8
jsoncpp_exp1,zero-Mutants,6.39,116.19,2.14,6.39,116.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,437.05,78.8
