subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10
zlib_ng_exp1,withoutCCTs,52.9,76.36,96.75,100.0
zlib_ng_exp1,withCCTs,50.43,75.58,97.07,100.0
libxml2_exp1,withoutCCTs,84.5,92.81,77.8,90.13
libxml2_exp1,withCCTs,58.61,80.52,75.56,86.47
opencv_features2d_exp1,withoutCCTs,65.32,83.25,52.97,73.32
opencv_features2d_exp1,withCCTs,60.52,81.56,54.22,82.03
opencv_imgproc_exp1,withoutCCTs,39.83,66.84,37.89,57.16
opencv_imgproc_exp1,withCCTs,38.35,65.06,40.69,58.1
opencv_core_exp1,withoutCCTs,63.55,83.2,41.51,49.61
opencv_core_exp1,withCCTs,61.56,81.99,43.75,53.53
jsoncpp_exp1,withoutCCTs,78.4,90.95,84.27,96.94
jsoncpp_exp1,withCCTs,74.59,89.26,83.58,96.38
