subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_exp1,withoutCCTs,52.9,76.36,96.75,100.0,24.36,733.24,8.85,24.36,733.24,0.0,3.91,0.81,0.47,2.59,1.18,2.35,33.16,50.74,4.29,87.26,87.26,87.26,87.26,0.01,0.0,100.0,100.0,47.29
zlib_ng_exp1,withCCTs,50.43,75.58,97.07,100.0,24.36,733.24,8.85,24.36,733.24,8.85,3.87,0.79,0.45,3.39,2.8,2.35,33.7,50.74,4.29,81.53,81.53,81.53,81.53,0.01,1.51,100.0,100.0,47.29
libxml2_exp1,withoutCCTs,84.5,92.81,77.8,90.13,13.36,76.81,8.46,13.36,76.81,0.0,173.97,0.78,0.97,2.45,0.04,605.22,160.56,2242.6,117.12,45.26,56.47,46.12,62.07,0.21,0.0,71.12,86.64,52.08
libxml2_exp1,withCCTs,58.61,80.52,75.56,86.47,13.36,76.81,8.46,13.36,76.81,8.46,173.91,0.78,0.9,2.24,2.03,604.36,176.1,2242.6,117.12,45.26,52.16,45.26,62.5,0.22,1.92,71.55,84.48,52.08
opencv_features2d_exp1,withoutCCTs,65.32,83.25,52.97,73.32,2.0,56.5,3.2,2.0,56.5,0.0,43.64,0.9,0.32,0.12,0.0,193.32,371.82,478.77,22.35,56.9,72.41,56.9,72.41,0.16,0.0,28.02,64.22,42.51
opencv_features2d_exp1,withCCTs,60.52,81.56,54.22,82.03,2.0,56.5,3.2,2.0,56.5,3.2,44.39,0.91,0.25,0.08,0.1,195.81,416.27,478.77,22.35,46.55,54.74,48.28,55.17,0.17,8.31,33.19,79.31,42.51
opencv_imgproc_exp1,withoutCCTs,39.83,66.84,37.89,57.16,2.43,96.79,0.65,2.43,96.79,0.0,15.78,0.81,0.26,0.12,0.0,163.28,140.33,199.08,13.86,45.26,78.02,45.69,78.45,0.08,0.0,34.05,48.28,50.74
opencv_imgproc_exp1,withCCTs,38.35,65.06,40.69,58.1,2.43,96.79,0.65,2.43,96.79,0.65,15.94,0.81,0.22,0.09,0.03,164.44,143.29,199.08,13.86,44.4,78.88,48.71,79.31,0.09,1.36,38.36,53.02,50.74
opencv_core_exp1,withoutCCTs,63.55,83.2,41.51,49.61,16.71,273.12,8.05,16.71,273.12,0.0,67.22,0.71,0.69,2.0,0.0,852.9,1351.38,971.84,123.99,33.62,43.1,35.78,49.14,0.61,0.0,45.69,55.17,52.35
opencv_core_exp1,withCCTs,61.56,81.99,43.75,53.53,16.71,273.12,8.05,16.71,273.12,8.05,67.42,0.71,0.67,4.1,1.74,855.61,1391.32,971.84,123.99,39.22,48.28,41.81,55.6,0.62,1.93,45.26,56.47,52.35
jsoncpp_exp1,withoutCCTs,78.4,90.95,84.27,96.94,6.39,116.19,2.14,6.39,116.19,0.0,33.51,0.79,0.94,2.19,0.0,78.22,15.11,437.05,78.8,43.1,77.16,66.38,95.69,0.03,0.0,81.47,95.69,52.09
jsoncpp_exp1,withCCTs,74.59,89.26,83.58,96.38,6.39,116.19,2.14,6.39,116.19,2.14,33.5,0.79,0.9,1.31,0.54,78.1,15.39,437.05,78.8,40.95,75.0,63.79,94.83,0.03,0.17,81.9,95.26,52.09
