bug_name,buggy_line_key,# of failing Tcs,# of lines executed by failing TCs,# of mutants,# of uncompilable mutants,# of mutans on buggy line,# of uncompilable mutants on buggy line,# of compilable mutants on buggy line,total p2f (all mutants),total f2p (all mutants),# of functions,# of function with same highest met score,met score of highest rank,rank of buggy function (function level) (met),met score of buggy function,# of function with same highest muse score,muse score of highest rank,rank of buggy function (function level) (muse),muse score of buggy function
json_reader.MUT316.cpp,"json_reader.cpp#Reader::decodeDouble(class Json::Reader::Token & token, class Json::Value & decoded)#610",1,415,349,57,12,8,4,353,5,305,2,1.0,2,1.0,1,0.0833333333333333,2,0.0333333333333333
json_reader.MUT439.cpp,"json_reader.cpp#Reader::pushError(const class Json::Value & value, const Json::String & message)#825",1,354,327,70,12,0,12,398,1,305,1,1.0,1,1.0,1,0.0384615384615384,1,0.0384615384615384
json_reader.MUT47.cpp,json_reader.cpp#Reader::readValue()#173,1,425,347,56,12,1,11,368,0,305,305,0.0,305,0.0,303,0.0,303,0.0
json_reader.MUT274.cpp,json_reader.cpp#Reader::readArray(class Json::Reader::Token & token)#536,3,451,362,61,12,6,6,406,9,305,1,1.0,1,1.0,1,0.1285714285714285,1,0.1285714285714285
json_reader.MUT874.cpp,"json_reader.cpp#OurReader::decodeString(class Json::OurReader::Token & token, Json::String & decoded)#1696",1,404,339,90,12,7,5,674,1,305,1,1.0,1,1.0,1,0.0833333333333333,1,0.0833333333333333
json_reader.MUT724.cpp,json_reader.cpp#OurReader::readString()#1425,10,650,330,85,12,0,12,420,0,305,305,0.0,305,0.0,304,0.0,304,0.0
json_reader.MUT545.cpp,json_reader.cpp#OurReader::readValue()#1139,10,780,386,74,12,7,5,213,74,305,1,1.0,1,1.0,1,0.0844444444444444,1,0.0844444444444444
json_reader.MUT9.cpp,"json_reader.cpp#Reader::parse(const std::string & document, class Json::Value & root, _Bool collectComments)#97",9,538,372,43,6,0,6,387,19,305,1,1.0,1,1.0,1,0.0642857142857142,1,0.0642857142857142
json_reader.MUT481.cpp,"json_reader.cpp#OurReader::parse(const char * beginDoc, const char * endDoc, class Json::Value & root, _Bool collectComments)#1035",3,520,442,78,12,0,12,319,6,305,1,1.0,1,1.0,1,0.0659340659340659,1,0.0659340659340659
json_reader.MUT722.cpp,json_reader.cpp#OurReader::readString()#1422,10,723,344,97,12,0,12,315,0,305,305,0.0,305,0.0,303,0.0,303,0.0
json_reader.MUT831.cpp,"json_reader.cpp#OurReader::decodeNumber(class Json::OurReader::Token & token, class Json::Value & decoded)#1623",3,610,361,76,12,2,10,553,3,305,1,0.5773502691896258,1,0.5773502691896258,1,0.0454545454545454,1,0.0454545454545454
json_reader.MUT159.cpp,"json_reader.cpp#Reader::match(const Json::Reader::Char * pattern, int patternLength)#329",2,484,396,51,4,0,4,670,0,305,305,0.0,305,0.0,303,0.0,303,0.0
json_reader.MUT843.cpp,"json_reader.cpp#OurReader::decodeDouble(class Json::OurReader::Token & token, class Json::Value & decoded)#1653",3,647,344,61,12,8,4,305,2,305,1,0.5773502691896258,1,0.5773502691896258,1,0.1333333333333333,1,0.1333333333333333
json_reader.MUT787.cpp,json_reader.cpp#OurReader::readArray(class Json::OurReader::Token & token)#1524,6,804,327,81,12,1,11,310,33,305,1,1.0,1,1.0,1,0.0784313725490196,1,0.0784313725490196
json_reader.MUT499.cpp,json_reader.cpp#OurReader::readValue()#1065,2,575,396,84,12,6,6,605,2,305,1,1.0,1,1.0,1,0.0952380952380952,1,0.0952380952380952
json_reader.MUT505.cpp,json_reader.cpp#OurReader::readValue()#1075,8,689,347,67,12,7,5,238,40,305,1,1.0,1,1.0,1,0.1382113821138211,1,0.1382113821138211
json_reader.MUT57.cpp,json_reader.cpp#Reader::readValue()#188,1,425,343,34,12,0,12,268,0,305,305,0.0,305,0.0,305,0.0,305,0.0
json_reader.MUT319.cpp,json_reader.cpp#Reader::decodeString(class Json::Reader::Token & token)#619,1,425,406,37,12,0,12,385,0,305,305,0.0,305,0.0,304,0.0,304,0.0
