bug_name,key,total # of functions,# of functions with same highest Binary score,Binary score of highest rank,rank of buggy function (Binary),Binary score of buggy function,# of functions with same highest GP13 score,GP13 score of highest rank,rank of buggy function (GP13),GP13 score of buggy function,# of functions with same highest Jaccard score,Jaccard score of highest rank,rank of buggy function (Jaccard),Jaccard score of buggy function,# of functions with same highest Naish1 score,Naish1 score of highest rank,rank of buggy function (Naish1),Naish1 score of buggy function,# of functions with same highest Naish2 score,Naish2 score of highest rank,rank of buggy function (Naish2),Naish2 score of buggy function,# of functions with same highest Ochiai score,Ochiai score of highest rank,rank of buggy function (Ochiai),Ochiai score of buggy function,# of functions with same highest Russel+Rao score,Russel+Rao score of highest rank,rank of buggy function (Russel+Rao),Russel+Rao score of buggy function,# of functions with same highest Wong1 score,Wong1 score of highest rank,rank of buggy function (Wong1),Wong1 score of buggy function
json_reader.MUT316.cpp,"json_reader.cpp#Reader::decodeDouble(class Json::Reader::Token & token, class Json::Value & decoded)#610",305,69,1,69,1,12,2.0,12,2.0,12,1.0,12,1.0,12,10,12,10,12,1.0,12,1.0,12,1.0,12,1.0,69,0.0909090909090909,69,0.0909090909090909,69,1,69,1
json_reader.MUT439.cpp,"json_reader.cpp#Reader::pushError(const class Json::Value & value, const Json::String & message)#825",305,66,1,66,1,14,2.0,14,2.0,14,1.0,14,1.0,14,10,14,10,14,1.0,14,1.0,14,1.0,14,1.0,66,0.0909090909090909,66,0.0909090909090909,66,1,66,1
json_reader.MUT47.cpp,json_reader.cpp#Reader::readValue()#173,305,67,1,67,1,20,2.0,20,2.0,20,1.0,20,1.0,20,10,20,10,20,1.0,20,1.0,20,1.0,20,1.0,67,0.0909090909090909,67,0.0909090909090909,67,1,67,1
json_reader.MUT274.cpp,json_reader.cpp#Reader::readArray(class Json::Reader::Token & token)#536,305,56,1,56,1,13,4.0,13,4.0,13,1.0,13,1.0,13,10,13,10,13,3.0,13,3.0,13,1.0,13,1.0,56,0.2307692307692307,56,0.2307692307692307,56,3,56,3
json_reader.MUT874.cpp,"json_reader.cpp#OurReader::decodeString(class Json::OurReader::Token & token, Json::String & decoded)#1696",305,73,1,73,1,9,2.0,9,2.0,9,1.0,9,1.0,9,10,9,10,9,1.0,9,1.0,9,1.0,9,1.0,73,0.0909090909090909,73,0.0909090909090909,73,1,73,1
json_reader.MUT724.cpp,json_reader.cpp#OurReader::readString()#1425,305,66,1,66,1,19,11.0,19,11.0,19,1.0,19,1.0,19,10,19,10,19,10.0,19,10.0,19,1.0,19,1.0,66,0.5,66,0.5,66,10,66,10
json_reader.MUT545.cpp,json_reader.cpp#OurReader::readValue()#1139,305,63,1,63,1,20,11.0,20,11.0,20,1.0,20,1.0,20,10,20,10,20,10.0,20,10.0,20,1.0,20,1.0,63,0.5,63,0.5,63,10,63,10
json_reader.MUT9.cpp,"json_reader.cpp#Reader::parse(const std::string & document, class Json::Value & root, _Bool collectComments)#97",305,49,1,49,1,9,10.0,9,10.0,9,1.0,9,1.0,9,10,9,10,9,9.0,9,9.0,9,1.0,9,1.0,49,0.4736842105263157,49,0.4736842105263157,49,9,49,9
json_reader.MUT481.cpp,"json_reader.cpp#OurReader::parse(const char * beginDoc, const char * endDoc, class Json::Value & root, _Bool collectComments)#1035",305,65,1,65,1,1,4.0,1,4.0,1,1.0,1,1.0,1,10,1,10,1,3.0,1,3.0,1,1.0,1,1.0,65,0.2307692307692307,65,0.2307692307692307,65,3,65,3
json_reader.MUT722.cpp,json_reader.cpp#OurReader::readString()#1422,305,64,1,64,1,2,11.0,2,11.0,2,1.0,2,1.0,2,10,2,10,2,10.0,2,10.0,2,1.0,2,1.0,64,0.5,64,0.5,64,10,64,10
json_reader.MUT831.cpp,"json_reader.cpp#OurReader::decodeNumber(class Json::OurReader::Token & token, class Json::Value & decoded)#1623",305,65,1,65,1,3,4.0,3,4.0,3,1.0,3,1.0,3,9,3,9,3,3.0,3,3.0,3,1.0,3,1.0,65,0.25,65,0.25,65,3,65,3
json_reader.MUT159.cpp,"json_reader.cpp#Reader::match(const Json::Reader::Char * pattern, int patternLength)#329",305,56,1,56,1,3,3.0,3,3.0,3,1.0,3,1.0,3,10,3,10,3,2.0,3,2.0,3,1.0,3,1.0,56,0.1666666666666666,56,0.1666666666666666,56,2,56,2
json_reader.MUT843.cpp,"json_reader.cpp#OurReader::decodeDouble(class Json::OurReader::Token & token, class Json::Value & decoded)#1653",305,69,1,69,1,9,4.0,9,4.0,9,1.0,9,1.0,9,10,9,10,9,3.0,9,3.0,9,1.0,9,1.0,69,0.2307692307692307,69,0.2307692307692307,69,3,69,3
json_reader.MUT787.cpp,json_reader.cpp#OurReader::readArray(class Json::OurReader::Token & token)#1524,305,83,1,83,1,5,7.0,5,7.0,5,1.0,5,1.0,5,10,5,10,5,6.0,5,6.0,5,1.0,5,1.0,83,0.375,83,0.375,83,6,83,6
json_reader.MUT499.cpp,json_reader.cpp#OurReader::readValue()#1065,305,93,1,93,1,3,3.0,3,3.0,3,1.0,3,1.0,3,10,3,10,3,2.0,3,2.0,3,1.0,3,1.0,93,0.1666666666666666,93,0.1666666666666666,93,2,93,2
json_reader.MUT505.cpp,json_reader.cpp#OurReader::readValue()#1075,305,68,1,68,1,4,9.0,4,9.0,4,1.0,4,1.0,4,10,4,10,4,8.0,4,8.0,4,1.0,4,1.0,68,0.4444444444444444,68,0.4444444444444444,68,8,68,8
