bug_name,buggy_line_key,# of failing Tcs,# of lines executed by failing TCs,# of mutants,# of uncompilable mutants,# of mutans on buggy line,# of uncompilable mutants on buggy line,# of compilable mutants on buggy line,total p2f (all mutants),total f2p (all mutants),# of functions,# of function with same highest met score,met score of highest rank,rank of buggy function (function level) (met),met score of buggy function,# of function with same highest muse score,muse score of highest rank,rank of buggy function (function level) (muse),muse score of buggy function
xmlregexp.MUT1539.c,"xmlregexp.c#xmlFARegExec(xmlRegexpPtr comp, const xmlChar * content)#3199",10,6227,1216,76,10,0,10,1499,528,918,8,0.7745966692414834,9,0.7071067811865475,1,0.0065665107949457,18,0.0008592541673827
HTMLparser.MUT605.c,"HTMLparser.c#htmlParseHTMLAttribute(htmlParserCtxtPtr ctxt, const xmlChar stop)#2730",10,1710,1319,138,19,2,17,228,8,918,1,0.4472135954999579,1,0.4472135954999579,1,0.0592592592592592,1,0.0592592592592592
parser.MUT5494.c,"parser.c#xmlParseExternalEntityPrivate(xmlDocPtr doc, xmlParserCtxtPtr oldctxt, xmlSAXHandlerPtr sax, void * user_data, int depth, const xmlChar * URL, const xmlChar * ID, xmlNodePtr * list)#12763",10,2345,1001,73,6,0,6,2606,30,918,1,1.0,1,1.0,1,0.0921658986175115,1,0.0921658986175115
HTMLparser.MUT639.c,"HTMLparser.c#htmlParseHTMLAttribute(htmlParserCtxtPtr ctxt, const xmlChar stop)#2789",10,1730,1299,121,20,6,14,788,5,918,1,0.7071067811865475,1,0.7071067811865475,1,0.0555555555555555,1,0.0555555555555555
relaxng.MUT4914.c,"relaxng.c#xmlRelaxNGValidateState(xmlRelaxNGValidCtxtPtr ctxt, xmlRelaxNGDefinePtr define)#9825",10,4562,1084,101,18,0,18,1877,761,918,2,1.0,4,0.8366600265340756,1,0.0064346389608647,11,0.0009669843901091
xmlregexp.MUT1823.c,"xmlregexp.c#xmlRegExecPushStringInternal(xmlRegExecCtxtPtr exec, const xmlChar * value, void * data, int compound)#3728",10,5837,1174,83,20,5,15,1344,546,918,1,1.0,1,1.0,1,0.0070143405470264,6,0.0022851919561243
HTMLparser.issue318.c,HTMLparser.c#htmlParsePubidLiteral(htmlParserCtxtPtr ctxt)#3034,5,1147,1119,63,19,2,17,925,25,918,1,1.0,1,1.0,1,0.0534188034188034,1,0.0534188034188034
xmlregexp.MUT1602.c,"xmlregexp.c#xmlFARegExec(xmlRegexpPtr comp, const xmlChar * content)#3298",10,9343,1130,50,19,2,17,849,503,918,1,1.0,1,1.0,1,0.0066137566137566,4,0.0035273368606701
parser.MUT2635.c,"parser.c#xmlParseElementChildrenContentDeclPriv(xmlParserCtxtPtr ctxt, int inputchk, int depth)#6420",18,1601,1084,97,5,0,5,2400,36,918,1,1.0,1,1.0,1,0.1621621621621621,1,0.1621621621621621
xmlschemas.MUT812.c,xmlschemas.c#xmlSchemaNewSchema(xmlSchemaParserCtxtPtr ctxt)#3329,14,149,831,46,5,0,5,1907,266,918,5,1.0,5,1.0,2,0.0262172284644194,2,0.0262172284644194
