bug_name,key,total # of functions,# of functions with same highest Binary score,Binary score of highest rank,rank of buggy function (Binary),Binary score of buggy function,# of functions with same highest GP13 score,GP13 score of highest rank,rank of buggy function (GP13),GP13 score of buggy function,# of functions with same highest Jaccard score,Jaccard score of highest rank,rank of buggy function (Jaccard),Jaccard score of buggy function,# of functions with same highest Naish1 score,Naish1 score of highest rank,rank of buggy function (Naish1),Naish1 score of buggy function,# of functions with same highest Naish2 score,Naish2 score of highest rank,rank of buggy function (Naish2),Naish2 score of buggy function,# of functions with same highest Ochiai score,Ochiai score of highest rank,rank of buggy function (Ochiai),Ochiai score of buggy function,# of functions with same highest Russel+Rao score,Russel+Rao score of highest rank,rank of buggy function (Russel+Rao),Russel+Rao score of buggy function,# of functions with same highest Wong1 score,Wong1 score of highest rank,rank of buggy function (Wong1),Wong1 score of buggy function
xmlregexp.MUT1539.c,"xmlregexp.c#xmlFARegExec(xmlRegexpPtr comp, const xmlChar * content)#3199",918,31,1,31,1,11,11.0,11,11.0,11,1.0,11,1.0,11,24,11,24,11,10.0,11,10.0,11,1.0,11,1.0,31,0.2941176470588235,31,0.2941176470588235,31,10,31,10
HTMLparser.MUT605.c,"HTMLparser.c#htmlParseHTMLAttribute(htmlParserCtxtPtr ctxt, const xmlChar stop)#2730",918,28,1,28,1,16,11.0,16,11.0,16,1.0,16,1.0,16,22,16,22,16,10.0,16,10.0,16,1.0,16,1.0,28,0.3125,28,0.3125,28,10,28,10
parser.MUT5494.c,"parser.c#xmlParseExternalEntityPrivate(xmlDocPtr doc, xmlParserCtxtPtr oldctxt, xmlSAXHandlerPtr sax, void * user_data, int depth, const xmlChar * URL, const xmlChar * ID, xmlNodePtr * list)#12763",918,36,1,36,1,4,11.0,4,11.0,4,1.0,4,1.0,4,24,4,24,4,10.0,4,10.0,4,1.0,4,1.0,36,0.2941176470588235,36,0.2941176470588235,36,10,36,10
HTMLparser.MUT639.c,"HTMLparser.c#htmlParseHTMLAttribute(htmlParserCtxtPtr ctxt, const xmlChar stop)#2789",918,33,1,33,1,5,11.0,5,11.0,5,1.0,5,1.0,5,24,5,24,5,10.0,5,10.0,5,1.0,5,1.0,33,0.2941176470588235,33,0.2941176470588235,33,10,33,10
relaxng.MUT4914.c,"relaxng.c#xmlRelaxNGValidateState(xmlRelaxNGValidCtxtPtr ctxt, xmlRelaxNGDefinePtr define)#9825",918,111,1,111,1,48,11.0,48,11.0,48,1.0,48,1.0,48,24,48,24,48,10.0,48,10.0,48,1.0,48,1.0,111,0.2941176470588235,111,0.2941176470588235,111,10,111,10
xmlregexp.MUT1823.c,"xmlregexp.c#xmlRegExecPushStringInternal(xmlRegExecCtxtPtr exec, const xmlChar * value, void * data, int compound)#3728",918,33,1,33,1,5,11.0,5,11.0,5,1.0,5,1.0,5,24,5,24,5,10.0,5,10.0,5,1.0,5,1.0,33,0.2941176470588235,33,0.2941176470588235,33,10,33,10
HTMLparser.issue318.c,HTMLparser.c#htmlParsePubidLiteral(htmlParserCtxtPtr ctxt)#3034,918,14,1,14,1,7,6.0,7,6.0,7,1.0,7,1.0,7,24,7,24,7,5.0,7,5.0,7,1.0,7,1.0,14,0.1724137931034483,14,0.1724137931034483,14,5,14,5
xmlregexp.MUT1602.c,"xmlregexp.c#xmlFARegExec(xmlRegexpPtr comp, const xmlChar * content)#3298",918,34,1,34,1,15,11.0,15,11.0,15,1.0,15,1.0,15,24,15,24,15,10.0,15,10.0,15,1.0,15,1.0,34,0.2941176470588235,34,0.2941176470588235,34,10,34,10
parser.MUT2635.c,"parser.c#xmlParseElementChildrenContentDeclPriv(xmlParserCtxtPtr ctxt, int inputchk, int depth)#6420",918,16,1,16,1,4,19.0,4,19.0,4,1.0,4,1.0,4,23,4,23,4,18.0,4,18.0,4,1.0,4,1.0,16,0.4390243902439024,16,0.4390243902439024,16,18,16,18
xmlschemas.MUT812.c,xmlschemas.c#xmlSchemaNewSchema(xmlSchemaParserCtxtPtr ctxt)#3329,918,16,1,16,1,13,15.0,13,15.0,13,1.0,13,1.0,13,23,13,23,13,14.0,13,14.0,13,1.0,13,1.0,16,0.3783783783783784,16,0.3783783783783784,16,14,16,14
relaxng.MUT4445.c,"relaxng.c#xmlRelaxNGValidateAttributeList(xmlRelaxNGValidCtxtPtr ctxt, xmlRelaxNGDefinePtr defines)#9010",918,133,1,133,1,62,11.0,62,11.0,62,1.0,62,1.0,62,24,62,24,62,10.0,62,10.0,62,1.0,62,1.0,133,0.2941176470588235,133,0.2941176470588235,133,10,133,10
xmlregexp.MUT1918.c,"xmlregexp.c#xmlRegExecPushStringInternal(xmlRegExecCtxtPtr exec, const xmlChar * value, void * data, int compound)#3893",918,34,1,34,1,9,8.0,9,8.0,9,1.0,9,1.0,9,24,9,24,9,7.0,9,7.0,9,1.0,9,1.0,34,0.2258064516129032,34,0.2258064516129032,34,7,34,7
HTMLparser.MUT2163.c,"HTMLparser.c#htmlCreateFileParserCtxt(const char * filename, const char * encoding)#6137",918,11,1,11,1,4,11.0,4,11.0,4,1.0,4,1.0,4,24,4,24,4,10.0,4,10.0,4,1.0,4,1.0,11,0.2941176470588235,11,0.2941176470588235,11,10,11,10
xmlregexp.MUT1870.c,"xmlregexp.c#xmlRegExecPushStringInternal(xmlRegExecCtxtPtr exec, const xmlChar * value, void * data, int compound)#3813",918,27,1,27,1,2,11.0,2,11.0,2,1.0,2,1.0,2,24,2,24,2,10.0,2,10.0,2,1.0,2,1.0,27,0.2941176470588235,27,0.2941176470588235,27,10,27,10
xmlregexp.MUT1287.c,"xmlregexp.c#xmlRegCheckCharacterRange(xmlRegAtomType type, int codepoint, int neg, int start, int end, const xmlChar * blockName)#2809",918,36,1,36,1,15,10.0,15,10.0,15,1.0,15,1.0,15,24,15,24,15,9.0,15,9.0,15,1.0,15,1.0,36,0.2727272727272727,36,0.2727272727272727,36,9,36,9
HTMLparser.MUT1068.c,"HTMLparser.c#htmlCheckMeta(htmlParserCtxtPtr ctxt, const xmlChar ** atts)#3804",918,34,1,34,1,7,11.0,7,11.0,7,1.0,7,1.0,7,24,7,24,7,10.0,7,10.0,7,1.0,7,1.0,34,0.2941176470588235,34,0.2941176470588235,34,10,34,10
xmlschemas.MUT616.c,"xmlschemas.c#xmlSchemaFacetErr(xmlSchemaAbstractCtxtPtr actxt, xmlParserErrors error, xmlNodePtr node, const xmlChar * value, unsigned long length, xmlSchemaTypePtr type, xmlSchemaFacetPtr facet, const char * message, const xmlChar * str1, const xmlChar * str2)#2725",918,155,1,155,1,110,7.0,110,7.0,110,1.0,110,1.0,110,24,110,24,110,6.0,110,6.0,110,1.0,110,1.0,155,0.2,155,0.2,155,6,155,6
xmlschemas.MUT979.c,"xmlschemas.c#xmlSchemaBucketCreate(xmlSchemaParserCtxtPtr pctxt, int type, const xmlChar * targetNamespace)#3726",918,84,1,84,1,15,8.0,15,8.0,15,1.0,15,1.0,15,24,15,24,15,7.0,15,7.0,15,1.0,15,1.0,84,0.2258064516129032,84,0.2258064516129032,84,7,84,7
relaxng.issue711.c,"relaxng.c#xmlRelaxNGParseNameClass(xmlRelaxNGParserCtxtPtr ctxt, xmlNodePtr node, xmlRelaxNGDefinePtr def)#5257",918,60,1,60,1,3,3.0,3,3.0,3,1.0,3,1.0,3,24,3,24,3,2.0,3,2.0,3,1.0,3,1.0,60,0.0769230769230769,60,0.0769230769230769,60,2,60,2
relaxng.MUT3504.c,"relaxng.c#xmlRelaxNGCleanupTree(xmlRelaxNGParserCtxtPtr ctxt, xmlNodePtr root)#7136",918,67,1,67,1,26,18.0,26,18.0,26,1.0,26,1.0,26,23,26,23,26,17.0,26,17.0,26,1.0,26,1.0,67,0.425,67,0.425,67,17,67,17
parser.MUT491.c,"parser.c#xmlParserNsLookupSax(xmlParserCtxtPtr ctxt, const xmlChar * prefix)#1573",918,29,1,29,1,1,37.0,1,37.0,1,1.0,1,1.0,1,18,1,18,1,36.0,1,36.0,1,1.0,1,1.0,29,0.6666666666666666,29,0.6666666666666666,29,36,29,36
relaxng.MUT156.c,relaxng.c#xmlRelaxNGFreeDefine(xmlRelaxNGDefinePtr define)#961,918,129,1,129,1,35,3.0,35,3.0,35,1.0,35,1.0,35,24,35,24,35,2.0,35,2.0,35,1.0,35,1.0,129,0.0769230769230769,129,0.0769230769230769,129,2,129,2
parser.MUT5933.c,"parser.c#xmlSAXParseFileWithData(xmlSAXHandlerPtr sax, const char * filename, int recovery, void * data)#13772",918,24,1,24,1,3,18.0,3,18.0,3,1.0,3,1.0,3,23,3,23,3,17.0,3,17.0,3,1.0,3,1.0,24,0.425,24,0.425,24,17,24,17
xmlregexp.MUT1609.c,"xmlregexp.c#xmlFARegExec(xmlRegexpPtr comp, const xmlChar * content)#3306",918,34,1,34,1,15,11.0,15,11.0,15,1.0,15,1.0,15,24,15,24,15,10.0,15,10.0,15,1.0,15,1.0,34,0.2941176470588235,34,0.2941176470588235,34,10,34,10
xmlregexp.MUT1782.c,"xmlregexp.c#xmlRegCompactPushString(xmlRegExecCtxtPtr exec, xmlRegexpPtr comp, const xmlChar * value, void * data)#3638",918,31,1,31,1,1,10.0,1,10.0,1,1.0,1,1.0,1,24,1,24,1,9.0,1,9.0,1,1.0,1,1.0,31,0.2727272727272727,31,0.2727272727272727,31,9,31,9
relaxng.MUT1054.c,relaxng.c#xmlRelaxNGIsCompilable(xmlRelaxNGDefinePtr def)#2888,918,153,1,153,1,39,2.0,39,2.0,39,1.0,39,1.0,39,24,39,24,39,1.0,39,1.0,39,1.0,39,1.0,153,0.04,153,0.04,153,1,153,1
parser.MUT1280.c,parser.c#xmlParseNameComplex(xmlParserCtxtPtr ctxt)#3454,918,34,1,34,1,9,4.0,9,4.0,9,1.0,9,1.0,9,24,9,24,9,3.0,9,3.0,9,1.0,9,1.0,34,0.1111111111111111,34,0.1111111111111111,34,3,34,3
xmlschemas.MUT6908.c,xmlschemas.c#xmlSchemaTypeFixupOptimFacets(xmlSchemaTypePtr type)#17829,918,143,1,143,1,100,9.0,100,9.0,100,1.0,100,1.0,100,24,100,24,100,8.0,100,8.0,100,1.0,100,1.0,143,0.25,143,0.25,143,8,143,8
xmlschemas.MUT4083.c,"xmlschemas.c#xmlSchemaParseImport(xmlSchemaParserCtxtPtr pctxt, xmlSchemaPtr schema, xmlNodePtr node)#10699",918,136,1,136,1,17,2.0,17,2.0,17,1.0,17,1.0,17,24,17,24,17,1.0,17,1.0,17,1.0,17,1.0,136,0.04,136,0.04,136,1,136,1
parser.MUT1093.c,"parser.c#areBlanks(xmlParserCtxtPtr ctxt, const xmlChar * str, int len, int blank_chars)#3096",918,29,1,29,1,2,11.0,2,11.0,2,1.0,2,1.0,2,24,2,24,2,10.0,2,10.0,2,1.0,2,1.0,29,0.2941176470588235,29,0.2941176470588235,29,10,29,10
relaxng.MUT4263.c,"relaxng.c#xmlRelaxNGValidateValue(xmlRelaxNGValidCtxtPtr ctxt, xmlRelaxNGDefinePtr define)#8699",918,144,1,144,1,67,3.0,67,3.0,67,1.0,67,1.0,67,24,67,24,67,2.0,67,2.0,67,1.0,67,1.0,144,0.0769230769230769,144,0.0769230769230769,144,2,144,2
HTMLparser.MUT243.c,HTMLparser.c#htmlAutoCloseOnEnd(htmlParserCtxtPtr ctxt)#1515,918,13,1,13,1,8,11.0,8,11.0,8,1.0,8,1.0,8,24,8,24,8,10.0,8,10.0,8,1.0,8,1.0,13,0.2941176470588235,13,0.2941176470588235,13,10,13,10
parser.MUT5949.c,"parser.c#xmlSAXParseFileWithData(xmlSAXHandlerPtr sax, const char * filename, int recovery, void * data)#13795",918,33,1,33,1,3,18.0,3,18.0,3,1.0,3,1.0,3,23,3,23,3,17.0,3,17.0,3,1.0,3,1.0,33,0.425,33,0.425,33,17,33,17
