buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_total_lines_executed,#_total_lines,coverage
xmlregexp.MUT1539.c,10,24,21,2588,0,2643,6227,5788,10145,33096,0.30653251148175004
HTMLparser.MUT605.c,10,22,19,2590,2,2643,1710,7950,9118,33227,0.2744153850784001
parser.MUT5494.c,10,24,3,2606,0,2643,2345,5874,6203,33222,0.18671362350249834
HTMLparser.MUT639.c,10,24,5,2604,0,2643,1730,8871,9690,33227,0.29163030065910256
relaxng.MUT4914.c,10,24,10,2599,0,2643,4562,9282,12036,33221,0.3623009542157069
xmlregexp.MUT1823.c,10,24,14,2595,0,2643,5837,8378,10026,33227,0.3017425587624522
HTMLparser.issue318.c,5,24,0,2614,0,2643,1147,8680,9250,33227,0.27838805790471605
xmlregexp.MUT1602.c,10,24,2,2607,0,2643,9343,6013,12078,33227,0.36349956360790925
parser.MUT2635.c,18,23,169,2433,0,2643,1601,8563,9032,33212,0.2719498976273636
xmlschemas.MUT812.c,14,23,127,2479,0,2643,149,7297,7411,33225,0.22305492851768247
relaxng.MUT4445.c,10,24,2,2607,0,2643,6760,5711,9686,33227,0.29150991663406267
xmlregexp.MUT1918.c,7,24,0,2612,0,2643,4801,7150,9034,33227,0.27188732055256265
HTMLparser.MUT2163.c,10,24,32,2577,0,2643,133,6342,6366,33227,0.19159117585096458
xmlregexp.MUT1870.c,10,24,29,2580,0,2643,7267,7391,12256,33227,0.36885665272218376
xmlregexp.MUT1287.c,9,24,0,2610,0,2643,6955,8779,11626,33227,0.3498961687784031
HTMLparser.MUT1068.c,10,24,0,2609,0,2643,1594,7533,8259,33227,0.24856291570108646
xmlschemas.MUT616.c,6,24,0,2613,0,2643,6314,6096,10234,33227,0.3080025280645258
xmlschemas.MUT979.c,7,24,0,2612,0,2643,1899,6425,6782,33223,0.2041356891310237
relaxng.issue711.c,2,24,0,2617,0,2643,1104,5652,5713,33227,0.1719384837632046
relaxng.MUT3504.c,17,23,162,2441,0,2643,6092,7851,11535,33227,0.3471574322087459
parser.MUT491.c,36,18,332,2255,2,2643,2103,3872,4020,33220,0.12101143889223359
relaxng.MUT156.c,2,24,0,2617,0,2643,2834,8331,8823,33227,0.26553706323170917
parser.MUT5933.c,17,23,157,2446,0,2643,1473,7418,7619,33227,0.2293014716947061
xmlregexp.MUT1609.c,10,24,1,2608,0,2643,9336,7532,11974,33227,0.36036957895687244
xmlregexp.MUT1782.c,9,24,0,2610,0,2643,5395,8643,8983,33227,0.27035242423330424
relaxng.MUT1054.c,1,24,0,2618,0,2643,2922,6288,6781,33221,0.2041178772463201
parser.MUT1280.c,3,24,0,2616,0,2643,596,8930,8989,33227,0.2705330002708641
xmlschemas.MUT6908.c,8,24,0,2611,0,2643,6119,7066,11407,33227,0.3433051434074698
xmlschemas.MUT4083.c,1,24,0,2618,0,2643,2575,8339,8474,33161,0.25554114773378367
parser.MUT1093.c,10,24,74,2535,0,2643,1685,6703,6763,33227,0.20353929033617238
relaxng.MUT4263.c,2,24,0,2617,0,2643,2714,7684,8930,33227,0.26875733590152584
HTMLparser.MUT243.c,10,24,39,2570,0,2643,1640,6978,8509,33227,0.2560869172660788
parser.MUT5949.c,17,23,157,2446,0,2643,2249,5037,5483,33227,0.1650164023234117
xmlregexp.MUT654.c,7,24,0,2612,0,2643,9465,4665,12011,33227,0.3614831311884913
xmlschemas.MUT3015.c,10,23,18,2591,1,2643,7309,7399,10632,33226,0.3199903689881418
xmlregexp.MUT144.c,16,20,148,2456,3,2643,10262,4171,10881,33227,0.327474644114726
xmlregexp.MUT2714.c,10,24,15,2594,0,2643,8770,8680,12977,33227,0.39055587323562163
relaxng.MUT318.c,10,24,14,2595,0,2643,8459,6556,9934,33227,0.29897372618653506
relaxng.MUT3514.c,4,24,0,2615,0,2643,4591,8619,10073,33227,0.3031570710566708
relaxng.MUT2437.c,10,24,8,2601,0,2643,3376,4756,6662,33225,0.20051166290443942
parser.MUT81.c,10,24,12,2597,0,2643,2006,9685,10067,33227,0.30297649501911095
xmlschemas.MUT5617.c,1,24,0,2618,0,2643,4899,8228,9978,33227,0.3002979504619737
parser.MUT882.c,15,23,144,2461,0,2643,6034,7169,8665,33227,0.260781894242634
xmlschemas.issue53.c,5,24,0,2614,0,2643,6195,8751,11825,33227,0.355885274024137
HTMLparser.MUT287.c,10,22,39,2570,2,2643,1325,4808,5517,33216,0.16609465317919075
xmlregexp.MUT62.c,28,22,255,2338,0,2643,11573,4826,12414,33227,0.3736118217112589
xmlschemas.MUT1693.c,10,24,16,2593,0,2643,6419,10300,11493,33223,0.3459350449989465
xmlschemas.MUT1173.c,10,24,48,2561,0,2643,6233,5615,10042,33227,0.30222409486261176
relaxng.MUT706.c,2,24,0,2617,0,2643,3645,8520,8989,33227,0.2705330002708641
xmlschemas.MUT11166.c,11,24,100,2508,0,2643,6482,5164,9905,33225,0.2981188863807374
parser.issue306.c,2,1,0,2617,23,2643,766,868,1544,33226,0.04646963221573466
HTMLparser.MUT232.c,10,24,2,2607,0,2643,1668,9043,10601,33227,0.31904776236193455
parser.MUT916.c,10,24,67,2542,0,2643,3506,9280,10266,33227,0.3089656002648449
xmlregexp.MUT1566.c,10,24,2,2607,0,2643,9199,6285,11700,33227,0.35212327324164083
HTMLparser.MUT1790.c,10,24,0,2609,0,2643,335,7448,7582,33224,0.22820852395858415
xmlregexp.MUT2076.c,2,24,0,2617,0,2643,4115,9209,9916,33227,0.2984319980738556
xmlschemas.MUT10690.c,11,24,100,2508,0,2643,4694,8712,10545,33227,0.3173623860113763
parser.MUT5629.c,21,23,197,2402,0,2643,5147,6700,8899,33184,0.2681714079074253
parser.MUT5588.c,10,24,1,2608,0,2643,1865,7037,7384,33221,0.22226904668733632
xmlschemas.MUT7698.c,10,23,8,2601,1,2643,8977,5315,12268,33227,0.3692178047973034
parser.MUT1553.c,10,24,9,2600,0,2643,5788,3925,6916,33227,0.2081439792939477
xmlschemas.MUT3516.c,4,24,0,2615,0,2643,6468,8346,10753,33209,0.32379776566593393
xmlschemas.MUT9451.c,10,24,57,2552,0,2643,6353,7868,12371,33227,0.3723176934420802
parser.MUT1705.c,24,22,225,2372,0,2643,1303,6139,6428,33227,0.19345712823908268
parser.MUT2914.c,2,24,0,2617,0,2643,757,6098,6211,33227,0.18692629488066934
xmlschemas.MUT3732.c,14,23,126,2480,0,2643,7747,6025,11880,33227,0.3575405543684353
relaxng.MUT2640.c,1,24,0,2618,0,2643,4325,8783,10208,33227,0.3072200319017666
xmlschemas.MUT4424.c,10,24,4,2605,0,2643,6001,5163,9285,33179,0.279845685523976
xmlschemas.MUT11201.c,11,24,100,2508,0,2643,7356,6083,11615,33227,0.34956511270954344
parser.MUT1521.c,10,24,93,2516,0,2643,2716,6320,6821,33227,0.20528485869925062
xmlschemas.MUT4941.c,1,24,0,2618,0,2643,3901,9486,10085,33227,0.3035182231317904
