bug_name,key,total # of functions,# of functions with same highest Binary score,Binary score of highest rank,rank of buggy function (Binary),Binary score of buggy function,rank of buggy function among functions executed by failing tcs (Binary),# of functions with same highest GP13 score,GP13 score of highest rank,rank of buggy function (GP13),GP13 score of buggy function,rank of buggy function among functions executed by failing tcs (GP13),# of functions with same highest Jaccard score,Jaccard score of highest rank,rank of buggy function (Jaccard),Jaccard score of buggy function,rank of buggy function among functions executed by failing tcs (Jaccard),# of functions with same highest Naish1 score,Naish1 score of highest rank,rank of buggy function (Naish1),Naish1 score of buggy function,rank of buggy function among functions executed by failing tcs (Naish1),# of functions with same highest Naish2 score,Naish2 score of highest rank,rank of buggy function (Naish2),Naish2 score of buggy function,rank of buggy function among functions executed by failing tcs (Naish2),# of functions with same highest Ochiai score,Ochiai score of highest rank,rank of buggy function (Ochiai),Ochiai score of buggy function,rank of buggy function among functions executed by failing tcs (Ochiai),# of functions with same highest Russel+Rao score,Russel+Rao score of highest rank,rank of buggy function (Russel+Rao),Russel+Rao score of buggy function,rank of buggy function among functions executed by failing tcs (Russel+Rao),# of functions with same highest Wong1 score,Wong1 score of highest rank,rank of buggy function (Wong1),Wong1 score of buggy function,rank of buggy function among functions executed by failing tcs (Wong1)
lpsolver.MUT136.cpp,"opencv_core/modules/core/src/lpsolver.cpp#swap_columns(Mat_<double> & A, int col1, int col2)#377",915,83,1,83,1,83,2,2.0,2,2.0,2,2,1.0,2,1.0,2,2,5133,2,5133,2,2,1.0,2,1.0,2,2,1.0,2,1.0,2,83,0.0001947798987144,83,0.0001947798987144,83,83,1,83,1,83
persistence.MUT1051.cpp,opencv_core/modules/core/src/persistence.cpp#FileNode::isSeq()#2239,915,52,1,52,1,52,17,39.0,17,39.0,17,17,1.0,17,1.0,17,17,5094,17,5094,17,17,38.0,17,38.0,17,17,1.0,17,1.0,17,52,0.0074045206547155,52,0.0074045206547155,52,52,38,52,38,52
dxt.MUT1428.cpp,"opencv_core/modules/core/src/dxt.cpp#OcvDctImpl::init(int _width, int _height, int _depth, int flags)#4262",915,58,1,58,1,58,7,2.0,7,2.0,7,7,1.0,7,1.0,7,7,5133,7,5133,7,7,1.0,7,1.0,7,7,1.0,7,1.0,7,58,0.0001947798987144,58,0.0001947798987144,58,58,1,58,1,58
persistence_json.MUT206.cpp,"opencv_core/modules/core/src/persistence_json.cpp#JSONParser::getBase64Row(char * ptr, int , char *& beg, char *& end)#449",915,69,1,69,1,69,2,5.0,2,5.0,2,2,1.0,2,1.0,2,2,5130,2,5130,2,2,4.0,2,4.0,2,2,1.0,2,1.0,2,69,0.0007791195948578,69,0.0007791195948578,69,69,4,69,4,69
matrix.MUT144.cpp,"opencv_core/modules/core/src/matrix.cpp#Mat::Mat(int _dims, const int * _sz, int _type)#375",915,46,1,46,1,46,1,87.0,1,87.0,1,1,1.0,1,1.0,1,1,5045,1,5045,1,1,86.0,1,86.0,1,1,1.0,1,1.0,1,46,0.016760865328396,46,0.016760865328396,46,46,86,46,86,46
rand.MUT157.cpp,"opencv_core/modules/core/src/rand.cpp#RNG::fill(cv::InputOutputArray _mat, int disttype, cv::InputArray _param1arg, cv::InputArray _param2arg, _Bool saturateRange)#433",915,85,1,85,1,85,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,3701,3,3701,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,85,0.0002701242571582,85,0.0002701242571582,85,85,1,85,1,85
umatrix.MUT384.cpp,"opencv_core/modules/core/src/umatrix.cpp#UMat::reshape(int new_cn, int new_rows)#976",915,49,1,49,1,49,1,236.0,1,236.0,1,1,1.0,1,1.0,1,1,4795,1,4795,1,1,235.0,1,235.0,1,1,1.0,1,1.0,1,49,0.0467196819085487,49,0.0467196819085487,49,49,235,49,235,49
umatrix.MUT260.cpp,"opencv_core/modules/core/src/umatrix.cpp#UMat::create(int d, const int * _sizes, int _type, enum cv::UMatUsageFlags _usageFlags)#691",915,33,1,33,1,33,2,2043.0,2,2043.0,2,2,1.0,2,1.0,2,2,3088,2,3088,2,2,2042.0,2,2042.0,2,2,1.0,2,1.0,2,33,0.3980506822612086,33,0.3980506822612086,33,33,2042,33,2042,33
persistence.MUT138.cpp,opencv_core/modules/core/src/persistence.cpp#decodeSimpleFormat(const char * dt)#303,915,101,1,101,1,101,2,18.0,2,18.0,2,2,1.0,2,1.0,2,2,5115,2,5115,2,2,17.0,2,17.0,2,2,1.0,2,1.0,2,101,0.0033125487139516,101,0.0033125487139516,101,101,17,101,17,101
persistence.MUT1133.cpp,"opencv_core/modules/core/src/persistence.cpp#FileNode::setValue(int type, const void * value, int len)#2413",915,69,1,69,1,69,1,22.0,1,22.0,1,1,1.0,1,1.0,1,1,5108,1,5108,1,1,21.0,1,21.0,1,1,1.0,1,1.0,1,69,0.0040943653733671,69,0.0040943653733671,69,69,21,69,21,69
downhill_simplex.MUT105.cpp,"opencv_core/modules/core/src/downhill_simplex.cpp#DownhillSolverImpl::innerDownhillSimplex(class cv::Mat & p, double MinRange, double MinError, int & fcount, int nmax)#386",915,74,1,74,1,74,13,2.0,13,2.0,13,13,1.0,13,1.0,13,13,5133,13,5133,13,13,1.0,13,1.0,13,13,1.0,13,1.0,13,74,0.0001947798987144,74,0.0001947798987144,74,74,1,74,1,74
matrix.MUT315.cpp,"opencv_core/modules/core/src/matrix.cpp#Mat::Mat(const class cv::Mat & m, const class cv::Range & _rowRange, const class cv::Range & _colRange)#778",915,49,1,49,1,49,1,28.0,1,28.0,1,1,1.0,1,1.0,1,1,5044,1,5044,1,1,27.0,1,27.0,1,1,1.0,1,1.0,1,49,0.0053243936107276,49,0.0053243936107276,49,49,27,49,27,49
matrix_expressions.MUT188.cpp,"opencv_core/modules/core/src/matrix_expressions.cpp#operator-(const class cv::MatExpr & e, const class cv::Mat & m)#777",915,78,1,78,1,78,6,2.0,6,2.0,6,6,1.0,6,1.0,6,6,5133,6,5133,6,6,1.0,6,1.0,6,6,1.0,6,1.0,6,78,0.0001947798987144,78,0.0001947798987144,78,78,1,78,1,78
umatrix.MUT416.cpp,"opencv_core/modules/core/src/umatrix.cpp#UMat::reshape(int _cn, int _newndims, const int * _newsz)#1044",915,47,1,47,1,47,1,3.0,1,3.0,1,1,1.0,1,1.0,1,1,5132,1,5132,1,1,2.0,1,2.0,1,1,1.0,1,1.0,1,47,0.0003895597974289,47,0.0003895597974289,47,47,2,47,2,47
persistence.MUT391.cpp,opencv_core/modules/core/src/persistence.cpp#Impl::gets(size_t maxCount)#817,915,43,1,43,1,43,2,25.0,2,25.0,2,2,1.0,2,1.0,2,2,5110,2,5110,2,2,24.0,2,24.0,2,2,1.0,2,1.0,2,43,0.0046747175691468,43,0.0046747175691468,43,43,24,43,24,43
persistence_base64_encoding.MUT24.cpp,opencv_core/modules/core/src/persistence_base64_encoding.cpp#Base64ContextEmitter::write(_to_binary_convertor_t & convertor)#80,915,130,1,130,1,130,22,8.0,22,8.0,22,22,1.0,22,1.0,22,22,5127,22,5127,22,22,7.0,22,7.0,22,22,1.0,22,1.0,22,130,0.0013634592910011,130,0.0013634592910011,130,130,7,130,7,130
dxt.MUT369.cpp,"opencv_core/modules/core/src/dxt.cpp#DFT(const struct cv::OcvDftOptions & c, const Complex<T> * src, Complex<T> * dst)#940",915,105,1,105,1,105,15,2.0,15,2.0,15,15,1.0,15,1.0,15,15,5133,15,5133,15,15,1.0,15,1.0,15,15,1.0,15,1.0,15,105,0.0001947798987144,105,0.0001947798987144,105,105,1,105,1,105
persistence.MUT1090.cpp,opencv_core/modules/core/src/persistence.cpp#FileNode::string()#2330,915,204,1,204,1,204,25,2.0,25,2.0,25,25,1.0,25,1.0,25,25,5109,25,5109,25,25,1.0,25,1.0,25,25,1.0,25,1.0,25,204,0.0001956947162426,204,0.0001956947162426,204,204,1,204,1,204
dxt.MUT865.cpp,"opencv_core/modules/core/src/dxt.cpp#ippi_DFT_R_32F(const uchar * src, size_t src_step, uchar * dst, size_t dst_step, int width, int height, _Bool inv, int norm_flag)#2016",915,112,1,112,1,112,20,2.0,20,2.0,20,20,1.0,20,1.0,20,20,5133,20,5133,20,20,1.0,20,1.0,20,20,1.0,20,1.0,20,112,0.0001947798987144,112,0.0001947798987144,112,112,1,112,1,112
persistence_types.MUT104.cpp,"opencv_core/modules/core/src/persistence_types.cpp#read(const class cv::FileNode & node, class cv::DMatch & value, const class cv::DMatch & default_value)#234",915,124,1,124,1,124,2,3.0,2,3.0,2,2,1.0,2,1.0,2,2,5132,2,5132,2,2,2.0,2,2.0,2,2,1.0,2,1.0,2,124,0.0003895597974289,124,0.0003895597974289,124,124,2,124,2,124
downhill_simplex.MUT84.cpp,"opencv_core/modules/core/src/downhill_simplex.cpp#DownhillSolverImpl::innerDownhillSimplex(class cv::Mat & p, double MinRange, double MinError, int & fcount, int nmax)#337",915,74,1,74,1,74,13,2.0,13,2.0,13,13,1.0,13,1.0,13,13,5133,13,5133,13,13,1.0,13,1.0,13,13,1.0,13,1.0,13,74,0.0001947798987144,74,0.0001947798987144,74,74,1,74,1,74
matrix.MUT198.cpp,opencv_core/modules/core/src/matrix.cpp#Mat::operator=(const class cv::Mat & m)#504,915,47,1,47,1,47,2,2.0,2,2.0,2,2,1.0,2,1.0,2,2,4113,2,4113,2,2,1.0,2,1.0,2,2,1.0,2,1.0,2,47,0.0002430724355858,47,0.0002430724355858,47,47,1,47,1,47
rand.MUT244.cpp,"opencv_core/modules/core/src/rand.cpp#RNG::fill(cv::InputOutputArray _mat, int disttype, cv::InputArray _param1arg, cv::InputArray _param2arg, _Bool saturateRange)#573",915,79,1,79,1,79,4,3.0,4,3.0,4,4,1.0,4,1.0,4,4,5130,4,5130,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,79,0.000389711613406,79,0.000389711613406,79,79,2,79,2,79
persistence_json.MUT137.cpp,opencv_core/modules/core/src/persistence_json.cpp#JSONParser::skipSpaces(char * ptr)#310,915,47,1,47,1,47,6,14.0,6,14.0,6,6,1.0,6,1.0,6,6,5121,6,5121,6,6,13.0,6,13.0,6,6,1.0,6,1.0,6,47,0.0025321386832878,47,0.0025321386832878,47,47,13,47,13,47
persistence_yml.MUT316.cpp,"opencv_core/modules/core/src/persistence_yml.cpp#YAMLParser::parseValue(char * ptr, class cv::FileNode & node, int min_indent, _Bool is_parent_flow)#653",915,61,1,61,1,61,1,13.0,1,13.0,1,1,1.0,1,1.0,1,1,5122,1,5122,1,1,12.0,1,12.0,1,1,1.0,1,1.0,1,61,0.0023373587845734,61,0.0023373587845734,61,61,12,61,12,61
dxt.MUT77.cpp,"opencv_core/modules/core/src/dxt.cpp#DFTInit(int n0, int nf, const int * factors, int * itab, int elem_size, void * _wave, int inv_itab)#289",915,52,1,52,1,52,5,5.0,5,5.0,5,5,1.0,5,1.0,5,5,5130,5,5130,5,5,4.0,5,4.0,5,5,1.0,5,1.0,5,52,0.0007791195948578,52,0.0007791195948578,52,52,4,52,4,52
persistence.MUT887.cpp,"opencv_core/modules/core/src/persistence.cpp#Impl::parseBase64(char * ptr, int indent, class cv::FileNode & collection)#1810",915,87,1,87,1,87,7,11.0,7,11.0,7,7,1.0,7,1.0,7,7,5124,7,5124,7,7,10.0,7,10.0,7,7,1.0,7,1.0,7,87,0.0019477989871445,87,0.0019477989871445,87,87,10,87,10,87
persistence_json.MUT157.cpp,opencv_core/modules/core/src/persistence_json.cpp#JSONParser::skipSpaces(char * ptr)#346,915,65,1,65,1,65,1,2.0,1,2.0,1,1,1.0,1,1.0,1,1,5133,1,5133,1,1,1.0,1,1.0,1,1,1.0,1,1.0,1,65,0.0001947798987144,65,0.0001947798987144,65,65,1,65,1,65
matrix_iterator.MUT61.cpp,opencv_core/modules/core/src/matrix_iterator.cpp#NAryMatIterator::operator++()#136,915,36,1,36,1,36,1,134.0,1,134.0,1,1,1.0,1,1.0,1,1,4973,1,4973,1,1,133.0,1,133.0,1,1,1.0,1,1.0,1,36,0.0260477869173521,36,0.0260477869173521,36,36,133,36,133,36
dxt.MUT513.cpp,"opencv_core/modules/core/src/dxt.cpp#RealDFT(const struct cv::OcvDftOptions & c, const T * src, T * dst)#1206",915,87,1,87,1,87,25,4.0,25,4.0,25,25,1.0,25,1.0,25,25,5131,25,5131,25,25,3.0,25,3.0,25,25,1.0,25,1.0,25,87,0.0005843396961433,87,0.0005843396961433,87,87,3,87,3,87
