buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
padding_layer.MUT19.cpp,1,2850,0,0,22,2873,505,12270,4189,12541,14008,0.8952741290691034,0.8820673900628212,0,0,46,46,505,0,0,1050,63
gather_elements_layer.MUT16.cpp,2,2870,0,0,1,2873,986,12467,1055,12539,14008,0.8951313535122787,0.8917047401484866,0,0,96,96,986,0,0,1050,63
tf_importer.MUT958.cpp,4,2869,0,0,0,2873,1726,12463,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,147,147,1726,0,0,1050,63
caffe_importer.MUT196.cpp,1,2872,0,0,0,2873,55,12530,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,9,9,55,0,0,1050,63
onnx_importer.MUT1364.cpp,1,2872,0,0,0,2873,1491,12473,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,144,144,1491,0,0,1050,63
onnx_importer.MUT1200.cpp,6,2867,0,0,0,2873,1092,12508,0,12543,14008,0.895416904625928,0.895416904625928,0,0,101,101,1092,0,0,1050,63
tf_importer.MUT1013.cpp,1,2869,0,0,3,2873,1447,12535,2580,12542,14008,0.8953455168475157,0.8953455168475157,0,0,129,129,1447,0,0,1050,63
elementwise_layers.MUT294.cpp,3,2870,0,0,0,2873,1043,12533,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,111,111,1043,0,0,1050,63
pooling_layer.MUT323.cpp,7,2866,0,0,0,2873,2726,12532,0,12536,14008,0.8949171901770417,0.8949171901770417,0,0,251,251,2726,0,0,1050,63
nary_eltwise_layers.MUT186.cpp,3,2866,0,0,4,2873,377,12513,3618,12541,14008,0.8952741290691034,0.8934894346087949,0,0,28,28,377,0,0,1050,63
correlation_layer.MUT41.cpp,1,2872,0,0,0,2873,421,12437,0,12537,14008,0.8949885779554541,0.8949885779554541,0,0,34,34,421,0,0,1050,63
elementwise_layers.MUT254.cpp,2,2871,0,0,0,2873,1095,12541,0,12543,14010,0.895289079229122,0.895289079229122,0,0,114,114,1095,0,0,1051,63
convolution_layer.MUT73.cpp,646,2226,0,0,1,2873,5509,11843,1394,12292,14008,0.8774985722444317,0.8774985722444317,0,0,466,466,5509,0,0,1050,63
darknet_io.MUT231.cpp,3,2870,0,0,0,2873,278,12382,0,12432,14008,0.8874928612221588,0.8874928612221588,0,0,22,22,278,0,0,1050,63
reduce_layer.MUT109.cpp,8,2865,0,0,0,2873,3067,12533,0,12541,14006,0.8954019705840354,0.8954019705840354,0,0,287,287,3067,0,0,1050,63
nary_eltwise_layers.MUT117.cpp,60,2806,0,0,7,2873,4745,12117,3686,12473,14008,0.8904197601370646,0.8884209023415192,0,0,402,402,4745,0,0,1050,63
onnx_graph_simplifier.MUT705.cpp,12,2861,0,0,0,2873,1187,12531,0,12534,14007,0.8948382951381452,0.8948382951381452,0,0,114,114,1187,0,0,1050,63
einsum_layer.MUT293.cpp,9,2864,0,0,0,2873,1104,12325,0,12347,14008,0.8814249000571103,0.8814249000571103,0,0,105,105,1104,0,0,1050,63
convolution_layer.MUT49.cpp,4,2868,0,0,1,2873,2292,12516,1480,12542,14008,0.8953455168475157,0.8953455168475157,0,0,193,193,2292,0,0,1050,63
arg_layer.MUT14.cpp,1,2871,0,0,0,2872,991,12482,0,12502,14008,0.8924900057110223,0.8924900057110223,0,0,101,101,991,0,0,1050,63
onnx_importer.MUT1574.cpp,1,2872,0,0,0,2873,1139,12528,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,115,115,1139,0,0,1050,63
gemm_layer.MUT47.cpp,11,2858,0,0,4,2873,4253,12514,1112,12541,14008,0.8952741290691034,0.8952741290691034,0,0,385,385,4253,0,0,1050,63
slice_layer.MUT14.cpp,1,2872,0,0,0,2873,1287,12523,0,12539,14007,0.8951952595131006,0.8951952595131006,0,0,122,122,1287,0,0,1050,63
torch_importer.MUT427.cpp,26,2847,0,0,0,2873,657,12049,0,12491,14008,0.8917047401484866,0.8917047401484866,0,0,41,41,657,0,0,1050,63
graph_simplifier.MUT5.cpp,44,2181,0,0,648,2873,4489,6066,9436,11869,14006,0.8474225332000571,0.5985292017706697,0,0,383,383,4489,0,0,1050,63
nary_eltwise_layers.MUT47.cpp,52,2809,0,0,12,2873,5003,12180,2942,12463,14008,0.8897058823529411,0.8867075956596231,0,0,438,438,5003,0,0,1050,63
eltwise_layer.MUT264.cpp,1,2872,0,0,0,2873,3568,12523,0,12543,14009,0.8953529873652651,0.8953529873652651,0,0,322,322,3568,0,0,1050,63
torch_importer.MUT440.cpp,1,2872,0,0,0,2873,234,12532,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,32,32,234,0,0,1050,63
onnx_graph_simplifier.MUT290.cpp,1,2872,0,0,0,2873,1233,12520,0,12525,14008,0.894131924614506,0.894131924614506,0,0,126,126,1233,0,0,1050,63
