bug_name,key,total # of functions,# of functions with same highest Binary score,Binary score of highest rank,rank of buggy function (Binary),Binary score of buggy function,rank of buggy function among functions executed by failing tcs (Binary),# of functions with same highest GP13 score,GP13 score of highest rank,rank of buggy function (GP13),GP13 score of buggy function,rank of buggy function among functions executed by failing tcs (GP13),# of functions with same highest Jaccard score,Jaccard score of highest rank,rank of buggy function (Jaccard),Jaccard score of buggy function,rank of buggy function among functions executed by failing tcs (Jaccard),# of functions with same highest Naish1 score,Naish1 score of highest rank,rank of buggy function (Naish1),Naish1 score of buggy function,rank of buggy function among functions executed by failing tcs (Naish1),# of functions with same highest Naish2 score,Naish2 score of highest rank,rank of buggy function (Naish2),Naish2 score of buggy function,rank of buggy function among functions executed by failing tcs (Naish2),# of functions with same highest Ochiai score,Ochiai score of highest rank,rank of buggy function (Ochiai),Ochiai score of buggy function,rank of buggy function among functions executed by failing tcs (Ochiai),# of functions with same highest Russel+Rao score,Russel+Rao score of highest rank,rank of buggy function (Russel+Rao),Russel+Rao score of buggy function,rank of buggy function among functions executed by failing tcs (Russel+Rao),# of functions with same highest Wong1 score,Wong1 score of highest rank,rank of buggy function (Wong1),Wong1 score of buggy function,rank of buggy function among functions executed by failing tcs (Wong1)
agast.MUT2688.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4116",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
AKAZEFeatures.MUT283.cpp,opencv_features2d/modules/features2d/src/kaze/AKAZEFeatures.cpp#AKAZEFeatures::Find_Scale_Space_Extrema(int & keypoints_by_layers)#847,297,28,1,28,1,28,13,5.0,13,5.0,13,13,1.0,13,1.0,13,13,67,13,67,13,13,4.0,13,4.0,13,13,1.0,13,1.0,13,28,0.056338028169014,28,0.056338028169014,28,28,4,28,4,28
agast.MUT2822.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4316",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
orb.MUT299.cpp,"opencv_features2d/modules/features2d/src/orb.cpp#ORB_Impl::detectAndCompute(cv::InputArray _image, cv::InputArray _mask, int & keypoints, cv::OutputArray _descriptors, _Bool useProvidedKeypoints)#1077",297,5,1,5,1,5,5,5.0,5,5.0,5,5,1.0,5,1.0,5,5,71,5,71,5,5,4.0,5,4.0,5,5,1.0,5,1.0,5,5,0.0533333333333333,5,0.0533333333333333,5,5,4,5,4,5
agast.MUT2734.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4183",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
agast.MUT4660.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#OAST_9_16(cv::InputArray _img, int & keypoints, int threshold)#7280",297,40,1,40,1,40,32,2.0,32,2.0,32,32,1.0,32,1.0,32,32,73,32,73,32,32,1.0,32,1.0,32,32,1.0,32,1.0,32,40,0.0135135135135135,40,0.0135135135135135,40,40,1,40,1,40
brisk.MUT333.cpp,"opencv_features2d/modules/features2d/src/brisk.cpp#BRISK_Impl::computeDescriptorsAndOrOrientation(cv::InputArray _image, cv::InputArray _mask, int & keypoints, cv::OutputArray _descriptors, _Bool doDescriptors, _Bool doOrientation, _Bool useProvidedKeypoints)#878",297,41,1,41,1,41,2,2.0,2,2.0,2,2,1.0,2,1.0,2,2,80,2,80,2,2,1.0,2,1.0,2,2,1.0,2,1.0,2,41,0.0123456790123456,41,0.0123456790123456,41,41,1,41,1,41
agast.MUT3037.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4640",297,4,1,4,1,4,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,88,4,88,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,4,0.0112359550561797,4,0.0112359550561797,4,4,1,4,1,4
agast.MUT72.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_5_8(cv::InputArray _img, int & keypoints, int threshold)#161",297,2,1,2,1,2,2,2.0,2,2.0,2,2,1.0,2,1.0,2,2,88,2,88,2,2,1.0,2,1.0,2,2,1.0,2,1.0,2,2,0.0112359550561797,2,0.0112359550561797,2,2,1,2,1,2
agast.MUT563.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#913",297,3,1,3,1,3,3,2.0,3,2.0,3,3,1.0,3,1.0,3,3,88,3,88,3,3,1.0,3,1.0,3,3,1.0,3,1.0,3,3,0.0112359550561797,3,0.0112359550561797,3,3,1,3,1,3
