bug_name,key,total # of functions,# of functions with same highest Binary score,Binary score of highest rank,rank of buggy function (Binary),Binary score of buggy function,rank of buggy function among functions executed by failing tcs (Binary),# of functions with same highest GP13 score,GP13 score of highest rank,rank of buggy function (GP13),GP13 score of buggy function,rank of buggy function among functions executed by failing tcs (GP13),# of functions with same highest Jaccard score,Jaccard score of highest rank,rank of buggy function (Jaccard),Jaccard score of buggy function,rank of buggy function among functions executed by failing tcs (Jaccard),# of functions with same highest Naish1 score,Naish1 score of highest rank,rank of buggy function (Naish1),Naish1 score of buggy function,rank of buggy function among functions executed by failing tcs (Naish1),# of functions with same highest Naish2 score,Naish2 score of highest rank,rank of buggy function (Naish2),Naish2 score of buggy function,rank of buggy function among functions executed by failing tcs (Naish2),# of functions with same highest Ochiai score,Ochiai score of highest rank,rank of buggy function (Ochiai),Ochiai score of buggy function,rank of buggy function among functions executed by failing tcs (Ochiai),# of functions with same highest Russel+Rao score,Russel+Rao score of highest rank,rank of buggy function (Russel+Rao),Russel+Rao score of buggy function,rank of buggy function among functions executed by failing tcs (Russel+Rao),# of functions with same highest Wong1 score,Wong1 score of highest rank,rank of buggy function (Wong1),Wong1 score of buggy function,rank of buggy function among functions executed by failing tcs (Wong1)
resize.MUT604.cpp,opencv_imgproc/modules/imgproc/src/resize.cpp#resizeNN_bitexactInvoker::operator()(const class cv::Range & range)#1133,654,7,1,7,1,7,5,3.0,5,3.0,5,5,1.0,5,1.0,5,5,1452,5,1452,5,5,2.0,5,2.0,5,5,1.0,5,1.0,5,7,0.0013755158184319,7,0.0013755158184319,7,7,2,7,2,7
smooth.dispatch.MUT105.cpp,"opencv_imgproc/modules/imgproc/src/smooth.dispatch.cpp#createGaussianKernels(T & kx, T & ky, int type, cv::Size & ksize, double sigma1, double sigma2)#296",654,5,1,5,1,5,5,15.0,5,15.0,5,5,1.0,5,1.0,5,5,1416,5,1416,5,5,14.0,5,14.0,5,5,1.0,5,1.0,5,5,0.0097902097902097,5,0.0097902097902097,5,5,14,5,14,5
contours_new.MUT20.cpp,"opencv_imgproc/modules/imgproc/src/contours_new.cpp#icvTraceContour(class cv::Mat & image, const cv::Point & start, const cv::Point & end, _Bool isHole)#102",654,20,1,20,1,20,3,13.0,3,13.0,3,3,1.0,3,1.0,3,3,1438,3,1438,3,3,12.0,3,12.0,3,3,1.0,3,1.0,3,20,0.0082758620689655,20,0.0082758620689655,20,20,12,20,12,20
color_lab.MUT1022.cpp,"opencv_imgproc/modules/imgproc/src/color_lab.cpp#Lab2RGBfloat::operator()(const float * src, float * dst, int n)#2252",654,22,1,22,1,22,5,3.0,5,3.0,5,5,1.0,5,1.0,5,5,1452,5,1452,5,5,2.0,5,2.0,5,5,1.0,5,1.0,5,22,0.0013755158184319,22,0.0013755158184319,22,22,2,22,2,22
histogram.MUT980.cpp,"opencv_imgproc/modules/imgproc/src/histogram.cpp#compareHist(cv::InputArray _H1, cv::InputArray _H2, int method)#2217",654,4,1,4,1,4,2,2.0,2,2.0,2,2,1.0,2,1.0,2,2,1451,2,1451,2,2,1.0,2,1.0,2,2,1.0,2,1.0,2,4,0.0006887052341597,4,0.0006887052341597,4,4,1,4,1,4
templmatch.MUT284.cpp,"opencv_imgproc/modules/imgproc/src/templmatch.cpp#matchTemplate(cv::InputArray _img, cv::InputArray _templ, cv::OutputArray _result, int method, cv::InputArray _mask)#1172",654,9,1,9,1,9,5,2.0,5,2.0,5,5,1.0,5,1.0,5,5,1380,5,1380,5,5,1.0,5,1.0,5,5,1.0,5,1.0,5,9,0.000724112961622,9,0.000724112961622,9,9,1,9,1,9
histogram.MUT1113.cpp,"opencv_imgproc/modules/imgproc/src/histogram.cpp#cvNormalizeHist(CvHistogram * hist, double factor)#2529",654,3,1,3,1,3,1,3.0,1,3.0,1,1,1.0,1,1.0,1,1,1452,1,1452,1,1,2.0,1,2.0,1,1,1.0,1,1.0,1,3,0.0013755158184319,3,0.0013755158184319,3,3,2,3,2,3
canny.MUT71.cpp,opencv_imgproc/modules/imgproc/src/canny.cpp#parallelCanny::operator()(const class cv::Range & boundaries)#403,654,36,1,36,1,36,6,5.0,6,5.0,6,6,1.0,6,1.0,6,6,1327,6,1327,6,6,4.0,6,4.0,6,6,1.0,6,1.0,6,36,0.0030052592036063,36,0.0030052592036063,36,36,4,36,4,36
lsd.MUT51.cpp,"opencv_imgproc/modules/imgproc/src/lsd.cpp#LineSegmentDetectorImpl::flsd(int & lines, int & widths, int & precisions, int & nfas)#452",654,27,1,27,1,27,6,7.0,6,7.0,6,6,1.0,6,1.0,6,6,1441,6,1441,6,6,6.0,6,6.0,6,6,1.0,6,1.0,6,27,0.0041465100207325,27,0.0041465100207325,27,27,6,27,6,27
color_lab.MUT1542.cpp,"opencv_imgproc/modules/imgproc/src/color_lab.cpp#Luv2RGBfloat::operator()(const float * src, float * dst, int n)#3240",654,34,1,34,1,34,4,2.0,4,2.0,4,4,1.0,4,1.0,4,4,1453,4,1453,4,4,1.0,4,1.0,4,4,1.0,4,1.0,4,34,0.0006877579092159,34,0.0006877579092159,34,34,1,34,1,34
contours.MUT1.cpp,"opencv_imgproc/modules/imgproc/src/contours.cpp#cvStartReadChainPoints(CvChain * chain, CvChainPtReader * reader)#62",654,6,1,6,1,6,5,40.0,5,40.0,5,5,1.0,5,1.0,5,5,1415,5,1415,5,5,39.0,5,39.0,5,5,1.0,5,1.0,5,6,0.0268225584594222,6,0.0268225584594222,6,6,39,6,39,6
imgwarp.sse4_1.MUT195.cpp,"opencv_imgproc/modules/imgproc/src/imgwarp.sse4_1.cpp#WarpPerspectiveLine_SSE4_Impl::processNN(const double * M, short * xy, double X0, double Y0, double W0, int bw)#341",654,5,1,5,1,5,5,2.0,5,2.0,5,5,1.0,5,1.0,5,5,1451,5,1451,5,5,1.0,5,1.0,5,5,1.0,5,1.0,5,5,0.0006887052341597,5,0.0006887052341597,5,5,1,5,1,5
