bug_name,buggy_line_key,# of failing Tcs,# of lines executed by failing TCs,# of mutants,# of uncompilable mutants,# of mutans on buggy line,# of uncompilable mutants on buggy line,# of compilable mutants on buggy line,total p2f (all mutants),total f2p (all mutants),# of functions,# of function with same highest met score,met score of highest rank,rank of buggy function (function level) (met),met score of buggy function,# of function with same highest muse score,muse score of highest rank,rank of buggy function (function level) (muse),muse score of buggy function
rho.MUT704.cpp,"opencv_calib3d/modules/calib3d/src/rho.cpp#sacTRInv8x8(const float (*)[8] L, float (*)[8] M)#2563",1,1000,1532,107,20,0,20,3082,8,595,1,1.0,1,1.0,1,0.0423280423280423,1,0.0423280423280423
rho.MUT595.cpp,"opencv_calib3d/modules/calib3d/src/rho.cpp#sacCalcJacobianErrors(const float * H, const float * src, const float * dst, const char * inl, unsigned int N, float (*)[8] JtJ, float * Jte, float * Sp)#2282",1,999,1642,108,20,0,20,3420,0,595,595,0.0,595,0.0,594,0.0,594,0.0
stereobm.MUT302.cpp,"opencv_calib3d/modules/calib3d/src/stereobm.cpp#findStereoCorrespondenceBM_SIMD(const class cv::Mat & left, const class cv::Mat & right, class cv::Mat & disp, class cv::Mat & cost, const struct cv::StereoBMParams & state, int _dy0, int _dy1, const class cv::BufferBM & bufX, size_t bufNum)#620",1,423,1717,177,20,5,15,929,1,595,1,1.0,1,1.0,1,0.03125,1,0.03125
calibration.MUT603.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvFindExtrinsicCameraParams2(const CvMat * objectPoints, const CvMat * imagePoints, const CvMat * A, const CvMat * distCoeffs, CvMat * rvec, CvMat * tvec, int useExtrinsicGuess)#1265",6,1433,1374,115,20,4,16,5716,180,595,1,0.9258200997725514,1,0.9258200997725514,1,0.0043524445593683,2,0.0038587455813867
calibration.MUT221.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvProjectPoints2Internal(const CvMat * objectPoints, const CvMat * r_vec, const CvMat * t_vec, const CvMat * A, const CvMat * distCoeffs, CvMat * imagePoints, CvMat * dpdr, CvMat * dpdt, CvMat * dpdf, CvMat * dpdc, CvMat * dpdk, CvMat * dpdo, double aspectRatio)#597",5,2145,1509,129,20,4,16,4361,10,595,1,1.0,1,1.0,1,0.0534219940320757,1,0.0534219940320757
calibration.MUT969.cpp,"opencv_calib3d/modules/calib3d/src/calibration.cpp#cvCalibrateCamera2Internal(const CvMat * objectPoints, const CvMat * imagePoints, const CvMat * npoints, CvSize imageSize, int iFixedPoint, CvMat * cameraMatrix, CvMat * distCoeffs, CvMat * rvecs, CvMat * tvecs, CvMat * newObjPoints, CvMat * stdDevs, CvMat * perViewErrors, int flags, CvTermCriteria termCrit)#1904",2,1622,1484,120,9,0,9,4685,10,595,1,1.0,1,1.0,1,0.0727272727272727,1,0.0727272727272727
stereobm.MUT10.cpp,"opencv_calib3d/modules/calib3d/src/stereobm.cpp#StereoBMParams::StereoBMParams(int _numDisparities, int _SADWindowSize)#71",1,292,1731,173,20,0,20,876,0,595,595,0.0,595,0.0,595,0.0,595,0.0
solvepnp.MUT389.cpp,"opencv_calib3d/modules/calib3d/src/solvepnp.cpp#solvePnPGeneric(cv::InputArray _opoints, cv::InputArray _ipoints, cv::InputArray _cameraMatrix, cv::InputArray _distCoeffs, cv::OutputArrayOfArrays _rvecs, cv::OutputArrayOfArrays _tvecs, _Bool useExtrinsicGuess, enum cv::SolvePnPMethod flags, cv::InputArray _rvec, cv::InputArray _tvec, cv::OutputArray reprojectionError)#1059",1,1852,1469,109,20,0,20,11535,7,595,1,1.0,1,1.0,1,0.0416260447450466,1,0.0416260447450466
fundam.MUT250.cpp,"opencv_calib3d/modules/calib3d/src/fundam.cpp#run7Point(const class cv::Mat & _m1, const class cv::Mat & _m2, class cv::Mat & _fmatrix)#602",1,338,1614,97,20,0,20,6135,0,595,595,0.0,595,0.0,594,0.0,594,0.0
levmarq.MUT31.cpp,opencv_calib3d/modules/calib3d/src/levmarq.cpp#LMSolverImpl::run(cv::InputOutputArray _param0)#134,4,1347,1393,192,12,0,12,11672,20,595,1,1.0,1,1.0,1,0.0732081975197632,1,0.0732081975197632
