buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
rho.MUT704.cpp,1,156,0,0,1,158,1000,10356,970,11058,12298,0.8991705968450154,0.8974630021141649,0,0,72,72,1000,0,0,590,26
rho.MUT595.cpp,1,156,0,0,1,158,999,10356,969,11057,12298,0.899089282810213,0.8973816880793625,0,0,72,72,999,0,0,590,26
stereobm.MUT302.cpp,1,155,0,0,2,158,423,10918,335,11058,12298,0.8991705968450154,0.8991705968450154,0,0,18,18,423,0,0,590,26
calibration.MUT603.cpp,6,152,0,0,0,158,1433,10277,0,10582,12298,0.8604651162790697,0.8604651162790697,0,0,52,52,1433,0,0,590,26
calibration.MUT221.cpp,5,153,0,0,0,158,2145,10770,0,10971,12298,0.8920962758172061,0.8920962758172061,0,0,55,55,2145,0,0,590,26
calibration.MUT969.cpp,2,154,0,0,0,156,1622,10336,0,10685,12298,0.8688404618637177,0.8688404618637177,0,0,45,45,1622,0,0,590,26
stereobm.MUT10.cpp,1,153,0,0,4,158,292,10592,432,11036,12297,0.8974546637391234,0.8850939253476457,0,0,17,17,292,0,0,590,26
solvepnp.MUT389.cpp,1,141,0,0,16,158,1852,9539,2798,11057,12298,0.899089282810213,0.8672141811676696,0,0,74,74,1852,0,0,590,26
fundam.MUT250.cpp,1,156,0,0,1,158,338,10721,2691,11058,12298,0.8991705968450154,0.8859977232070255,0,0,19,19,338,0,0,590,26
levmarq.MUT31.cpp,4,135,0,0,19,158,1347,9067,6037,11052,12298,0.898682712636201,0.7624003903073671,0,0,65,65,1347,0,0,590,26
sqpnp.MUT127.cpp,1,155,0,0,2,158,2091,10845,2344,11058,12298,0.8991705968450154,0.8991705968450154,0,0,85,85,2091,0,0,590,26
rho.MUT461.cpp,2,156,0,0,0,158,1042,10355,0,11063,12298,0.8995771670190275,0.8995771670190275,0,0,73,73,1042,0,0,590,26
fundam.MUT455.cpp,1,147,0,0,10,158,46,9888,3475,11054,12298,0.8988453407058058,0.8064725971702716,0,0,3,3,46,0,0,590,26
ippe.MUT73.cpp,3,154,0,0,0,157,2200,10917,0,11029,12298,0.8968124898357457,0.8968124898357457,0,0,86,86,2200,0,0,590,26
ippe.MUT189.cpp,5,153,0,0,0,158,2338,10443,0,11057,12298,0.899089282810213,0.899089282810213,0,0,91,91,2338,0,0,590,26
ptsetreg.MUT273.cpp,6,151,0,0,1,158,311,10971,235,11057,12298,0.899089282810213,0.899089282810213,0,0,19,19,311,0,0,590,26
fisheye.MUT678.cpp,1,150,0,0,7,158,132,10449,849,11058,12298,0.8991705968450154,0.8566433566433567,0,0,5,5,132,0,0,590,26
solvepnp.MUT346.cpp,8,150,0,0,0,158,480,10404,0,10414,12298,0.8468043584322654,0.8468043584322654,0,0,11,11,480,0,0,590,26
calibration.MUT195.cpp,6,152,0,0,0,158,2369,10238,0,10680,12298,0.8684338916897056,0.8684338916897056,0,0,73,73,2369,0,0,590,26
ptsetreg.MUT183.cpp,1,156,0,0,1,158,158,10993,151,11058,12298,0.8991705968450154,0.8991705968450154,0,0,11,11,158,0,0,590,26
circlesgrid.MUT524.cpp,2,153,0,0,3,158,101,10600,767,11034,12298,0.8972190600097577,0.8673768092372743,0,0,11,11,101,0,0,590,26
rho.MUT15.cpp,1,156,0,0,0,157,780,10356,0,10817,12298,0.8795739144576354,0.8795739144576354,0,0,65,65,780,0,0,590,26
calibration.MUT1347.cpp,1,156,0,0,1,158,1901,10576,1729,10946,12298,0.8900634249471459,0.889087656529517,0,0,50,50,1901,0,0,590,26
calibration.MUT1495.cpp,1,154,0,0,3,158,2692,10770,328,11058,12298,0.8991705968450154,0.8990079687754107,0,0,77,77,2692,0,0,590,26
calibration.MUT194.cpp,52,105,0,0,1,158,2755,6759,88,8419,12298,0.6845828590014637,0.6844202309318589,0,0,123,123,2755,0,0,590,26
ippe.MUT225.cpp,3,153,0,0,2,158,2306,10434,1895,11050,12298,0.8985200845665962,0.8958367214181168,0,0,91,91,2306,0,0,590,26
calibration.MUT1597.cpp,1,157,0,0,0,158,2692,10896,0,11058,12298,0.8991705968450154,0.8991705968450154,0,0,77,77,2692,0,0,590,26
circlesgrid.MUT193.cpp,3,153,0,0,2,158,434,10600,437,10930,12298,0.8887624003903074,0.8881932021466905,0,0,40,40,434,0,0,590,26
calibinit.MUT545.cpp,3,152,0,0,3,158,799,9532,965,10333,12298,0.8402179216132705,0.8263945356968613,0,0,27,27,799,0,0,590,26
circlesgrid.MUT185.cpp,3,153,0,0,2,158,94,10588,93,10649,12298,0.865913156610831,0.8657505285412262,0,0,10,10,94,0,0,590,26
rho.MUT721.cpp,1,156,0,0,1,158,1000,10356,970,11058,12298,0.8991705968450154,0.8974630021141649,0,0,72,72,1000,0,0,590,26
homography_solver.MUT271.cpp,1,157,0,0,0,158,423,11023,0,11046,12298,0.8981948284273865,0.8981948284273865,0,0,43,43,423,0,0,590,26
circlesgrid.MUT222.cpp,2,151,0,0,4,157,100,10385,485,10684,12297,0.8688297958851753,0.8526469870700171,0,0,11,11,100,0,0,590,26
fundam.MUT431.cpp,1,157,0,0,0,158,54,11039,0,11055,12298,0.8989266547406082,0.8989266547406082,0,0,3,3,54,0,0,590,26
ippe.MUT121.cpp,5,153,0,0,0,158,2338,10434,0,11046,12298,0.8981948284273865,0.8981948284273865,0,0,91,91,2338,0,0,590,26
solvepnp.MUT81.cpp,6,152,0,0,0,158,238,10989,0,10999,12298,0.8943730687916734,0.8943730687916734,0,0,11,11,238,0,0,590,26
fisheye.MUT174.cpp,9,143,0,0,6,158,541,10221,333,10634,12298,0.864693446088795,0.8590014636526264,0,0,20,20,541,0,0,590,26
circlesgrid.MUT336.cpp,3,154,0,0,1,158,466,10854,419,10948,12298,0.8902260530167507,0.8900634249471459,0,0,42,42,466,0,0,590,26
triangulate.MUT134.cpp,2,156,0,0,0,158,2224,10752,0,10919,12298,0.8878679460074809,0.8878679460074809,0,0,59,59,2224,0,0,590,26
rho.MUT492.cpp,2,156,0,0,0,158,1017,10355,0,11052,12296,0.8988288874430709,0.8988288874430709,0,0,72,72,1017,0,0,590,26
circlesgrid.MUT434.cpp,1,154,0,0,3,158,637,10863,777,11057,12298,0.899089282810213,0.8873800617986665,0,0,50,50,637,0,0,590,26
calibration_handeye.MUT99.cpp,3,154,0,0,1,158,493,10651,443,11062,12298,0.8994958529842251,0.8994958529842251,0,0,19,19,493,0,0,590,26
calibration.MUT936.cpp,4,154,0,0,0,158,1539,10336,0,10653,12298,0.8662384127500407,0.8662384127500407,0,0,50,50,1539,0,0,590,26
fundam.MUT31.cpp,2,143,0,0,13,158,349,9156,5850,11034,12298,0.8972190600097577,0.7516669377134494,0,0,14,14,349,0,0,590,26
calibration.MUT2108.cpp,4,154,0,0,0,158,2004,10716,0,10849,12298,0.8821759635713124,0.8821759635713124,0,0,53,53,2004,0,0,590,26
pnp_solver.MUT47.cpp,1,157,0,0,0,158,1200,10912,0,11019,12298,0.8959993494877215,0.8959993494877215,0,0,75,75,1200,0,0,590,26
ippe.MUT346.cpp,2,155,0,0,1,158,2170,11002,2160,11066,12298,0.8998211091234347,0.8998211091234347,0,0,85,85,2170,0,0,590,26
fundam.MUT438.cpp,1,156,0,0,1,158,66,10849,2694,11060,12298,0.8993332249146203,0.8859164091722231,0,0,3,3,66,0,0,590,26
calibration_handeye.MUT332.cpp,3,154,0,0,1,158,493,10651,443,11062,12298,0.8994958529842251,0.8994958529842251,0,0,19,19,493,0,0,590,26
rho.MUT38.cpp,1,156,0,0,1,158,766,10356,731,10819,12298,0.8797365425272402,0.8784355179704016,0,0,63,63,766,0,0,590,26
fisheye.MUT377.cpp,3,152,0,0,3,158,770,10866,575,11035,12285,0.8982498982498982,0.8971102971102971,0,0,25,25,770,0,0,590,26
fundam.MUT267.cpp,1,156,0,0,0,157,125,10721,0,10820,12298,0.8798178565620426,0.8798178565620426,0,0,7,7,125,0,0,590,26
ippe.MUT258.cpp,4,154,0,0,0,158,2234,10920,0,11058,12298,0.8991705968450154,0.8991705968450154,0,0,86,86,2234,0,0,590,26
calibration.MUT1371.cpp,3,153,0,0,2,158,366,10700,2700,11058,12298,0.8991705968450154,0.8859977232070255,0,0,9,9,366,0,0,590,26
ptsetreg.MUT508.cpp,4,153,0,0,1,158,305,11015,235,11058,12298,0.8991705968450154,0.8991705968450154,0,0,19,19,305,0,0,590,26
local_optimization.MUT134.cpp,1,155,0,0,0,156,72,10940,0,10944,12298,0.8899007968775411,0.8899007968775411,0,0,8,8,72,0,0,590,26
calibration.MUT1699.cpp,2,155,0,0,1,158,117,10957,78,11035,12298,0.8973003740445601,0.8973003740445601,0,0,5,5,117,0,0,590,26
solvepnp.MUT259.cpp,2,156,0,0,0,158,958,10917,0,11058,12298,0.8991705968450154,0.8991705968450154,0,0,40,40,958,0,0,590,26
ptsetreg.MUT445.cpp,2,156,0,0,0,158,101,11052,0,11058,12298,0.8991705968450154,0.8991705968450154,0,0,9,9,101,0,0,590,26
ippe.MUT454.cpp,4,153,0,0,0,157,2291,10434,0,11005,12298,0.8948609530004878,0.8948609530004878,0,0,91,91,2291,0,0,590,26
fundam.MUT444.cpp,1,156,0,0,1,158,66,10849,2694,11060,12298,0.8993332249146203,0.8859164091722231,0,0,3,3,66,0,0,590,26
stereobm.MUT217.cpp,1,155,0,0,2,158,423,10918,335,11058,12298,0.8991705968450154,0.8991705968450154,0,0,18,18,423,0,0,590,26
local_optimization.MUT114.cpp,4,149,0,0,5,158,53,10879,1256,11043,12298,0.8979508863229794,0.8872174337290616,0,0,7,7,53,0,0,590,26
stereobm.MUT407.cpp,1,155,0,0,2,158,423,10915,326,11046,12298,0.8981948284273865,0.8981948284273865,0,0,18,18,423,0,0,590,26
circlesgrid.MUT181.cpp,1,156,0,0,1,158,222,10890,371,11058,12298,0.8991705968450154,0.8937225565132542,0,0,16,16,222,0,0,590,26
fisheye.MUT259.cpp,3,155,0,0,0,158,217,10916,0,11048,12298,0.8983574564969914,0.8983574564969914,0,0,7,7,217,0,0,590,26
triangulate.MUT27.cpp,2,155,0,0,1,158,2692,10383,626,11058,12298,0.8991705968450154,0.860302488209465,0,0,77,77,2692,0,0,590,26
ptsetreg.MUT292.cpp,6,150,0,0,2,158,382,10962,290,11058,12298,0.8991705968450154,0.898682712636201,0,0,23,23,382,0,0,590,26
fisheye.MUT41.cpp,9,148,0,0,1,158,796,10439,566,10838,12298,0.8812815091884859,0.8699788583509513,0,0,22,22,796,0,0,590,26
rho.MUT573.cpp,1,156,0,0,1,158,1000,10356,971,11059,12298,0.8992519108798178,0.8974630021141649,0,0,72,72,1000,0,0,590,26
calibration_handeye.MUT341.cpp,3,154,0,0,1,158,495,10651,443,11062,12298,0.8994958529842251,0.8994958529842251,0,0,19,19,495,0,0,590,26
calibration.MUT227.cpp,42,115,0,0,1,158,2492,7463,92,8945,12298,0.7273540413075297,0.7271914132379249,0,0,109,109,2492,0,0,590,26
stereobm.MUT551.cpp,5,153,0,0,0,158,210,10580,0,10790,12298,0.8773784355179705,0.8773784355179705,0,0,18,18,210,0,0,590,26
calibration.MUT1990.cpp,2,155,0,0,0,157,2418,10842,0,11018,12298,0.8959180354529191,0.8959180354529191,0,0,63,63,2418,0,0,590,26
triangulate.MUT91.cpp,1,156,0,0,1,158,2692,10752,144,11058,12298,0.8991705968450154,0.8991705968450154,0,0,77,77,2692,0,0,590,26
stereobm.MUT545.cpp,1,153,0,0,4,158,421,10592,448,11056,12298,0.8990079687754107,0.8955114652789071,0,0,18,18,421,0,0,590,26
fisheye.MUT239.cpp,1,157,0,0,0,158,139,11003,0,11058,12298,0.8991705968450154,0.8991705968450154,0,0,4,4,139,0,0,590,26
calibration.MUT1614.cpp,1,157,0,0,0,158,2693,10896,0,11059,12299,0.8991787950239857,0.8991787950239857,0,0,77,77,2693,0,0,590,26
calibration.MUT2111.cpp,4,154,0,0,0,158,1960,10716,0,10825,12298,0.8802244267360546,0.8802244267360546,0,0,52,52,1960,0,0,590,26
fisheye.MUT618.cpp,6,151,0,0,1,158,732,10523,566,11004,12298,0.8947796389656855,0.8900634249471459,0,0,23,23,732,0,0,590,26
