bug_name,buggy_line_key,# of failing Tcs,# of lines executed by failing TCs,# of mutants,# of uncompilable mutants,# of mutans on buggy line,# of uncompilable mutants on buggy line,# of compilable mutants on buggy line,total p2f (all mutants),total f2p (all mutants),# of functions,# of function with same highest met score,met score of highest rank,rank of buggy function (function level) (met),met score of buggy function,# of function with same highest muse score,muse score of highest rank,rank of buggy function (function level) (muse),muse score of buggy function
lpsolver.MUT136.cpp,"opencv_core/modules/core/src/lpsolver.cpp#swap_columns(Mat_<double> & A, int col1, int col2)#377",1,647,1084,117,20,4,16,676844,20,915,2,1.0,2,1.0,1,0.0216571353995727,4,0.0056022408963585
persistence.MUT1051.cpp,opencv_core/modules/core/src/persistence.cpp#FileNode::isSeq()#2239,38,2327,1301,160,15,0,15,217744,65,915,1,1.0,1,1.0,1,0.0615530303030303,1,0.0615530303030303
dxt.MUT1428.cpp,"opencv_core/modules/core/src/dxt.cpp#OcvDctImpl::init(int _width, int _height, int _depth, int flags)#4262",1,388,1197,77,4,0,4,1373135,11,915,1,1.0,1,1.0,1,0.0298512033074377,2,0.0166666666666666
persistence_json.MUT206.cpp,"opencv_core/modules/core/src/persistence_json.cpp#JSONParser::getBase64Row(char * ptr, int , char *& beg, char *& end)#449",4,2327,1334,147,20,2,18,272208,63,915,1,1.0,1,1.0,1,0.0296052631578947,1,0.0296052631578947
matrix.MUT144.cpp,"opencv_core/modules/core/src/matrix.cpp#Mat::Mat(int _dims, const int * _sz, int _type)#375",86,616,1121,102,20,1,19,540407,3,915,1,0.1524985703326046,1,0.1524985703326046,1,0.025,1,0.025
rand.MUT157.cpp,"opencv_core/modules/core/src/rand.cpp#RNG::fill(cv::InputOutputArray _mat, int disttype, cv::InputArray _param1arg, cv::InputArray _param2arg, _Bool saturateRange)#433",1,582,958,126,2,0,2,925526,65,915,9,1.0,9,1.0,1,0.0113636363636363,1,0.0113636363636363
umatrix.MUT384.cpp,"opencv_core/modules/core/src/umatrix.cpp#UMat::reshape(int new_cn, int new_rows)#976",235,884,1256,84,20,0,20,761662,769,915,1,1.0,1,1.0,1,0.0440940012368583,1,0.0440940012368583
umatrix.MUT260.cpp,"opencv_core/modules/core/src/umatrix.cpp#UMat::create(int d, const int * _sizes, int _type, enum cv::UMatUsageFlags _usageFlags)#691",2042,894,1112,96,20,1,19,318086,14567,915,1,0.9492509547650868,1,0.9492509547650868,1,0.0489943712246018,1,0.0489943712246018
persistence.MUT138.cpp,opencv_core/modules/core/src/persistence.cpp#decodeSimpleFormat(const char * dt)#303,17,2893,1061,171,11,0,11,231913,34,915,1,1.0,1,1.0,1,0.0809523809523809,1,0.0809523809523809
persistence.MUT1133.cpp,"opencv_core/modules/core/src/persistence.cpp#FileNode::setValue(int type, const void * value, int len)#2413",21,2935,1266,133,20,0,20,170545,13,915,1,0.3779644730092272,1,0.3779644730092272,1,0.0237663619269594,2,0.0204081632653061
