buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
lpsolver.MUT136.cpp,1,5133,0,0,0,5134,647,7415,0,7445,9330,0.7979635584137191,0.7979635584137191,0,0,83,83,647,0,0,913,27
persistence.MUT1051.cpp,38,5094,0,0,2,5134,2327,5593,697,6593,9326,0.7069483165344199,0.6952605618700407,0,0,249,249,2327,0,0,913,27
dxt.MUT1428.cpp,1,5133,0,0,0,5134,388,7275,0,7329,9326,0.7858674672957323,0.7858674672957323,0,0,57,57,388,0,0,913,27
persistence_json.MUT206.cpp,4,5130,0,0,0,5134,2327,7400,0,7438,9326,0.7975552219601115,0.7975552219601115,0,0,238,238,2327,0,0,913,27
matrix.MUT144.cpp,86,5045,0,0,3,5134,616,6489,3694,7254,9326,0.7778254342697835,0.7005146901136607,0,0,73,73,616,0,0,913,27
rand.MUT157.cpp,1,3701,0,0,1432,5134,582,6440,5800,7440,9326,0.7977696761741369,0.6917220673386232,0,0,85,85,582,0,0,913,27
umatrix.MUT384.cpp,235,4795,0,0,104,5134,884,7431,834,7435,9326,0.7972335406390736,0.7972335406390736,0,0,110,110,884,0,0,913,27
umatrix.MUT260.cpp,2042,3088,0,0,3,5133,894,7170,437,7315,9326,0.7843662877975552,0.7815783830152262,0,0,118,118,894,0,0,913,27
persistence.MUT138.cpp,17,5115,0,0,2,5134,2893,7025,2049,7248,9326,0.7771820716277075,0.7768603903066695,0,0,288,288,2893,0,0,913,27
persistence.MUT1133.cpp,21,5108,0,0,5,5134,2935,6439,1678,7199,9326,0.7719279433840875,0.7690328114947459,0,0,293,293,2935,0,0,913,27
downhill_simplex.MUT105.cpp,1,5133,0,0,0,5134,516,7319,0,7437,9318,0.7981326464906632,0.7981326464906632,0,0,74,74,516,0,0,913,27
matrix.MUT315.cpp,27,5044,0,0,28,5099,720,6858,1179,6994,9326,0.7499463864464937,0.7383658588891272,0,0,98,98,720,0,0,913,27
matrix_expressions.MUT188.cpp,1,5133,0,0,0,5134,498,7003,0,7025,9326,0.7532704267638859,0.7532704267638859,0,0,78,78,498,0,0,913,27
umatrix.MUT416.cpp,2,5132,0,0,0,5134,279,7409,0,7422,9317,0.7966083503273585,0.7966083503273585,0,0,50,50,279,0,0,913,27
persistence.MUT391.cpp,24,5110,0,0,0,5134,3077,7069,0,7371,9326,0.7903710057902638,0.7903710057902638,0,0,300,300,3077,0,0,913,27
persistence_base64_encoding.MUT24.cpp,7,5127,0,0,0,5134,2415,7209,0,7434,9325,0.7972117962466488,0.7972117962466488,0,0,244,244,2415,0,0,913,27
dxt.MUT369.cpp,1,5133,0,0,0,5134,1366,7270,0,7403,9326,0.7938022732146687,0.7938022732146687,0,0,104,104,1366,0,0,913,27
persistence.MUT1090.cpp,1,5109,0,0,23,5133,1891,6496,2822,7300,9326,0.7827578811923654,0.7235685181213811,0,0,204,204,1891,0,0,913,27
dxt.MUT865.cpp,1,5133,0,0,0,5134,1416,7270,0,7440,9326,0.7977696761741369,0.7977696761741369,0,0,111,111,1416,0,0,913,27
persistence_types.MUT104.cpp,2,5132,0,0,0,5134,920,7434,0,7442,9326,0.7979841303881622,0.7979841303881622,0,0,125,125,920,0,0,913,27
downhill_simplex.MUT84.cpp,1,5133,0,0,0,5134,520,7319,0,7441,9326,0.7978769032811495,0.7978769032811495,0,0,74,74,520,0,0,913,27
matrix.MUT198.cpp,1,4113,0,0,1020,5134,287,6198,4689,7437,9322,0.7977901737824501,0.6684187942501609,0,0,47,47,287,0,0,913,27
rand.MUT244.cpp,2,5130,0,0,2,5134,629,7352,375,7437,9326,0.7974479948530989,0.7951962256058331,0,0,89,89,629,0,0,913,27
persistence_json.MUT137.cpp,13,5121,0,0,0,5134,3113,6907,0,7244,9326,0.7767531631996569,0.7767531631996569,0,0,318,318,3113,0,0,913,27
persistence_yml.MUT316.cpp,12,5122,0,0,0,5134,2919,7124,0,7244,9326,0.7767531631996569,0.7767531631996569,0,0,302,302,2919,0,0,913,27
dxt.MUT77.cpp,4,5130,0,0,0,5134,1467,6231,0,7160,9326,0.767746086210594,0.767746086210594,0,0,130,130,1467,0,0,913,27
persistence.MUT887.cpp,10,5124,0,0,0,5134,2446,7080,0,7439,9325,0.7977479892761394,0.7977479892761394,0,0,244,244,2446,0,0,913,27
persistence_json.MUT157.cpp,1,5133,0,0,0,5134,490,7429,0,7447,9326,0.7985202659232253,0.7985202659232253,0,0,65,65,490,0,0,913,27
matrix_iterator.MUT61.cpp,133,4973,0,0,28,5134,1818,6988,2821,7413,9326,0.7948745442847952,0.7944456358567445,0,0,265,265,1818,0,0,913,27
dxt.MUT513.cpp,3,5131,0,0,0,5134,1523,6794,0,7388,9326,0.7921938666094789,0.7921938666094789,0,0,125,125,1523,0,0,913,27
persistence_xml.MUT318.cpp,20,5114,0,0,0,5134,3000,6885,0,7209,9329,0.7727516346875335,0.7727516346875335,0,0,311,311,3000,0,0,913,27
persistence_yml.MUT322.cpp,9,5122,0,0,3,5134,2548,7124,1866,7255,9325,0.7780160857908848,0.7780160857908848,0,0,272,272,2548,0,0,913,27
dxt.MUT400.cpp,3,5130,0,0,1,5134,1683,6231,1060,7380,9303,0.7932924862947436,0.7928625174674836,0,0,134,134,1683,0,0,913,27
persistence_xml.MUT53.cpp,4,5118,0,0,12,5134,1951,7093,3298,7441,9326,0.7978769032811495,0.7654943169633284,0,0,223,223,1951,0,0,913,27
rand.MUT53.cpp,12,4755,0,0,367,5134,4160,6901,3355,7342,9326,0.7872614196868969,0.7856530130817071,0,0,389,389,4160,0,0,913,27
persistence_json.MUT22.cpp,1,5131,0,0,2,5134,1812,7412,2423,7441,9326,0.7978769032811495,0.7966974051040103,0,0,207,207,1812,0,0,913,27
matrix.MUT490.cpp,244,4890,0,0,0,5134,1837,6952,0,7399,9326,0.793373364786618,0.793373364786618,0,0,268,268,1837,0,0,913,27
dxt.MUT1312.cpp,1,5133,0,0,0,5134,819,7275,0,7406,9324,0.7942942942942943,0.7942942942942943,0,0,79,79,819,0,0,913,27
dxt.MUT569.cpp,3,5130,0,0,1,5134,1644,6231,1066,7353,9326,0.788440917864036,0.7867252841518336,0,0,135,135,1644,0,0,913,27
persistence.MUT1211.cpp,18,5113,0,0,3,5134,3028,6577,2070,7276,9319,0.780770468934435,0.780770468934435,0,0,302,302,3028,0,0,913,27
dxt.MUT39.cpp,1,5131,0,0,2,5134,1295,6794,1306,7392,9326,0.7926227750375295,0.7855457859746944,0,0,101,101,1295,0,0,913,27
umatrix.MUT136.cpp,1,4983,0,0,4,4988,796,7350,676,7424,9326,0.7960540424619343,0.7926227750375295,0,0,102,102,796,0,0,913,27
dxt.MUT579.cpp,3,5131,0,0,0,5134,1573,6794,0,7432,9326,0.7969118593180357,0.7969118593180357,0,0,129,129,1573,0,0,913,27
dxt.MUT633.cpp,2,5132,0,0,0,5134,1462,7018,0,7334,9303,0.7883478447812533,0.7883478447812533,0,0,117,117,1462,0,0,913,27
matrix_decomp.MUT130.cpp,2,5131,0,0,1,5134,636,7379,351,7441,9326,0.7978769032811495,0.7978769032811495,0,0,89,89,636,0,0,913,27
persistence.MUT485.cpp,7,5108,0,0,19,5134,2125,6596,2864,7423,9326,0.7959468153549217,0.7530559725498606,0,0,215,215,2125,0,0,913,27
dxt.MUT1451.cpp,1,5133,0,0,0,5134,822,7275,0,7409,9327,0.7943604588828134,0.7943604588828134,0,0,79,79,822,0,0,913,27
persistence_json.MUT165.cpp,1,5133,0,0,0,5134,399,7429,0,7447,9326,0.7985202659232253,0.7985202659232253,0,0,59,59,399,0,0,913,27
persistence.MUT853.cpp,9,5125,0,0,0,5134,2117,7419,0,7440,9326,0.7977696761741369,0.7977696761741369,0,0,214,214,2117,0,0,913,27
matrix_expressions.MUT72.cpp,1,5133,0,0,0,5134,826,7003,0,7125,9326,0.7639931374651512,0.7639931374651512,0,0,123,123,826,0,0,913,27
dxt.MUT85.cpp,3,5130,0,0,1,5134,1364,6231,1068,7138,9326,0.7653870898563156,0.7587390092215313,0,0,126,126,1364,0,0,913,27
matrix_expressions.MUT270.cpp,1,5133,0,0,0,5134,792,7003,0,7099,9326,0.7612052326828223,0.7612052326828223,0,0,117,117,792,0,0,913,27
dxt.MUT620.cpp,2,5132,0,0,0,5134,1478,7018,0,7352,9326,0.7883336907570234,0.7883336907570234,0,0,115,115,1478,0,0,913,27
dxt.MUT843.cpp,2,5132,0,0,0,5134,1579,7108,0,7440,9326,0.7977696761741369,0.7977696761741369,0,0,129,129,1579,0,0,913,27
matrix.MUT255.cpp,2,5120,0,0,0,5122,1902,6900,0,7030,9324,0.753968253968254,0.753968253968254,0,0,209,209,1902,0,0,913,27
persistence.MUT917.cpp,48,5078,0,0,8,5134,2453,5594,1616,6744,9326,0.7231396096933305,0.7207806133390521,0,0,270,270,2453,0,0,913,27
matrix_decomp.MUT6.cpp,2,5123,0,0,0,5125,1235,6968,0,7354,9327,0.7884636003002037,0.7884636003002037,0,0,197,197,1235,0,0,913,27
downhill_simplex.MUT95.cpp,1,5133,0,0,0,5134,515,7319,0,7436,9325,0.7974262734584451,0.7974262734584451,0,0,74,74,515,0,0,913,27
matrix_decomp.MUT60.cpp,1,5133,0,0,0,5134,540,7439,0,7440,9326,0.7977696761741369,0.7977696761741369,0,0,81,81,540,0,0,913,27
persistence_json.MUT357.cpp,13,5121,0,0,0,5134,3289,6907,0,7415,9326,0.7950889984988205,0.7950889984988205,0,0,323,323,3289,0,0,913,27
persistence_yml.MUT3.cpp,2,5121,0,0,6,5129,1011,7091,1524,7171,9326,0.7689255843877332,0.7665665880334549,0,0,126,126,1011,0,0,913,27
lpsolver.MUT41.cpp,1,5128,0,0,0,5129,486,7306,0,7405,9326,0.794016727428694,0.794016727428694,0,0,67,67,486,0,0,913,27
