bug_name,key,total # of functions,# of functions with same highest Binary score,Binary score of highest rank,rank of buggy function (Binary),Binary score of buggy function,# of functions with same highest GP13 score,GP13 score of highest rank,rank of buggy function (GP13),GP13 score of buggy function,# of functions with same highest Jaccard score,Jaccard score of highest rank,rank of buggy function (Jaccard),Jaccard score of buggy function,# of functions with same highest Naish1 score,Naish1 score of highest rank,rank of buggy function (Naish1),Naish1 score of buggy function,# of functions with same highest Naish2 score,Naish2 score of highest rank,rank of buggy function (Naish2),Naish2 score of buggy function,# of functions with same highest Ochiai score,Ochiai score of highest rank,rank of buggy function (Ochiai),Ochiai score of buggy function,# of functions with same highest Russel+Rao score,Russel+Rao score of highest rank,rank of buggy function (Russel+Rao),Russel+Rao score of buggy function,# of functions with same highest Wong1 score,Wong1 score of highest rank,rank of buggy function (Wong1),Wong1 score of buggy function
lpsolver.MUT136.cpp,"opencv_core/modules/core/src/lpsolver.cpp#swap_columns(Mat_<double> & A, int col1, int col2)#377",915,83,1,83,1,2,2.0,2,2.0,2,1.0,2,1.0,2,5133,2,5133,2,1.0,2,1.0,2,1.0,2,1.0,83,0.0001947798987144,83,0.0001947798987144,83,1,83,1
persistence.MUT1051.cpp,opencv_core/modules/core/src/persistence.cpp#FileNode::isSeq()#2239,915,52,1,52,1,17,39.0,17,39.0,17,1.0,17,1.0,17,5094,17,5094,17,38.0,17,38.0,17,1.0,17,1.0,52,0.0074045206547155,52,0.0074045206547155,52,38,52,38
dxt.MUT1428.cpp,"opencv_core/modules/core/src/dxt.cpp#OcvDctImpl::init(int _width, int _height, int _depth, int flags)#4262",915,58,1,58,1,7,2.0,7,2.0,7,1.0,7,1.0,7,5133,7,5133,7,1.0,7,1.0,7,1.0,7,1.0,58,0.0001947798987144,58,0.0001947798987144,58,1,58,1
persistence_json.MUT206.cpp,"opencv_core/modules/core/src/persistence_json.cpp#JSONParser::getBase64Row(char * ptr, int , char *& beg, char *& end)#449",915,69,1,69,1,2,5.0,2,5.0,2,1.0,2,1.0,2,5130,2,5130,2,4.0,2,4.0,2,1.0,2,1.0,69,0.0007791195948578,69,0.0007791195948578,69,4,69,4
matrix.MUT144.cpp,"opencv_core/modules/core/src/matrix.cpp#Mat::Mat(int _dims, const int * _sz, int _type)#375",915,46,1,46,1,1,87.0,1,87.0,1,1.0,1,1.0,1,5045,1,5045,1,86.0,1,86.0,1,1.0,1,1.0,46,0.016760865328396,46,0.016760865328396,46,86,46,86
rand.MUT157.cpp,"opencv_core/modules/core/src/rand.cpp#RNG::fill(cv::InputOutputArray _mat, int disttype, cv::InputArray _param1arg, cv::InputArray _param2arg, _Bool saturateRange)#433",915,85,1,85,1,3,2.0,3,2.0,3,1.0,3,1.0,3,3701,3,3701,3,1.0,3,1.0,3,1.0,3,1.0,85,0.0002701242571582,85,0.0002701242571582,85,1,85,1
umatrix.MUT384.cpp,"opencv_core/modules/core/src/umatrix.cpp#UMat::reshape(int new_cn, int new_rows)#976",915,49,1,49,1,1,236.0,1,236.0,1,1.0,1,1.0,1,4795,1,4795,1,235.0,1,235.0,1,1.0,1,1.0,49,0.0467196819085487,49,0.0467196819085487,49,235,49,235
umatrix.MUT260.cpp,"opencv_core/modules/core/src/umatrix.cpp#UMat::create(int d, const int * _sizes, int _type, enum cv::UMatUsageFlags _usageFlags)#691",915,33,1,33,1,2,2043.0,2,2043.0,2,1.0,2,1.0,2,3088,2,3088,2,2042.0,2,2042.0,2,1.0,2,1.0,33,0.3980506822612086,33,0.3980506822612086,33,2042,33,2042
persistence.MUT138.cpp,opencv_core/modules/core/src/persistence.cpp#decodeSimpleFormat(const char * dt)#303,915,101,1,101,1,2,18.0,2,18.0,2,1.0,2,1.0,2,5115,2,5115,2,17.0,2,17.0,2,1.0,2,1.0,101,0.0033125487139516,101,0.0033125487139516,101,17,101,17
persistence.MUT1133.cpp,"opencv_core/modules/core/src/persistence.cpp#FileNode::setValue(int type, const void * value, int len)#2413",915,69,1,69,1,1,22.0,1,22.0,1,1.0,1,1.0,1,5108,1,5108,1,21.0,1,21.0,1,1.0,1,1.0,69,0.0040943653733671,69,0.0040943653733671,69,21,69,21
