bug_name,key,total # of functions,# of functions with same highest Binary score,Binary score of highest rank,rank of buggy function (Binary),Binary score of buggy function,# of functions with same highest GP13 score,GP13 score of highest rank,rank of buggy function (GP13),GP13 score of buggy function,# of functions with same highest Jaccard score,Jaccard score of highest rank,rank of buggy function (Jaccard),Jaccard score of buggy function,# of functions with same highest Naish1 score,Naish1 score of highest rank,rank of buggy function (Naish1),Naish1 score of buggy function,# of functions with same highest Naish2 score,Naish2 score of highest rank,rank of buggy function (Naish2),Naish2 score of buggy function,# of functions with same highest Ochiai score,Ochiai score of highest rank,rank of buggy function (Ochiai),Ochiai score of buggy function,# of functions with same highest Russel+Rao score,Russel+Rao score of highest rank,rank of buggy function (Russel+Rao),Russel+Rao score of buggy function,# of functions with same highest Wong1 score,Wong1 score of highest rank,rank of buggy function (Wong1),Wong1 score of buggy function
padding_layer.MUT19.cpp,"opencv_dnn/modules/dnn/src/layers/padding_layer.cpp#PaddingLayerImpl::finalize(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays )#82",1095,46,1,46,1,8,2.0,8,2.0,8,1.0,8,1.0,8,2850,8,2850,8,1.0,8,1.0,8,1.0,8,1.0,46,0.0003507541213609,46,0.0003507541213609,46,1,46,1
gather_elements_layer.MUT16.cpp,"opencv_dnn/modules/dnn/src/layers/gather_elements_layer.cpp#GatherElementsLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#54",1095,96,1,96,1,5,3.0,5,3.0,5,1.0,5,1.0,5,2870,5,2870,5,2.0,5,2.0,5,1.0,5,1.0,96,0.0006963788300835,96,0.0006963788300835,96,2,96,2
tf_importer.MUT958.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#TFImporter::parseMean(tensorflow::GraphDef & net, const tensorflow::NodeDef & layer, class cv::dnn::dnn4_v20240521::LayerParams & layerParams)#2418",1095,106,1,106,1,1,5.0,1,5.0,1,1.0,1,1.0,1,2869,1,2869,1,4.0,1,4.0,1,1.0,1,1.0,106,0.0013922728854855,106,0.0013922728854855,106,4,106,4
caffe_importer.MUT196.cpp,"opencv_dnn/modules/dnn/src/caffe/caffe_importer.cpp#readNetFromCaffe(const char * bufferProto, size_t lenProto, const char * bufferModel, size_t lenModel)#583",1095,9,1,9,1,2,2.0,2,2.0,2,1.0,2,1.0,2,2872,2,2872,2,1.0,2,1.0,2,1.0,2,1.0,9,0.0003480682213713,9,0.0003480682213713,9,1,9,1
onnx_importer.MUT1364.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseQuantDequant(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#3351",1095,147,1,147,1,7,2.0,7,2.0,7,1.0,7,1.0,7,2872,7,2872,7,1.0,7,1.0,7,1.0,7,1.0,147,0.0003480682213713,147,0.0003480682213713,147,1,147,1
tf_importer.MUT1013.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#TFImporter::parseMean(tensorflow::GraphDef & net, const tensorflow::NodeDef & layer, class cv::dnn::dnn4_v20240521::LayerParams & layerParams)#2510",1095,133,1,133,1,1,2.0,1,2.0,1,1.0,1,1.0,1,2869,1,2869,1,1.0,1,1.0,1,1.0,1,1.0,133,0.0003484320557491,133,0.0003484320557491,133,1,133,1
elementwise_layers.MUT294.cpp,opencv_dnn/modules/dnn/src/layers/elementwise_layers.cpp#ThresholdedReluFunctor::calculate(float x)#2201,1095,112,1,112,1,4,4.0,4,4.0,4,1.0,4,1.0,4,2870,4,2870,4,3.0,4,3.0,4,1.0,4,1.0,112,0.0010442046641141,112,0.0010442046641141,112,3,112,3
pooling_layer.MUT323.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#1054,1095,30,1,30,1,1,8.0,1,8.0,1,1.0,1,1.0,1,2866,1,2866,1,7.0,1,7.0,1,1.0,1,1.0,30,0.0024364775495997,30,0.0024364775495997,30,7,30,7
nary_eltwise_layers.MUT186.cpp,"opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseLayerImpl::nary_forward_impl(const Functor & f, const T scale, int ninputs, int ndims, const int & shape, const char ** inp, char * out, const int & steps, int & ptrs)#444",1095,28,1,28,1,1,4.0,1,4.0,1,1.0,1,1.0,1,2866,1,2866,1,3.0,1,3.0,1,1.0,1,1.0,28,0.0010456605088881,28,0.0010456605088881,28,3,28,3
correlation_layer.MUT41.cpp,"opencv_dnn/modules/dnn/src/layers/correlation_layer.cpp#CorrelationLayerImpl::blobRearrangeKernel2(const class cv::Mat & input, class cv::Mat & output)#93",1095,35,1,35,1,8,2.0,8,2.0,8,1.0,8,1.0,8,2872,8,2872,8,1.0,8,1.0,8,1.0,8,1.0,35,0.0003480682213713,35,0.0003480682213713,35,1,35,1
elementwise_layers.MUT254.cpp,"opencv_dnn/modules/dnn/src/layers/elementwise_layers.cpp#HardSwishFunctor::supportBackend(int backendId, int )#1893",1096,103,1,103,1,1,3.0,1,3.0,1,1.0,1,1.0,1,2871,1,2871,1,2.0,1,2.0,1,1.0,1,1.0,103,0.0006961364427427,103,0.0006961364427427,103,2,103,2
convolution_layer.MUT73.cpp,"opencv_dnn/modules/dnn/src/layers/convolution_layer.cpp#ConvolutionLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#399",1095,26,1,26,1,5,647.0,5,647.0,5,1.0,5,1.0,5,2226,5,2226,5,646.0,5,646.0,5,1.0,5,1.0,26,0.2249303621169916,26,0.2249303621169916,26,646,26,646
darknet_io.MUT231.cpp,"opencv_dnn/modules/dnn/src/darknet/darknet_io.cpp#setLayersParams::setRegion(float thresh, int coords, int classes, int anchors, int classfix, int softmax, int softmax_tree, float * biasData)#515",1095,14,1,14,1,3,4.0,3,4.0,3,1.0,3,1.0,3,2870,3,2870,3,3.0,3,3.0,3,1.0,3,1.0,14,0.0010442046641141,14,0.0010442046641141,14,3,14,3
