bug_name,buggy_line_key,# of failing Tcs,# of lines executed by failing TCs,# of mutants,# of uncompilable mutants,# of mutans on buggy line,# of uncompilable mutants on buggy line,# of compilable mutants on buggy line,total p2f (all mutants),total f2p (all mutants),# of functions,# of function with same highest met score,met score of highest rank,rank of buggy function (function level) (met),met score of buggy function,# of function with same highest muse score,muse score of highest rank,rank of buggy function (function level) (muse),muse score of buggy function
agast.MUT2688.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4116",1,2272,1350,9,20,0,20,1245,0,297,297,0.0,297,0.0,297,0.0,297,0.0
AKAZEFeatures.MUT283.cpp,opencv_features2d/modules/features2d/src/kaze/AKAZEFeatures.cpp#AKAZEFeatures::Find_Scale_Space_Extrema(int & keypoints_by_layers)#847,4,370,1215,77,20,0,20,631,4,297,1,1.0,1,1.0,1,0.0380952380952381,1,0.0380952380952381
agast.MUT2822.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4316",1,2280,1504,8,20,0,20,1272,0,297,297,0.0,297,0.0,297,0.0,297,0.0
orb.MUT299.cpp,"opencv_features2d/modules/features2d/src/orb.cpp#ORB_Impl::detectAndCompute(cv::InputArray _image, cv::InputArray _mask, int & keypoints, cv::OutputArray _descriptors, _Bool useProvidedKeypoints)#1077",4,447,1682,158,20,1,19,8808,141,297,1,1.0,1,1.0,1,0.0091774022042109,1,0.0091774022042109
agast.MUT2734.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4183",1,2283,1535,29,20,0,20,1373,10,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0416611530148648,1,0.0416611530148648
agast.MUT4660.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#OAST_9_16(cv::InputArray _img, int & keypoints, int threshold)#7280",1,1793,1486,64,20,0,20,4876,29,297,4,1.0,4,1.0,1,0.0108878025227835,1,0.0108878025227835
brisk.MUT333.cpp,"opencv_features2d/modules/features2d/src/brisk.cpp#BRISK_Impl::computeDescriptorsAndOrOrientation(cv::InputArray _image, cv::InputArray _mask, int & keypoints, cv::OutputArray _descriptors, _Bool doDescriptors, _Bool doOrientation, _Bool useProvidedKeypoints)#878",1,1816,1602,72,16,0,16,5065,2,297,1,0.7071067811865475,1,0.7071067811865475,1,0.0387467486994797,1,0.0387467486994797
agast.MUT3037.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12s(cv::InputArray _img, int & keypoints, int threshold)#4640",1,2280,1454,14,6,0,6,1309,3,297,1,0.7071067811865475,1,0.7071067811865475,1,0.105834242093784,1,0.105834242093784
agast.MUT72.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_5_8(cv::InputArray _img, int & keypoints, int threshold)#161",1,384,1450,28,6,0,6,2475,5,297,1,1.0,1,1.0,1,0.0709669974613431,1,0.0709669974613431
agast.MUT563.cpp,"opencv_features2d/modules/features2d/src/agast.cpp#AGAST_7_12d(cv::InputArray _img, int & keypoints, int threshold)#913",1,1373,1411,27,20,0,20,2296,5,297,1,1.0,1,1.0,1,0.0388118387683037,1,0.0388118387683037
