buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
agast.MUT2688.cpp,1,88,0,0,0,89,2272,4469,0,6697,8459,0.7917011467076487,0.7917011467076487,0,0,4,4,2272,0,0,292,12
AKAZEFeatures.MUT283.cpp,4,67,0,0,0,71,370,6116,0,6282,8459,0.742640974110415,0.742640974110415,0,0,31,31,370,0,0,292,12
agast.MUT2822.cpp,1,88,0,0,0,89,2280,4469,0,6705,8459,0.7926468849745832,0.7926468849745832,0,0,4,4,2280,0,0,292,12
orb.MUT299.cpp,4,71,0,0,14,89,447,6095,3609,6705,8460,0.7925531914893617,0.7498817966903073,0,0,29,29,447,0,0,292,12
agast.MUT2734.cpp,1,88,0,0,0,89,2283,4469,0,6708,8459,0.7930015368246838,0.7930015368246838,0,0,4,4,2283,0,0,292,12
agast.MUT4660.cpp,1,73,0,0,15,89,1793,4514,3642,6704,8459,0.7925286676912164,0.7154509989360445,0,0,40,40,1793,0,0,292,12
brisk.MUT333.cpp,1,80,0,0,8,89,1816,6414,3585,6702,8459,0.7922922331244828,0.7599006974819719,0,0,41,41,1816,0,0,292,12
agast.MUT3037.cpp,1,88,0,0,0,89,2280,4469,0,6705,8453,0.7932095114160653,0.7932095114160653,0,0,4,4,2280,0,0,292,12
agast.MUT72.cpp,1,88,0,0,0,89,384,4469,0,4809,8459,0.5685069157110769,0.5685069157110769,0,0,2,2,384,0,0,292,12
agast.MUT563.cpp,1,88,0,0,0,89,1373,4469,0,5798,8459,0.6854238089608701,0.6854238089608701,0,0,3,3,1373,0,0,292,12
agast.MUT2464.cpp,1,88,0,0,0,89,2285,4469,0,6710,8459,0.7932379713914174,0.7932379713914174,0,0,4,4,2285,0,0,292,12
affine_feature.MUT91.cpp,1,87,0,0,1,89,271,6583,305,6710,8459,0.7932379713914174,0.7904007565906136,0,0,23,23,271,0,0,292,12
agast.MUT4842.cpp,2,86,0,0,1,89,1505,4430,1165,4803,8459,0.567797612010876,0.567797612010876,0,0,7,7,1505,0,0,292,12
mser.MUT145.cpp,1,87,0,0,1,89,196,6511,193,6690,8459,0.7908736257240808,0.7902825393072467,0,0,23,23,196,0,0,292,12
agast.MUT4355.cpp,1,73,0,0,15,89,1147,4514,3647,6709,8459,0.7931197541080506,0.6640264806714742,0,0,6,6,1147,0,0,292,12
agast.MUT2793.cpp,1,88,0,0,0,89,2245,4469,0,6670,8459,0.7885092800567443,0.7885092800567443,0,0,4,4,2245,0,0,292,12
AKAZEFeatures.MUT272.cpp,6,68,0,0,15,89,632,6350,3589,6710,8459,0.7932379713914174,0.761201087599007,0,0,44,44,632,0,0,292,12
agast.MUT2148.cpp,1,88,0,0,0,89,1903,4469,0,6328,8459,0.748078969145289,0.748078969145289,0,0,4,4,1903,0,0,292,12
agast.MUT327.cpp,1,88,0,0,0,89,384,4469,0,4809,8459,0.5685069157110769,0.5685069157110769,0,0,2,2,384,0,0,292,12
sift.dispatch.MUT158.cpp,10,78,0,0,1,89,283,6389,234,6673,8459,0.7888639319068448,0.788745714623478,0,0,22,22,283,0,0,292,12
agast.MUT2010.cpp,1,88,0,0,0,89,1338,4469,0,5763,8459,0.6812862040430311,0.6812862040430311,0,0,3,3,1338,0,0,292,12
agast.MUT765.cpp,1,88,0,0,0,89,1363,4469,0,5788,8459,0.6842416361272018,0.6842416361272018,0,0,3,3,1363,0,0,292,12
agast.MUT811.cpp,1,88,0,0,0,89,1377,4469,0,5802,8459,0.6858966780943374,0.6858966780943374,0,0,3,3,1377,0,0,292,12
agast.MUT307.cpp,1,88,0,0,0,89,375,4469,0,4800,8459,0.5674429601607756,0.5674429601607756,0,0,2,2,375,0,0,292,12
agast.MUT1046.cpp,1,88,0,0,0,89,1410,4469,0,5835,8459,0.6897978484454427,0.6897978484454427,0,0,3,3,1410,0,0,292,12
agast.MUT2848.cpp,1,88,0,0,0,89,2278,4469,0,6703,8459,0.7924104504078496,0.7924104504078496,0,0,4,4,2278,0,0,292,12
agast.MUT834.cpp,1,88,0,0,0,89,1374,4469,0,5799,8459,0.6855420262442369,0.6855420262442369,0,0,3,3,1374,0,0,292,12
agast.MUT1928.cpp,1,88,0,0,0,89,1374,4469,0,5799,8459,0.6855420262442369,0.6855420262442369,0,0,3,3,1374,0,0,292,12
agast.MUT4792.cpp,1,73,0,0,15,89,1278,4514,3649,6711,8459,0.7933561886747843,0.6795129447925287,0,0,6,6,1278,0,0,292,12
affine_feature.MUT99.cpp,1,87,0,0,1,89,288,6583,271,6702,8459,0.7922922331244828,0.792174015841116,0,0,25,25,288,0,0,292,12
agast.MUT2223.cpp,1,88,0,0,0,89,2285,4469,0,6710,8459,0.7932379713914174,0.7932379713914174,0,0,4,4,2285,0,0,292,12
agast.MUT2396.cpp,1,88,0,0,0,89,2285,4469,0,6710,8459,0.7932379713914174,0.7932379713914174,0,0,4,4,2285,0,0,292,12
agast.MUT2344.cpp,1,88,0,0,0,89,2285,4469,0,6710,8459,0.7932379713914174,0.7932379713914174,0,0,4,4,2285,0,0,292,12
agast.MUT2660.cpp,1,88,0,0,0,89,2245,4469,0,6670,8457,0.7886957549958614,0.7886957549958614,0,0,4,4,2245,0,0,292,12
agast.MUT677.cpp,1,88,0,0,0,89,1377,4469,0,5802,8459,0.6858966780943374,0.6858966780943374,0,0,3,3,1377,0,0,292,12
