buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
resize.MUT604.cpp,2,1452,0,0,0,1454,193,10103,0,10154,11426,0.8886749518641694,0.8886749518641694,0,0,22,22,193,0,0,650,38
smooth.dispatch.MUT105.cpp,14,1416,0,0,23,1453,1108,9705,1438,10216,11426,0.8941011727638719,0.879922982671101,0,0,74,74,1108,0,0,650,38
contours_new.MUT20.cpp,12,1438,0,0,4,1454,709,10137,252,10209,11426,0.8934885349203571,0.8934885349203571,0,0,43,43,709,0,0,650,38
color_lab.MUT1022.cpp,2,1452,0,0,0,1454,573,10041,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,32,32,573,0,0,650,38
histogram.MUT980.cpp,1,1451,0,0,2,1454,93,9656,722,10170,11426,0.8900752669350603,0.8511290040259059,0,0,4,4,93,0,0,650,38
templmatch.MUT284.cpp,1,1380,0,0,73,1454,97,10090,397,10217,11426,0.8941886924558026,0.888499912480308,0,0,9,9,97,0,0,650,38
histogram.MUT1113.cpp,2,1452,0,0,0,1454,290,10115,0,10203,11426,0.892963416768773,0.892963416768773,0,0,13,13,290,0,0,650,38
canny.MUT71.cpp,4,1327,0,0,123,1454,635,9904,1018,10216,11426,0.8941011727638719,0.8856117626465955,0,0,51,51,635,0,0,650,38
lsd.MUT51.cpp,6,1441,0,0,7,1454,321,9879,321,9986,11426,0.8739716436198145,0.8739716436198145,0,0,27,27,321,0,0,650,38
color_lab.MUT1542.cpp,1,1453,0,0,0,1454,475,10156,0,10186,11426,0.8914755820059513,0.8914755820059513,0,0,34,34,475,0,0,650,38
contours.MUT1.cpp,39,1415,0,0,0,1454,652,10180,0,10213,11426,0.8938386136880798,0.8938386136880798,0,0,46,46,652,0,0,650,38
imgwarp.sse4_1.MUT195.cpp,1,1451,0,0,2,1454,47,10156,91,10216,11426,0.8941011727638719,0.892963416768773,0,0,5,5,47,0,0,650,38
resize.MUT812.cpp,1,1452,0,0,1,1454,332,9776,807,10193,11426,0.8920882198494662,0.8630316821284789,0,0,27,27,332,0,0,650,38
color_lab.MUT1073.cpp,1,1453,0,0,0,1454,532,10127,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,31,31,532,0,0,650,38
resize.MUT854.cpp,2,1452,0,0,0,1454,696,9776,0,10094,11426,0.8834237703483284,0.8834237703483284,0,0,53,53,696,0,0,650,38
grabcut.MUT77.cpp,1,1453,0,0,0,1454,102,10212,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,9,9,102,0,0,650,38
resize.avx2.MUT51.cpp,1,1453,0,0,0,1454,807,10104,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,62,62,807,0,0,650,38
contours.MUT306.cpp,12,1442,0,0,0,1454,484,10138,0,10171,11427,0.8900848866719174,0.8900848866719174,0,0,36,36,484,0,0,650,38
templmatch.MUT231.cpp,33,1421,0,0,0,1454,374,10209,0,10219,11426,0.8943637318396639,0.8943637318396639,0,0,13,13,374,0,0,650,38
color_lab.MUT575.cpp,2,1447,0,0,5,1454,569,9155,898,10212,11426,0.8937510939961492,0.849991248030807,0,0,32,32,569,0,0,650,38
demosaicing.MUT582.cpp,2,1452,0,0,0,1454,241,10004,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,3,3,241,0,0,650,38
demosaicing.MUT216.cpp,1,1453,0,0,0,1454,96,10139,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,6,6,96,0,0,650,38
color_lab.MUT1936.cpp,1,1453,0,0,0,1454,157,10019,0,10164,11426,0.8895501487834763,0.8895501487834763,0,0,13,13,157,0,0,650,38
resize.avx2.MUT25.cpp,1,1452,0,0,1,1454,72,9776,836,10104,11426,0.8842989672676352,0.8576054612287765,0,0,9,9,72,0,0,650,38
histogram.MUT1333.cpp,1,1453,0,0,0,1454,113,10132,0,10198,11426,0.8925258183091196,0.8925258183091196,0,0,7,7,113,0,0,650,38
intelligent_scissors.MUT145.cpp,9,1440,0,0,5,1454,704,9947,702,10216,11426,0.8941011727638719,0.8920882198494662,0,0,55,55,704,0,0,650,38
histogram.MUT536.cpp,1,1452,0,0,1,1454,403,9877,639,10179,11426,0.8908629441624365,0.8786101872921407,0,0,15,15,403,0,0,650,38
spatialgradient.MUT118.cpp,1,1453,0,0,0,1454,270,10153,0,10217,11427,0.8941104401855255,0.8941104401855255,0,0,21,21,270,0,0,650,38
demosaicing.MUT188.cpp,1,1453,0,0,0,1454,96,10139,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,6,6,96,0,0,650,38
stackblur.MUT111.cpp,10,1444,0,0,0,1454,325,10193,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,28,28,325,0,0,650,38
contours.MUT570.cpp,1,1453,0,0,0,1454,380,9899,0,10141,11426,0.8875371958690705,0.8875371958690705,0,0,24,24,380,0,0,650,38
geometry.MUT100.cpp,1,1450,0,0,3,1454,291,9930,146,10193,11426,0.8920882198494662,0.891563101697882,0,0,54,54,291,0,0,650,38
color_lab.MUT524.cpp,2,1447,0,0,0,1449,202,9155,0,9348,11426,0.8181340801680378,0.8181340801680378,0,0,17,17,202,0,0,650,38
resize.MUT1454.cpp,3,1451,0,0,0,1454,741,9682,0,10135,11426,0.8870120777174865,0.8870120777174865,0,0,57,57,741,0,0,650,38
color_lab.MUT1059.cpp,1,1452,0,0,0,1453,536,10041,0,10208,11426,0.8934010152284264,0.8934010152284264,0,0,31,31,536,0,0,650,38
resize.MUT19.cpp,1,1453,0,0,0,1454,156,10134,0,10151,11426,0.8884123927883774,0.8884123927883774,0,0,19,19,156,0,0,650,38
demosaicing.MUT189.cpp,1,1453,0,0,0,1454,96,10139,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,6,6,96,0,0,650,38
histogram.MUT1134.cpp,1,1453,0,0,0,1454,49,10171,0,10196,11426,0.8923507789252582,0.8923507789252582,0,0,3,3,49,0,0,650,38
demosaicing.MUT523.cpp,2,1452,0,0,0,1454,237,10004,0,10212,11426,0.8937510939961492,0.8937510939961492,0,0,3,3,237,0,0,650,38
color_lab.MUT1386.cpp,1,1452,0,0,1,1454,543,10095,482,10189,11426,0.8917381410817434,0.8917381410817434,0,0,35,35,543,0,0,650,38
histogram.MUT1067.cpp,8,1446,0,0,0,1454,442,9337,0,9626,11426,0.8424645545247681,0.8424645545247681,0,0,19,19,442,0,0,650,38
resize.MUT1606.cpp,2,1451,0,0,1,1454,517,9610,198,10024,11426,0.8772973919131805,0.8772098722212498,0,0,41,41,517,0,0,650,38
color_lab.MUT629.cpp,2,1447,0,0,5,1454,367,9155,839,10118,11426,0.8855242429546648,0.8323122702608087,0,0,23,23,367,0,0,650,38
grabcut.MUT220.cpp,2,1452,0,0,0,1454,247,9956,0,10203,11426,0.892963416768773,0.892963416768773,0,0,18,18,247,0,0,650,38
templmatch.MUT36.cpp,146,1307,0,0,1,1454,533,9887,681,10222,11426,0.894626290915456,0.8939261333800105,0,0,30,30,533,0,0,650,38
corner.MUT83.cpp,1,1453,0,0,0,1454,287,10216,0,10267,11426,0.8985646770523368,0.8985646770523368,0,0,26,26,287,0,0,650,38
histogram.MUT1006.cpp,1,1452,0,0,1,1454,147,9961,648,10188,11398,0.8938410247411827,0.8818213721705562,0,0,5,5,147,0,0,650,38
demosaicing.MUT420.cpp,2,1452,0,0,0,1454,241,10004,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,3,3,241,0,0,650,38
color_lab.MUT560.cpp,4,1447,0,0,3,1454,789,9155,786,10177,11426,0.8906879047785752,0.8692455802555575,0,0,46,46,789,0,0,650,38
color_yuv.dispatch.MUT39.cpp,1,1453,0,0,0,1454,25,10194,0,10215,11426,0.8940136530719411,0.8940136530719411,0,0,4,4,25,0,0,650,38
contours_link.MUT1.cpp,1,1453,0,0,0,1454,456,9899,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,24,24,456,0,0,650,38
histogram.MUT346.cpp,2,1452,0,0,0,1454,535,9877,0,10093,11426,0.8833362506563976,0.8833362506563976,0,0,19,19,535,0,0,650,38
resize.MUT1127.cpp,3,1451,0,0,0,1454,345,9610,0,9851,11426,0.8621564852091721,0.8621564852091721,0,0,33,33,345,0,0,650,38
demosaicing.MUT797.cpp,1,1453,0,0,0,1454,92,10130,0,10215,11425,0.8940919037199124,0.8940919037199124,0,0,5,5,92,0,0,650,38
stackblur.MUT355.cpp,13,1441,0,0,0,1454,418,10144,0,10217,11427,0.8941104401855255,0.8941104401855255,0,0,28,28,418,0,0,650,38
corner.MUT70.cpp,1,1453,0,0,0,1454,287,10216,0,10267,11426,0.8985646770523368,0.8985646770523368,0,0,26,26,287,0,0,650,38
demosaicing.MUT251.cpp,1,1453,0,0,0,1454,38,10139,0,10158,11426,0.8890250306318922,0.8890250306318922,0,0,3,3,38,0,0,650,38
rotcalipers.MUT100.cpp,4,1450,0,0,0,1454,146,10084,0,10193,11426,0.8920882198494662,0.8920882198494662,0,0,8,8,146,0,0,650,38
color_lab.MUT921.cpp,1,1452,0,0,0,1453,485,10041,0,10158,11426,0.8890250306318922,0.8890250306318922,0,0,31,31,485,0,0,650,38
stackblur.MUT590.cpp,52,1402,0,0,0,1454,624,9831,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,36,36,624,0,0,650,38
histogram.MUT320.cpp,1,1453,0,0,0,1454,401,10138,0,10179,11426,0.8908629441624365,0.8908629441624365,0,0,15,15,401,0,0,650,38
lsd.MUT206.cpp,1,1444,0,0,9,1454,549,9942,551,10216,11426,0.8941011727638719,0.8940136530719411,0,0,44,44,549,0,0,650,38
filter.dispatch.MUT279.cpp,2,1449,0,0,3,1454,247,10059,699,10207,11426,0.8933134955364957,0.886837038333625,0,0,21,21,247,0,0,650,38
contours.MUT263.cpp,4,1450,0,0,0,1454,593,10195,0,10209,11420,0.8939579684763572,0.8939579684763572,0,0,38,38,593,0,0,650,38
color_lab.MUT603.cpp,2,1447,0,0,0,1449,43,9155,0,9189,11426,0.804218449151059,0.804218449151059,0,0,10,10,43,0,0,650,38
lsd.MUT208.cpp,3,1444,0,0,7,1454,505,9942,526,10192,11426,0.8920007001575354,0.8900752669350603,0,0,41,41,505,0,0,650,38
histogram.MUT1314.cpp,3,1451,0,0,0,1454,617,9635,0,9954,11426,0.8711710134780326,0.8711710134780326,0,0,25,25,617,0,0,650,38
min_enclosing_triangle.MUT234.cpp,1,1453,0,0,0,1454,276,9962,0,10183,11426,0.8912130229301592,0.8912130229301592,0,0,53,53,276,0,0,650,38
color_lab.MUT1956.cpp,1,1452,0,0,0,1453,334,9982,0,10086,11426,0.8827236128128829,0.8827236128128829,0,0,23,23,334,0,0,650,38
histogram.MUT903.cpp,1,1451,0,0,2,1454,93,9656,722,10170,11426,0.8900752669350603,0.8511290040259059,0,0,4,4,93,0,0,650,38
